,prophetic,prose,instruction,poetry,list
MOD can ~ MOD shall,0.0,5.16,1.19,0.0,0.0
MOD shall ~ PAST,2.13,0.0,2.22,0.0,0.0
MOD let ~ MOD shall,0.85,2.76,0.35,0.0,0.0
MOD is to ~ PRES,0.24,0.73,4.63,0.0,0.0
MOD is to ~ MOD let,0.0,0.31,19.5,0.0,0.0
MOD let ~ MOD may,1.02,3.68,0.0,0.0,0.0
FUT ~ PAST,0.57,2.21,0.4,3.54,0.0
MOD is to ~ PAST,0.28,0.0,16.7,0.0,0.0
MOD lest ~ MOD may,0.68,0.37,0.0,33.49,0.0
PAST ~ TO INF,0.68,0.0,2.08,4.13,11.74
MOD lest ~ TO INF,0.28,13.26,0.0,0.0,0.0
PAST ~ PAST PROG,0.68,5.52,0.0,0.0,0.0
MOD shall ~ PRES PERF,1.71,0.44,1.39,0.0,0.0
FUT ~ PRES PERF,3.42,1.1,0.0,0.0,0.0
IMPV ~ MOD lest,1.14,1.47,0.69,0.0,0.0
MOD shall ~ MOD would,0.0,inf,0.0,0.0,0.0
MOD may ~ MOD must,0.0,0.55,11.12,0.0,0.0
MOD can,0.43,1.47,0.0,16.59,0.0
MOD would ~ PRES,0.0,1.47,0.69,16.59,0.0
IMPV ~ PAST,0.0,8.83,0.69,0.0,0.0
MOD should ~ PRES,0.57,2.2,0.92,0.0,0.0
HAB used to ~ PAST,0.0,inf,0.0,0.0,0.0
IMPV ~ MOD may,0.57,2.2,0.92,0.0,0.0
IMPV ~ MOD must,0.0,inf,0.0,0.0,0.0
PAST PERF,0.0,6.62,0.92,0.0,0.0
MOD shall ~ MOD should,0.0,inf,0.0,0.0,0.0
FUT ~ MOD can,5.12,0.73,0.0,0.0,0.0
MOD let ~ TO INF,0.0,inf,0.0,0.0,0.0
FUT ~ FUT PERF,0.0,6.62,0.0,8.26,0.0
MOD should,0.0,6.62,0.0,8.26,0.0
MOD could ~ MOD may,0.0,inf,0.0,0.0,0.0
PAST ~ PAST PERF,0.85,4.41,0.0,0.0,0.0
MOD can ~ PRES,0.0,1.1,1.39,12.39,0.0
MOD should ~ TO INF,0.85,0.0,0.0,49.8,0.0
IMPV ~ MOD would,0.0,inf,0.0,0.0,0.0
MOD VB ~ PRES,0.85,0.0,5.55,0.0,0.0
MOD is to ~ TO INF,0.0,0.0,inf,0.0,0.0
HAB used to ~ MOD would,0.0,inf,0.0,0.0,0.0
HAB used to,0.0,4.41,0.0,12.39,0.0
MOD was to,0.0,inf,0.0,0.0,0.0
FUT ~ FUT going-to,3.41,1.1,0.0,0.0,0.0
IMPV ~ MOD is to,0.0,inf,0.0,0.0,0.0
MOD that be ~ TO INF,0.0,0.0,inf,0.0,0.0
MOD was to ~ PAST,0.0,0.0,0.0,0.0,inf
PRES ~ PRES PROG,0.0,inf,0.0,0.0,0.0
FUT ~ MOD must,0.0,inf,0.0,0.0,0.0
IMPV ~ PRES PART,0.0,inf,0.0,0.0,0.0
MOD would ~ PRES PART,0.0,inf,0.0,0.0,0.0
FUT going-to ~ MOD shall,0.0,inf,0.0,0.0,0.0
PRES PART ~ PRES PERF,inf,0.0,0.0,0.0,0.0
MOD may ~ PRES PART,0.0,2.2,0.0,24.79,0.0
MOD can ~ MOD let,0.0,2.2,2.77,0.0,0.0
MOD lest ~ MOD might,0.0,2.2,2.77,0.0,0.0
MOD may ~ MOD should,0.0,0.0,0.0,inf,0.0
MOD let ~ PRES,0.0,2.2,2.77,0.0,0.0
MOD must ~ PRES,0.0,0.0,2.77,24.79,0.0
MOD let ~ MOD must,1.71,2.2,0.0,0.0,0.0
MOD lest ~ PRES PART,0.0,inf,0.0,0.0,0.0
MOD lest ~ MOD must,0.0,inf,0.0,0.0,0.0
MOD must ~ PRES PART,0.0,2.2,2.77,0.0,0.0
MOD is to ~ MOD may,0.0,inf,0.0,0.0,0.0
MOD let ~ PRES PART,0.0,inf,0.0,0.0,0.0
MOD should ~ MOD would,0.0,inf,0.0,0.0,0.0
MOD let ~ MOD should,0.0,inf,0.0,0.0,0.0
MOD let ~ MOD would,0.0,0.0,0.0,0.0,inf
MOD can ~ TO INF,inf,0.0,0.0,0.0,0.0
MOD would ~ PRES PROG,0.0,inf,0.0,0.0,0.0
FUT ~ MOD is to,0.0,inf,0.0,0.0,0.0
FUT ~ MOD VB,0.0,inf,0.0,0.0,0.0
MOD ~ MOD would,0.0,inf,0.0,0.0,0.0
MOD would ~ TO INF,0.0,inf,0.0,0.0,0.0
MOD must,0.0,0.0,inf,0.0,0.0
FUT ~ FUT PROG,0.0,0.0,inf,0.0,0.0
MOD might ~ MOD would,0.0,inf,0.0,0.0,0.0
PAST PROG ~ TO INF,0.0,inf,0.0,0.0,0.0
FUT PROG,inf,0.0,0.0,0.0,0.0
FUT ~ MOD should,0.0,inf,0.0,0.0,0.0
FUT ~ MOD that be,0.0,0.0,inf,0.0,0.0
PAST PERF ~ PRES PART,0.0,inf,0.0,0.0,0.0
MOD could,0.0,inf,0.0,0.0,0.0
PRES PERF ~ TO INF,0.0,inf,0.0,0.0,0.0
MOD let ~ MOD might,0.0,0.0,0.0,0.0,inf
MOD might,0.0,inf,0.0,0.0,0.0
MOD quest must ~ MOD shall,0.0,inf,0.0,0.0,0.0
PRES ~ VB,inf,0.0,0.0,0.0,0.0
MOD could ~ MOD would,0.0,inf,0.0,0.0,0.0
MOD lest ~ PRES,0.0,0.0,inf,0.0,0.0
HAB used to ~ PAST PROG,0.0,inf,0.0,0.0,0.0
HAB used to ~ PRES PART,0.0,inf,0.0,0.0,0.0
MOD could ~ TO INF,0.0,inf,0.0,0.0,0.0
IMPV ~ MOD VB,0.0,inf,0.0,0.0,0.0
MOD is to ~ MOD lest,inf,0.0,0.0,0.0,0.0
MOD is to ~ PRES PART,0.0,0.0,inf,0.0,0.0
MOD VB ~ MOD can,0.0,inf,0.0,0.0,0.0
