eng_TAMsimp,qal,hif,piel,nif,hit,pual,hof,hsht,nit,htpo
PAST ~ PRES PART,1.42,17.0,5.67,17.0,inf,inf,inf,inf,inf,inf
FUT ~ TO INF,1.33,5.33,16.0,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES PART,1.23,16.0,16.0,inf,inf,inf,inf,16.0,inf,inf
IMPV ~ PRES,1.5,7.5,15.0,15.0,15.0,inf,inf,inf,inf,inf
IMPV ~ MOD let,1.56,7.0,4.67,inf,inf,inf,inf,inf,inf,inf
PRES PART,1.56,3.5,14.0,inf,inf,inf,inf,inf,inf,inf
IMPV ~ TO INF,2.17,2.6,13.0,inf,inf,inf,inf,13.0,inf,inf
PAST ~ PRES PERF,1.86,13.0,3.25,13.0,inf,inf,inf,inf,inf,inf
FUT ~ MOD let,3.0,3.0,6.0,6.0,inf,inf,inf,inf,inf,inf
FUT ~ PRES PART,1.71,4.0,6.0,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD may,1.38,inf,inf,11.0,11.0,11.0,inf,inf,inf,inf
FUT ~ MOD would,2.2,2.2,11.0,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD shall,1.25,5.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PAST,1.29,9.0,inf,9.0,inf,inf,inf,inf,inf,inf
MOD let ~ MOD shall,1.29,9.0,9.0,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES,2.0,2.67,inf,8.0,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD let,2.67,4.0,2.67,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD may,1.6,inf,8.0,8.0,8.0,inf,inf,inf,inf,inf
FUT ~ PAST,1.6,4.0,8.0,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PAST,1.4,3.5,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD may,1.17,inf,7.0,inf,inf,inf,inf,inf,inf,inf
PAST ~ TO INF,1.4,inf,3.5,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ TO INF,2.33,2.33,inf,inf,inf,inf,inf,7.0,inf,inf
PAST ~ PAST PROG,1.4,7.0,inf,inf,inf,7.0,inf,inf,inf,inf
MOD shall ~ PRES PERF,1.5,6.0,inf,6.0,inf,inf,inf,inf,inf,inf
FUT ~ PRES PERF,1.2,inf,inf,6.0,inf,inf,inf,inf,inf,inf
IMPV ~ MOD lest,2.5,2.5,inf,5.0,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD would,1.25,5.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD must,1.67,5.0,inf,5.0,inf,inf,inf,inf,inf,inf
MOD can,5.0,inf,2.5,2.5,inf,inf,inf,inf,inf,inf
MOD would ~ PRES,1.67,2.5,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PAST,5.0,1.25,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES,1.33,inf,inf,4.0,inf,inf,inf,inf,inf,inf
HAB used to ~ PAST,4.0,1.33,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD may,2.0,inf,4.0,4.0,inf,inf,inf,inf,inf,inf
IMPV ~ MOD must,2.0,4.0,4.0,inf,inf,inf,inf,inf,inf,inf
PAST PERF,4.0,4.0,2.0,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD should,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD can,4.0,2.0,inf,4.0,inf,inf,inf,inf,inf,inf
MOD let ~ TO INF,1.33,inf,4.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT PERF,inf,2.0,2.0,inf,inf,inf,inf,inf,inf,inf
MOD should,1.33,inf,4.0,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD may,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PERF,inf,3.0,1.5,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ TO INF,1.5,3.0,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD would,3.0,1.5,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ PRES,3.0,inf,1.5,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ TO INF,3.0,inf,1.5,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ MOD would,3.0,3.0,3.0,inf,inf,inf,inf,inf,inf,inf
HAB used to,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD was to,3.0,1.5,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT going-to,1.5,3.0,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD is to,2.0,inf,inf,inf,inf,inf,inf,2.0,inf,inf
MOD that be ~ TO INF,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD was to ~ PAST,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PROG,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD must,inf,2.0,inf,2.0,inf,inf,inf,inf,inf,inf
IMPV ~ PRES PART,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES PART,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD shall,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES PART,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD let,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD might,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD should,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES,2.0,inf,inf,inf,2.0,inf,inf,inf,inf,inf
MOD must ~ PRES,2.0,inf,inf,inf,2.0,inf,inf,inf,inf,inf
MOD let ~ MOD must,2.0,inf,2.0,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ PRES PART,2.0,inf,inf,inf,inf,inf,inf,2.0,inf,inf
MOD lest ~ MOD must,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES PART,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD may,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PART,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ MOD would,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
MOD let ~ MOD should,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD would,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ TO INF,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
MOD would ~ PRES PROG,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD is to,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD VB,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD ~ MOD would,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ TO INF,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT PROG,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ MOD would,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ TO INF,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
FUT PROG,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD should,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD that be,inf,inf,inf,inf,inf,inf,inf,inf,1.0,inf
PAST PERF ~ PRES PART,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD could,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ TO INF,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD might,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD quest must ~ MOD shall,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ VB,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD would,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ PRES,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ PAST PROG,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ PRES PART,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ TO INF,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD VB,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD lest,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PART,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD can,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
