eng_TAMsimp,qal,hif,piel,nif,hit,pual,hof,hsht,nit,htpo
IMPV ~ PAST,4.0,0.25,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES,0.33,inf,inf,3.0,inf,inf,inf,inf,inf,inf
HAB used to ~ PAST,3.0,0.33,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD may,1.0,inf,3.0,3.0,inf,inf,inf,inf,inf,inf
IMPV ~ MOD must,1.0,3.0,3.0,inf,inf,inf,inf,inf,inf,inf
PAST PERF,3.0,3.0,1.0,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD should,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD can,3.0,1.0,inf,3.0,inf,inf,inf,inf,inf,inf
MOD let ~ TO INF,0.33,inf,3.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT PERF,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf
MOD should,0.33,inf,3.0,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD may,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PERF,inf,2.0,0.5,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ TO INF,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD would,2.0,0.5,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ PRES,2.0,inf,0.5,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ TO INF,2.0,inf,0.5,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ MOD would,2.0,2.0,2.0,inf,inf,inf,inf,inf,inf,inf
HAB used to,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD was to,2.0,0.5,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT going-to,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD is to,1.0,inf,inf,inf,inf,inf,inf,1.0,inf,inf
MOD that be ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD was to ~ PAST,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PROG,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD must,inf,1.0,inf,1.0,inf,inf,inf,inf,inf,inf
IMPV ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES PART,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD shall,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD let,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD might,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD should,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES,1.0,inf,inf,inf,1.0,inf,inf,inf,inf,inf
MOD must ~ PRES,1.0,inf,inf,inf,1.0,inf,inf,inf,inf,inf
MOD let ~ MOD must,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ PRES PART,1.0,inf,inf,inf,inf,inf,inf,1.0,inf,inf
MOD lest ~ MOD must,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD may,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ MOD would,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
MOD let ~ MOD should,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD would,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ TO INF,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
MOD would ~ PRES PROG,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD is to,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD VB,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD ~ MOD would,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ MOD would,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ TO INF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
FUT PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD should,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD that be,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf
PAST PERF ~ PRES PART,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD could,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD might,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD quest must ~ MOD shall,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ VB,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD would,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ PAST PROG,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD VB,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD lest,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD can,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
