,qal,hif,piel,nif,hit,pual,hof,hsht,nit,htpo
PRES ~ TO INF,1.15,0.96,1.07,0.0,0.0,0.0,0.0,19.49,0.0,0.0
MOD may ~ MOD shall,9.03,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PART,1.27,0.32,1.94,0.95,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ TO INF,1.59,1.18,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PART,2.3,0.34,0.6,0.0,0.0,0.0,0.0,23.4,0.0,0.0
IMPV ~ PRES,1.06,0.79,0.65,1.09,6.99,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD let,0.95,0.85,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART,0.95,2.05,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ TO INF,0.45,3.21,0.75,0.0,0.0,0.0,0.0,29.27,0.0,0.0
PAST ~ PRES PERF,0.62,0.43,4.04,1.27,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD let,0.26,2.57,1.81,3.06,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PART,0.74,1.71,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD may,1.41,0.0,0.0,1.52,9.79,26.75,0.0,0.0,0.0,0.0
FUT ~ MOD would,0.44,4.28,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD shall,2.12,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PAST,1.85,0.64,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD shall,1.85,0.64,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES,0.53,3.08,0.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD let,0.32,1.71,5.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD may,0.88,0.0,1.29,2.18,13.99,0.0,0.0,0.0,0.0,0.0
FUT ~ PAST,0.88,1.71,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PAST,1.32,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD may,3.18,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ TO INF,1.32,0.0,3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ TO INF,0.4,3.85,0.0,0.0,0.0,0.0,0.0,58.6,0.0,0.0
PAST ~ PAST PROG,1.32,0.85,0.0,0.0,0.0,44.61,0.0,0.0,0.0,0.0
MOD shall ~ PRES PERF,1.06,1.02,0.0,3.05,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PERF,2.65,0.0,0.0,3.05,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD lest,0.35,3.42,0.0,3.82,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD would,2.12,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD must,0.79,1.28,0.0,3.82,0.0,0.0,0.0,0.0,0.0,0.0
MOD can,0.13,0.0,6.05,10.21,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES,0.79,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PAST,0.13,20.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,1.59,0.0,0.0,5.09,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PAST,0.18,15.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD may,0.53,0.0,3.02,5.09,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD must,0.53,1.71,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF,0.18,1.71,9.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD should,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD can,0.18,5.13,0.0,5.09,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ TO INF,1.59,0.0,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT PERF,0.0,5.13,9.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should,1.59,0.0,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD may,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF,0.0,2.56,18.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,1.06,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD would,0.26,10.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ PRES,0.26,0.0,18.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ TO INF,0.26,0.0,18.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ MOD would,0.26,2.56,4.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to,0.26,10.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT going-to,1.06,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD is to,0.53,0.0,0.0,0.0,0.0,0.0,0.0,351.94,0.0,0.0
MOD that be ~ TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PAST,0.53,5.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,0.53,5.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD must,0.0,5.12,0.0,15.27,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PART,0.53,5.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD shall,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,0.53,5.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD let,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD might,0.53,5.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD should,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,0.53,0.0,0.0,0.0,98.07,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES,0.53,0.0,0.0,0.0,98.07,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD must,0.53,0.0,9.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ PRES PART,0.53,0.0,0.0,0.0,0.0,0.0,0.0,351.94,0.0,0.0
MOD lest ~ MOD must,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD may,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD would,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD should,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD would,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ TO INF,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PROG,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD is to,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD VB,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD ~ MOD would,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT PROG,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ MOD would,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ TO INF,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD should,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD that be,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
PAST PERF ~ PRES PART,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD might,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest must ~ MOD shall,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ VB,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD would,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PAST PROG,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD VB,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD lest,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD can,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
