eng_TAMsimp,xYq0,WxY0,WXYq,XYqt,ZYq0,xYqX,WYq0,ZYqX,WxYX,WYqX,CPen
MOD should,0.37,0.08,0.04,0.04,0.0,0.27,0.06,0.04,0.1,0.0,0.0
TO INF,0.12,0.22,0.02,0.04,0.12,0.0,0.45,0.0,0.02,0.0,0.0
MOD can ~ PRES,0.36,0.18,0.07,0.07,0.04,0.27,0.0,0.0,0.02,0.0,0.0
MOD can ~ MOD may,0.22,0.18,0.08,0.05,0.0,0.02,0.4,0.0,0.0,0.05,0.0
PRES ~ PRES PERF,0.38,0.18,0.02,0.12,0.08,0.08,0.05,0.08,0.02,0.0,0.0
MOD can ~ MOD shall,0.57,0.08,0.1,0.1,0.0,0.02,0.05,0.0,0.08,0.0,0.0
PRES PART,0.38,0.28,0.1,0.05,0.15,0.0,0.03,0.0,0.0,0.0,0.0
MOD may ~ PRES,0.09,0.11,0.03,0.14,0.06,0.23,0.11,0.11,0.03,0.09,0.0
IMPV ~ PRES,0.18,0.39,0.09,0.15,0.06,0.0,0.0,0.12,0.0,0.0,0.0
FUT ~ MOD would,0.45,0.09,0.09,0.12,0.09,0.06,0.06,0.0,0.03,0.0,0.0
MOD must,0.5,0.19,0.06,0.06,0.06,0.03,0.06,0.03,0.0,0.0,0.0
MOD should ~ PRES,0.33,0.2,0.1,0.1,0.0,0.17,0.1,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,0.33,0.23,0.07,0.2,0.0,0.0,0.1,0.0,0.03,0.03,0.0
IMPV ~ MOD may,0.18,0.25,0.04,0.11,0.04,0.14,0.18,0.07,0.0,0.0,0.0
PRES PERF,0.22,0.22,0.04,0.04,0.15,0.26,0.04,0.0,0.04,0.0,0.0
MOD may ~ TO INF,0.04,0.04,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.07,0.0
PAST ~ PRES PERF,0.19,0.08,0.0,0.04,0.27,0.12,0.12,0.15,0.04,0.0,0.0
MOD would ~ PAST,0.24,0.4,0.16,0.04,0.04,0.04,0.0,0.04,0.04,0.0,0.0
FUT ~ MOD lest,0.0,0.62,0.04,0.0,0.0,0.04,0.0,0.0,0.29,0.0,0.0
FUT ~ TO INF,0.14,0.18,0.05,0.14,0.18,0.14,0.18,0.0,0.0,0.0,0.0
MOD let ~ PRES,0.09,0.14,0.0,0.14,0.23,0.05,0.09,0.23,0.0,0.05,0.0
MOD shall ~ MOD should,0.52,0.24,0.0,0.1,0.0,0.14,0.0,0.0,0.0,0.0,0.0
FUT ~ IMPV,0.15,0.3,0.05,0.15,0.2,0.0,0.1,0.0,0.0,0.05,0.0
FUT ~ MOD let,0.16,0.11,0.05,0.0,0.26,0.05,0.05,0.16,0.0,0.16,0.0
MOD could,0.47,0.21,0.05,0.05,0.0,0.11,0.0,0.0,0.11,0.0,0.0
PRES ~ TO INF,0.17,0.17,0.06,0.0,0.28,0.0,0.33,0.0,0.0,0.0,0.0
MOD let ~ TO INF,0.0,0.0,0.06,0.0,0.12,0.0,0.76,0.06,0.0,0.0,0.0
MOD shall ~ PRES PART,0.41,0.18,0.18,0.0,0.0,0.12,0.06,0.0,0.06,0.0,0.0
PAST ~ PRES PART,0.19,0.31,0.06,0.06,0.06,0.12,0.19,0.0,0.0,0.0,0.0
MOD would ~ PRES,0.5,0.12,0.06,0.12,0.06,0.0,0.06,0.06,0.0,0.0,0.0
MOD let ~ MOD shall,0.27,0.07,0.13,0.07,0.13,0.07,0.07,0.13,0.07,0.0,0.0
FUT ~ PAST,0.2,0.27,0.2,0.07,0.07,0.07,0.07,0.0,0.0,0.07,0.0
FUT ~ PRES PART,0.43,0.21,0.07,0.0,0.14,0.07,0.0,0.0,0.0,0.07,0.0
IMPV ~ MOD must,0.54,0.15,0.08,0.08,0.0,0.08,0.0,0.08,0.0,0.0,0.0
IMPV ~ MOD can,0.18,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD must,0.45,0.27,0.18,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0
MOD shall ~ PAST,0.36,0.0,0.27,0.09,0.0,0.18,0.0,0.0,0.09,0.0,0.0
MOD must ~ PRES,0.36,0.27,0.0,0.18,0.0,0.0,0.0,0.0,0.18,0.0,0.0
HAB used to ~ PAST,0.22,0.22,0.0,0.11,0.0,0.33,0.0,0.0,0.11,0.0,0.0
MOD should ~ MOD would,0.22,0.0,0.0,0.33,0.11,0.0,0.11,0.11,0.11,0.0,0.0
PAST ~ TO INF,0.33,0.11,0.11,0.0,0.22,0.11,0.11,0.0,0.0,0.0,0.0
MOD is to ~ MOD let,0.0,0.11,0.11,0.33,0.0,0.22,0.11,0.11,0.0,0.0,0.0
FUT ~ MOD should,0.56,0.11,0.22,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD must,0.33,0.33,0.11,0.0,0.0,0.0,0.11,0.0,0.11,0.0,0.0
MOD let ~ MOD should,0.12,0.0,0.0,0.12,0.0,0.5,0.12,0.12,0.0,0.0,0.0
PRES ~ PRES PROG,0.38,0.0,0.25,0.12,0.0,0.12,0.0,0.12,0.0,0.0,0.0
MOD let ~ PAST,0.12,0.12,0.0,0.0,0.12,0.12,0.12,0.38,0.0,0.0,0.0
IMPV ~ TO INF,0.29,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES PART,0.43,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF,0.43,0.14,0.29,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PAST,0.14,0.43,0.14,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0
FUT ~ MOD must,0.14,0.14,0.29,0.29,0.14,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD should,0.43,0.43,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PAST,0.5,0.0,0.0,0.0,0.0,0.33,0.17,0.0,0.0,0.0,0.0
MOD can ~ TO INF,0.33,0.33,0.0,0.17,0.0,0.0,0.17,0.0,0.0,0.0,0.0
?VB ~ MOD let,0.33,0.0,0.0,0.17,0.0,0.5,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES PART,0.2,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD would,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
FUT going-to ~ MOD shall,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
FUT ~ FUT going-to,0.4,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0
MOD is to,0.2,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD let,0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PAST,0.2,0.4,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD would,0.4,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PROG,0.4,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES PART,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
MOD lest ~ MOD may,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PAST,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD might,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0
PRES PART ~ TO INF,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0
PRES PERF ~ TO INF,0.0,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0
MOD was to,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ PAST,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES PART,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
MOD might ~ MOD should,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0
MOD might ~ MOD would,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
MOD might ~ PAST,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0
MOD lest ~ PRES,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0
?VB,0.33,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,0.67,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0
PAST PERF ~ PRES,0.33,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0
MOD could ~ MOD must,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PERF,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD need not ~ MOD shall,0.0,0.67,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD that be,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0
FUT ~ PRES PERF,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD may,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0
MOD might,0.0,0.0,0.0,0.33,0.0,0.67,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PROG,0.33,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0
HAB used to,0.33,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD would,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0
IMPV ~ MOD is to,0.67,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD may,0.67,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD could,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD lest,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ MOD must,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
?VB ~ MOD shall,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
??VB ~ MOD let,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD that be,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
MOD would ~ TO INF,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PART,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PAST,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
MOD is to ~ MOD must,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES PERF,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
MOD that be,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
MOD should ~ MOD was to,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ TO INF,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
MOD could ~ TO INF,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD should,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
MOD can ~ MOD should,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD might,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PAST PROG,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PAST,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD must,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD is to,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest must ~ MOD shall,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MOD quest must,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD need not ~ PRES,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PART,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ PRES,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT PROG,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES PART,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD lest,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES shall,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ MOD shall,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PERF,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES do,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES PERF,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MOD was to ~ PRES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST PERF,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ IMPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MOD would ~ PRES PART,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES PERF,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES PROG,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD shall,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD shall,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PRES PERF,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD shall,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD lest,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD can,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JJ ~ PRES,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
IMPV ~ PRES PERF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
IMPV ~ MOD need not,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD must,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD would,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES PART,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD might,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
IMPV ~ MOD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MOD let ~ VB,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
HAB used to ~ PRES,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD might,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD would,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES shall,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD might,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ PRES PERF,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MOD must ~ MOD quest must,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD ~ PRES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
