eng_TAMsimp,xYq0,WxY0,WXYq,XYqt,ZYq0,xYqX,WYq0,ZYqX,WxYX,WYqX,CPen
PRES ~ PRES PROG,3,0,2,1,0,1,0,1,0,0,0
MOD let ~ PAST,1,1,0,0,1,1,1,3,0,0,0
IMPV ~ TO INF,2,5,0,0,0,0,0,0,0,0,0
IMPV ~ PRES PART,3,4,0,0,0,0,0,0,0,0,0
PAST ~ PAST PERF,3,1,2,1,0,0,0,0,0,0,0
IMPV ~ PAST,1,3,1,0,0,1,1,0,0,0,0
FUT ~ MOD must,1,1,2,2,1,0,0,0,0,0,0
IMPV ~ MOD should,3,3,0,0,0,1,0,0,0,0,0
MOD was to ~ PAST,3,0,0,0,0,2,1,0,0,0,0
MOD can ~ TO INF,2,2,0,1,0,0,1,0,0,0,0
?VB ~ MOD let,2,0,0,1,0,3,0,0,0,0,0
MOD let ~ PRES PART,1,1,2,1,0,0,0,0,0,0,0
MOD shall ~ MOD would,4,0,0,0,0,0,0,0,1,0,0
FUT going-to ~ MOD shall,4,0,0,0,0,0,1,0,0,0,0
FUT ~ FUT going-to,2,0,0,1,0,1,1,0,0,0,0
MOD is to,1,0,0,3,0,1,0,0,0,0,0
MOD can ~ MOD let,2,1,1,1,0,0,0,0,0,0,0
MOD could ~ PAST,1,2,1,0,0,1,0,0,0,0,0
MOD could ~ MOD would,2,1,0,1,1,0,0,0,0,0,0
PAST ~ PAST PROG,2,1,2,0,0,0,0,0,0,0,0
MOD can ~ PRES PART,1,0,2,0,0,0,0,0,1,0,0
MOD lest ~ MOD may,0,1,3,0,0,0,0,0,0,0,0
MOD can ~ PAST,0,1,1,1,0,1,0,0,0,0,0
MOD could ~ MOD might,0,0,0,0,1,1,1,0,1,0,0
PRES PART ~ TO INF,0,3,0,0,1,0,0,0,0,0,0
PAST PERF,0,0,2,0,1,0,0,0,1,0,0
PRES PERF ~ TO INF,0,1,0,0,0,0,3,0,0,0,0
MOD was to,0,1,2,1,0,0,0,0,0,0,0
?VB ~ PAST,2,2,0,0,0,0,0,0,0,0,0
MOD may ~ PRES PART,0,2,0,0,0,0,2,0,0,0,0
MOD might ~ MOD should,1,0,0,0,1,1,0,0,1,0,0
MOD might ~ MOD would,1,1,1,0,0,0,1,0,0,0,0
MOD might ~ PAST,0,0,0,0,0,0,3,1,0,0,0
MOD lest ~ PRES,0,2,0,0,0,0,0,0,1,0,0
?VB,1,0,0,0,0,2,0,0,0,0,0
MOD should ~ TO INF,2,0,0,0,0,0,1,0,0,0,0
PAST PERF ~ PRES,1,0,0,0,1,0,1,0,0,0,0
MOD could ~ MOD must,3,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES PERF,1,1,1,0,0,0,0,0,0,0,0
MOD need not ~ MOD shall,0,2,0,0,0,1,0,0,0,0,0
FUT ~ MOD that be,0,1,0,0,0,0,0,0,2,0,0
FUT ~ PRES PERF,0,0,0,1,2,0,0,0,0,0,0
MOD VB ~ MOD may,0,1,1,0,0,0,0,1,0,0,0
MOD might,0,0,0,1,0,2,0,0,0,0,0
FUT ~ PRES PROG,1,0,0,0,1,0,1,0,0,0,0
HAB used to,1,0,2,0,0,0,0,0,0,0,0
PRES PART ~ PRES PERF,2,1,0,0,0,0,0,0,0,0,0
MOD let ~ MOD would,0,0,1,0,0,0,0,2,0,0,0
IMPV ~ MOD is to,2,0,1,0,0,0,0,0,0,0,0
MOD is to ~ MOD may,2,0,1,0,0,0,0,0,0,0,0
MOD can ~ MOD could,0,1,1,0,0,0,0,0,0,0,0
IMPV ~ MOD lest,0,1,1,0,0,0,0,0,0,0,0
?VB ~ MOD must,0,0,1,0,0,1,0,0,0,0,0
?VB ~ MOD shall,0,1,0,0,0,1,0,0,0,0,0
??VB ~ MOD let,0,2,0,0,0,0,0,0,0,0,0
MOD let ~ MOD that be,0,0,0,0,0,1,0,0,1,0,0
MOD would ~ TO INF,0,0,1,1,0,0,0,0,0,0,0
MOD lest,0,0,0,0,0,0,2,0,0,0,0
MOD is to ~ PRES PART,0,0,0,0,2,0,0,0,0,0,0
MOD may ~ PAST,0,0,0,0,0,1,0,0,0,1,0
MOD is to ~ MOD must,1,0,0,1,0,0,0,0,0,0,0
MOD let ~ PRES PERF,0,0,0,0,1,0,0,1,0,0,0
MOD that be,0,0,1,0,0,0,1,0,0,0,0
MOD should ~ MOD was to,1,0,1,0,0,0,0,0,0,0,0
MOD might ~ TO INF,0,0,0,1,0,0,1,0,0,0,0
MOD could ~ TO INF,0,1,1,0,0,0,0,0,0,0,0
MOD must ~ MOD should,0,1,0,0,0,0,1,0,0,0,0
MOD can ~ MOD should,2,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD might,1,0,0,0,0,1,0,0,0,0,0
PAST PROG,0,0,1,0,0,0,0,0,0,0,0
FUT ~ MOD,0,0,0,1,0,0,0,0,0,0,0
MOD should ~ PAST,0,0,0,0,0,1,0,0,0,0,0
MOD can ~ MOD must,0,0,0,0,1,0,0,0,0,0,0
FUT ~ MOD is to,0,0,0,1,0,0,0,0,0,0,0
MOD quest must ~ MOD shall,0,0,0,0,0,1,0,0,0,0,0
MOD quest must,0,1,0,0,0,0,0,0,0,0,0
MOD need not ~ PRES,0,0,0,0,0,1,0,0,0,0,0
PAST PROG ~ PRES PART,0,0,1,0,0,0,0,0,0,0,0
FUT PROG ~ PRES,0,0,1,0,0,0,0,0,0,0,0
FUT ~ FUT PROG,0,0,1,0,0,0,0,0,0,0,0
MOD should ~ PRES PART,0,0,0,0,0,0,1,0,0,0,0
FUT going-to ~ MOD lest,0,0,0,0,0,1,0,0,0,0,0
MOD must ~ PRES shall,0,1,0,0,0,0,0,0,0,0,0
FUT PROG ~ MOD shall,0,0,0,1,0,0,0,0,0,0,0
FUT PERF,0,1,0,0,0,0,0,0,0,0,0
PRES ~ PRES do,0,0,1,0,0,0,0,0,0,0,0
MOD should ~ PRES PERF,0,0,0,0,0,0,1,0,0,0,0
MOD was to ~ PRES,1,0,0,0,0,0,0,0,0,0,0
MOD would ~ PAST PERF,0,0,1,0,0,0,0,0,0,0,0
?VB ~ IMPV,0,0,0,0,0,0,0,0,1,0,0
MOD would ~ PRES PART,1,0,0,0,0,0,0,0,0,0,0
PRES PROG,0,0,1,0,0,0,0,0,0,0,0
MOD may ~ PRES PERF,0,0,0,0,1,0,0,0,0,0,0
MOD must ~ PRES PROG,0,0,0,0,0,0,1,0,0,0,0
MOD lest ~ MOD shall,0,1,0,0,0,0,0,0,0,0,0
MOD could ~ MOD shall,0,0,1,0,0,0,0,0,0,0,0
MOD could ~ PRES PERF,0,0,1,0,0,0,0,0,0,0,0
MOD VB ~ MOD shall,0,0,1,0,0,0,0,0,0,0,0
MOD is to ~ MOD lest,1,0,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD can,1,0,0,0,0,0,0,0,0,0,0
JJ ~ PRES,0,0,0,0,0,0,1,0,0,0,0
IMPV ~ PRES PERF,1,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES,0,0,0,0,0,0,1,0,0,0,0
IMPV ~ MOD need not,1,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD must,0,1,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD would,0,1,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PART,0,0,1,0,0,0,0,0,0,0,0
MOD let ~ MOD might,0,0,0,0,0,0,1,0,0,0,0
IMPV ~ MOD,0,0,0,0,0,0,1,0,0,0,0
MOD let ~ VB,0,0,0,0,0,0,1,0,0,0,0
HAB used to ~ PRES,0,0,0,0,0,1,0,0,0,0,0
MOD may ~ MOD might,0,0,0,1,0,0,0,0,0,0,0
MOD may ~ MOD would,0,0,0,0,0,1,0,0,0,0,0
FUT ~ PRES shall,0,1,0,0,0,0,0,0,0,0,0
MOD can ~ MOD might,0,1,0,0,0,0,0,0,0,0,0
MOD might ~ PRES PERF,0,0,0,0,0,0,1,0,0,0,0
MOD must ~ MOD quest must,0,0,1,0,0,0,0,0,0,0,0
MOD ~ PRES,1,0,0,0,0,0,0,0,0,0,0
