eng_TAMsimp,xYq0,WxY0,WXYq,XYqt,xYqX,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
MOD lest ~ PRES,inf,1.5,inf,inf,inf,inf,inf,3.0,inf,inf,inf
MOD is to ~ MOD may,1.5,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES PART,inf,1.5,inf,inf,inf,inf,3.0,inf,inf,inf,inf
MOD might ~ TO INF,inf,inf,inf,2.0,inf,inf,2.0,inf,inf,inf,inf
IMPV ~ MOD should,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD should,inf,2.0,inf,inf,inf,inf,2.0,inf,inf,inf,inf
MOD need not ~ MOD shall,inf,2.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf
MOD should ~ MOD was to,2.0,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD could,inf,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ TO INF,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD lest,inf,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD should,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ TO INF,inf,inf,2.0,2.0,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD might,2.0,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf
MOD lest,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
MOD let ~ PAST,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD might,inf,inf,inf,inf,2.0,inf,inf,2.0,inf,inf,inf
MOD is to ~ PRES PART,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
MOD let ~ TO INF,inf,inf,2.0,inf,inf,inf,2.0,inf,inf,inf,inf
MOD is to ~ MOD must,2.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PROG,2.0,inf,inf,inf,inf,2.0,inf,inf,inf,inf,inf
MOD could ~ TO INF,inf,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES PART,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD ~ PRES,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD might,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD quest must,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ PRES PERF,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
PAST PROG ~ PRES PART,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD would,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
MOD may ~ PAST,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
FUT ~ MOD is to,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST PERF,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
PRES PROG,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT PROG,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD lest,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
FUT PROG ~ PRES,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT PROG ~ MOD shall,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
FUT PERF,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES do,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES shall,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD lest,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PART,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD can,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PRES PERF,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD need not ~ PRES,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
MOD could ~ MOD shall,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD quest must,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD quest must ~ MOD shall,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD must,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD shall,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD must,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
MOD can ~ MOD might,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD would,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD shall,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
JJ ~ PRES,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
MOD was to ~ PRES,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES shall,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES PERF,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES PROG,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
MOD should ~ PAST,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
MOD let ~ MOD should,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES PART,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
IMPV ~ MOD need not,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES PERF,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
MOD let ~ MOD that be,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf
MOD must ~ PRES PART,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ PRES,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
MOD that be,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
