eng_TAMsimp,xYq0,WxY0,WXYq,XYqt,ZYq0,xYqX,WYq0,ZYqX,WxYX,WYqX,CPen
FUT ~ MOD,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PAST,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
MOD can ~ MOD must,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
FUT ~ MOD is to,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
MOD quest must ~ MOD shall,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
MOD quest must,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD need not ~ PRES,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
PAST PROG ~ PRES PART,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT PROG ~ PRES,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT PROG,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES PART,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
FUT going-to ~ MOD lest,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
MOD must ~ PRES shall,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PROG ~ MOD shall,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
FUT PERF,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES do,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES PERF,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
MOD was to ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST PERF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ IMPV,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf
MOD would ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PROG,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES PERF,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
MOD must ~ PRES PROG,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
MOD lest ~ MOD shall,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD shall,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PRES PERF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD shall,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD lest,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD can,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
JJ ~ PRES,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
IMPV ~ PRES PERF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
IMPV ~ MOD need not,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD must,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD would,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES PART,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD might,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
IMPV ~ MOD,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
MOD let ~ VB,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
HAB used to ~ PRES,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
MOD may ~ MOD might,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD would,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
FUT ~ PRES shall,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD might,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ PRES PERF,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
MOD must ~ MOD quest must,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
