eng_TAMsimp,instruction,prophetic,prose,list,poetry
MOD shall ~ PAST,0.44,0.56,0.0,0.0,0.0
MOD let ~ MOD shall,0.11,0.33,0.56,0.0,0.0
FUT ~ PAST,0.12,0.25,0.5,0.0,0.12
MOD let ~ MOD may,0.0,0.38,0.62,0.0,0.0
MOD is to ~ PRES,0.62,0.12,0.25,0.0,0.0
MOD is to ~ MOD let,0.88,0.0,0.12,0.0,0.0
MOD lest ~ TO INF,0.0,0.14,0.86,0.0,0.0
PAST ~ PAST PROG,0.0,0.29,0.71,0.0,0.0
MOD is to ~ PAST,0.86,0.14,0.0,0.0,0.0
MOD lest ~ MOD may,0.0,0.29,0.14,0.0,0.57
PAST ~ TO INF,0.43,0.29,0.0,0.14,0.14
MOD shall ~ PRES PERF,0.33,0.5,0.17,0.0,0.0
FUT ~ PRES PERF,0.0,0.67,0.33,0.0,0.0
MOD may ~ MOD must,0.8,0.0,0.2,0.0,0.0
IMPV ~ PAST,0.2,0.0,0.8,0.0,0.0
IMPV ~ MOD lest,0.2,0.4,0.4,0.0,0.0
MOD shall ~ MOD would,0.0,0.0,1.0,0.0,0.0
MOD would ~ PRES,0.2,0.0,0.4,0.0,0.4
FUT ~ FUT PERF,0.0,0.0,0.75,0.0,0.25
FUT ~ MOD can,0.0,0.75,0.25,0.0,0.0
HAB used to ~ PAST,0.0,0.0,1.0,0.0,0.0
MOD shall ~ MOD should,0.0,0.0,1.0,0.0,0.0
IMPV ~ MOD may,0.25,0.25,0.5,0.0,0.0
MOD should ~ PRES,0.25,0.25,0.5,0.0,0.0
MOD let ~ TO INF,0.0,0.0,1.0,0.0,0.0
IMPV ~ MOD must,0.0,0.0,1.0,0.0,0.0
MOD VB ~ PRES,0.67,0.33,0.0,0.0,0.0
MOD is to ~ TO INF,1.0,0.0,0.0,0.0,0.0
MOD could ~ MOD may,0.0,0.0,1.0,0.0,0.0
IMPV ~ MOD would,0.0,0.0,1.0,0.0,0.0
HAB used to ~ MOD would,0.0,0.0,1.0,0.0,0.0
MOD can ~ PRES,0.33,0.0,0.33,0.0,0.33
MOD should ~ TO INF,0.0,0.33,0.0,0.0,0.67
PAST ~ PAST PERF,0.0,0.33,0.67,0.0,0.0
FUT ~ FUT going-to,0.0,0.67,0.33,0.0,0.0
IMPV ~ PRES PART,0.0,0.0,1.0,0.0,0.0
IMPV ~ MOD is to,0.0,0.0,1.0,0.0,0.0
FUT ~ MOD must,0.0,0.0,1.0,0.0,0.0
MOD can ~ MOD let,0.5,0.0,0.5,0.0,0.0
MOD lest ~ MOD might,0.5,0.0,0.5,0.0,0.0
FUT going-to ~ MOD shall,0.0,0.0,1.0,0.0,0.0
MOD was to ~ PAST,0.0,0.0,0.0,1.0,0.0
MOD may ~ MOD should,0.0,0.0,0.0,0.0,1.0
PRES ~ PRES PROG,0.0,0.0,1.0,0.0,0.0
MOD must ~ PRES PART,0.5,0.0,0.5,0.0,0.0
MOD must ~ PRES,0.5,0.0,0.0,0.0,0.5
PRES PART ~ PRES PERF,0.0,1.0,0.0,0.0,0.0
MOD lest ~ MOD must,0.0,0.0,1.0,0.0,0.0
MOD may ~ PRES PART,0.0,0.0,0.5,0.0,0.5
MOD lest ~ PRES PART,0.0,0.0,1.0,0.0,0.0
MOD let ~ MOD must,0.0,0.5,0.5,0.0,0.0
MOD that be ~ TO INF,1.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PART,0.0,0.0,1.0,0.0,0.0
MOD let ~ PRES,0.5,0.0,0.5,0.0,0.0
FUT ~ MOD that be,1.0,0.0,0.0,0.0,0.0
FUT ~ MOD should,0.0,0.0,1.0,0.0,0.0
MOD would ~ PRES PROG,0.0,0.0,1.0,0.0,0.0
MOD can ~ TO INF,0.0,1.0,0.0,0.0,0.0
MOD would ~ TO INF,0.0,0.0,1.0,0.0,0.0
MOD ~ MOD would,0.0,0.0,1.0,0.0,0.0
FUT ~ MOD is to,0.0,0.0,1.0,0.0,0.0
PAST PROG ~ TO INF,0.0,0.0,1.0,0.0,0.0
FUT ~ MOD VB,0.0,0.0,1.0,0.0,0.0
PRES PERF ~ TO INF,0.0,0.0,1.0,0.0,0.0
FUT ~ FUT PROG,1.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PART,0.0,0.0,1.0,0.0,0.0
MOD might ~ MOD would,0.0,0.0,1.0,0.0,0.0
MOD should ~ MOD would,0.0,0.0,1.0,0.0,0.0
MOD let ~ MOD might,0.0,0.0,0.0,1.0,0.0
MOD could ~ TO INF,0.0,0.0,1.0,0.0,0.0
MOD is to ~ MOD lest,0.0,1.0,0.0,0.0,0.0
MOD is to ~ MOD may,0.0,0.0,1.0,0.0,0.0
MOD VB ~ MOD can,0.0,0.0,1.0,0.0,0.0
MOD is to ~ PRES PART,1.0,0.0,0.0,0.0,0.0
MOD lest ~ PRES,1.0,0.0,0.0,0.0,0.0
MOD let ~ MOD should,0.0,0.0,1.0,0.0,0.0
MOD quest must ~ MOD shall,0.0,0.0,1.0,0.0,0.0
MOD let ~ MOD would,0.0,0.0,0.0,1.0,0.0
MOD let ~ PRES PART,0.0,0.0,1.0,0.0,0.0
IMPV ~ MOD VB,0.0,0.0,1.0,0.0,0.0
HAB used to ~ PRES PART,0.0,0.0,1.0,0.0,0.0
HAB used to ~ PAST PROG,0.0,0.0,1.0,0.0,0.0
MOD could ~ MOD would,0.0,0.0,1.0,0.0,0.0
PRES ~ VB,0.0,1.0,0.0,0.0,0.0
