,instruction,prophetic,prose,list,poetry
MOD is to ~ TO INF,inf,0.0,0.0,0.0,0.0
MOD could ~ MOD may,0.0,0.0,inf,0.0,0.0
IMPV ~ MOD would,0.0,0.0,inf,0.0,0.0
HAB used to ~ MOD would,0.0,0.0,inf,0.0,0.0
MOD can ~ PRES,0.87,0.0,1.34,0.0,19.64
MOD should ~ TO INF,0.0,1.1,0.0,0.0,79.71
PAST ~ PAST PERF,0.0,1.1,5.38,0.0,0.0
FUT ~ FUT going-to,0.0,4.39,1.34,0.0,0.0
IMPV ~ PRES PART,0.0,0.0,inf,0.0,0.0
IMPV ~ MOD is to,0.0,0.0,inf,0.0,0.0
FUT ~ MOD must,0.0,0.0,inf,0.0,0.0
MOD can ~ MOD let,1.75,0.0,2.69,0.0,0.0
MOD lest ~ MOD might,1.75,0.0,2.69,0.0,0.0
FUT going-to ~ MOD shall,0.0,0.0,inf,0.0,0.0
MOD was to ~ PAST,0.0,0.0,0.0,inf,0.0
MOD may ~ MOD should,0.0,0.0,0.0,0.0,inf
PRES ~ PRES PROG,0.0,0.0,inf,0.0,0.0
MOD must ~ PRES PART,1.75,0.0,2.69,0.0,0.0
MOD must ~ PRES,1.75,0.0,0.0,0.0,39.3
PRES PART ~ PRES PERF,0.0,inf,0.0,0.0,0.0
MOD lest ~ MOD must,0.0,0.0,inf,0.0,0.0
MOD may ~ PRES PART,0.0,0.0,2.69,0.0,39.3
MOD lest ~ PRES PART,0.0,0.0,inf,0.0,0.0
MOD let ~ MOD must,0.0,2.19,2.69,0.0,0.0
MOD that be ~ TO INF,inf,0.0,0.0,0.0,0.0
MOD would ~ PRES PART,0.0,0.0,inf,0.0,0.0
MOD let ~ PRES,1.75,0.0,2.69,0.0,0.0
FUT ~ MOD that be,inf,0.0,0.0,0.0,0.0
FUT ~ MOD should,0.0,0.0,inf,0.0,0.0
MOD would ~ PRES PROG,0.0,0.0,inf,0.0,0.0
MOD can ~ TO INF,0.0,inf,0.0,0.0,0.0
MOD would ~ TO INF,0.0,0.0,inf,0.0,0.0
MOD ~ MOD would,0.0,0.0,inf,0.0,0.0
FUT ~ MOD is to,0.0,0.0,inf,0.0,0.0
PAST PROG ~ TO INF,0.0,0.0,inf,0.0,0.0
FUT ~ MOD VB,0.0,0.0,inf,0.0,0.0
PRES PERF ~ TO INF,0.0,0.0,inf,0.0,0.0
FUT ~ FUT PROG,inf,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PART,0.0,0.0,inf,0.0,0.0
MOD might ~ MOD would,0.0,0.0,inf,0.0,0.0
MOD should ~ MOD would,0.0,0.0,inf,0.0,0.0
MOD let ~ MOD might,0.0,0.0,0.0,inf,0.0
MOD could ~ TO INF,0.0,0.0,inf,0.0,0.0
MOD is to ~ MOD lest,0.0,inf,0.0,0.0,0.0
MOD is to ~ MOD may,0.0,0.0,inf,0.0,0.0
MOD VB ~ MOD can,0.0,0.0,inf,0.0,0.0
MOD is to ~ PRES PART,inf,0.0,0.0,0.0,0.0
MOD lest ~ PRES,inf,0.0,0.0,0.0,0.0
MOD let ~ MOD should,0.0,0.0,inf,0.0,0.0
MOD quest must ~ MOD shall,0.0,0.0,inf,0.0,0.0
MOD let ~ MOD would,0.0,0.0,0.0,inf,0.0
MOD let ~ PRES PART,0.0,0.0,inf,0.0,0.0
IMPV ~ MOD VB,0.0,0.0,inf,0.0,0.0
HAB used to ~ PRES PART,0.0,0.0,inf,0.0,0.0
HAB used to ~ PAST PROG,0.0,0.0,inf,0.0,0.0
MOD could ~ MOD would,0.0,0.0,inf,0.0,0.0
PRES ~ VB,0.0,inf,0.0,0.0,0.0
