,Q,D,?,N
MOD ~ PRES,-0.0,0.0,0.0,0.0
MOD would ~ PAST PROG,-0.0,0.0,0.0,0.0
FUT PERF ~ PRES,-0.0,0.0,0.0,0.0
FUT ~ FUT PROG,-0.0,0.0,0.0,0.0
PRES ~ PRES can,-0.0,0.0,0.0,0.0
PRES PERF ~ PRES PROG,-0.0,0.0,0.0,0.0
MOD must ~ TO INF,-0.0,0.0,0.0,0.0
FUT going-to ~ MOD is to,-0.0,0.0,0.0,0.0
PAST PROG ~ PRES PART,-1.06,1.31,0.0,0.0
FUT PROG ~ MOD shall,-0.0,0.0,0.0,0.0
PRES PART ~ PRES PROG,-0.0,0.0,0.0,0.0
FUT going-to ~ MOD lest,-0.0,0.0,0.0,0.0
MOD can ~ MOD lest,-0.0,0.0,0.0,0.0
MOD must ~ PRES shall,-0.0,0.0,0.0,0.0
MOD lest ~ MOD let,-0.0,0.0,0.0,0.0
MOD could ~ MOD shall,-0.0,0.0,0.0,0.0
MOD VB ~ TO INF,-0.0,0.0,0.0,0.0
MOD could ~ PAST PERF,-0.0,0.0,0.0,0.0
MOD VB ~ MOD shall,-0.0,0.0,0.0,0.0
MOD could ~ PRES PERF,-0.0,0.0,0.0,0.0
MOD VB ~ MOD can,-0.0,0.0,0.0,0.0
JJ ~ PRES,-0.0,0.0,0.0,0.0
IMPV ~ PRES PERF,-0.0,0.0,0.0,0.0
MOD is to ~ MOD lest,-0.0,0.0,0.0,0.0
MOD is to ~ MOD should,-0.0,0.0,0.0,0.0
MOD is to ~ PRES PROG,-0.0,0.0,0.0,0.0
IMPV ~ MOD need not,-1.06,1.31,0.0,0.0
MOD lest ~ MOD must,-0.0,0.0,0.0,0.0
MOD must ~ PRES PROG,-0.0,0.0,0.0,0.0
MOD let ~ MOD might,-0.0,0.0,0.0,0.0
IMPV ~ MOD,-0.0,0.0,0.0,0.0
MOD let ~ VB,-0.0,0.0,0.0,0.0
HAB used to ~ PRES PERF,-0.0,0.0,0.0,0.0
HAB used to ~ PRES,-1.06,1.31,0.0,0.0
MOD may ~ MOD should,-0.0,0.0,0.0,0.0
HAB used to ~ MOD would,-0.0,0.0,0.0,0.0
MOD may ~ MOD would,-0.0,0.0,0.0,0.0
MOD might ~ PRES PERF,-0.0,0.0,0.0,0.0
FUT ~ PRES shall,-0.0,0.0,0.0,0.0
MOD must ~ MOD quest must,-0.0,0.0,0.0,0.0
MOD must ~ PRES PART,-0.0,0.0,0.0,0.0
MOD lest ~ MOD that be,-0.0,0.0,0.0,0.0
