eng_TAMsimp,Q,D,?,N
MOD let ~ TO INF,0.0,inf,inf,inf
MOD can ~ MOD must,0.0,inf,inf,inf
PAST PROG ~ PRES,0.0,inf,inf,inf
MOD could ~ TO INF,1.0,1.0,inf,inf
MOD may ~ PRES PERF,0.0,inf,inf,inf
PRES PROG,0.0,inf,inf,inf
MOD must ~ MOD should,1.0,1.0,inf,inf
PRES ~ PRES can,0.0,inf,inf,inf
PRES PART ~ PRES PROG,0.0,inf,inf,inf
MOD was to ~ PRES,0.0,inf,inf,inf
FUT PERF ~ PRES,0.0,inf,inf,inf
HAB used to ~ MOD would,0.0,inf,inf,inf
PRES ~ PRES shall,0.0,inf,inf,inf
HAB used to ~ PRES,inf,0.0,inf,inf
MOD would ~ PAST PERF,0.0,inf,inf,inf
FUT PROG ~ MOD shall,0.0,inf,inf,inf
FUT ~ PRES shall,0.0,inf,inf,inf
FUT ~ FUT PROG,0.0,inf,inf,inf
FUT going-to ~ MOD is to,0.0,inf,inf,inf
FUT going-to ~ MOD lest,0.0,inf,inf,inf
MOD would ~ PAST PROG,0.0,inf,inf,inf
PAST PROG ~ PRES PART,inf,0.0,inf,inf
MOD ~ PRES,0.0,inf,inf,inf
PRES PERF ~ PRES PROG,0.0,inf,inf,inf
FUT PERF,0.0,inf,inf,inf
FUT ~ MOD,0.0,inf,inf,inf
MOD let ~ MOD should,0.0,inf,inf,inf
HAB used to ~ PRES PERF,0.0,inf,inf,inf
MOD is to ~ PRES PROG,0.0,inf,inf,inf
MOD might ~ PRES PERF,0.0,inf,inf,inf
MOD could ~ PAST PERF,0.0,inf,inf,inf
MOD could ~ PRES PERF,0.0,inf,inf,inf
MOD is to ~ MOD lest,0.0,inf,inf,inf
MOD is to ~ MOD should,0.0,inf,inf,inf
MOD is to ~ PRES,0.0,inf,inf,inf
MOD may ~ MOD would,0.0,inf,inf,inf
MOD that be ~ TO INF,0.0,inf,inf,inf
MOD lest ~ MOD let,0.0,inf,inf,inf
MOD may ~ MOD should,0.0,inf,inf,inf
MOD lest ~ MOD must,0.0,inf,inf,inf
MOD lest ~ MOD that be,0.0,inf,inf,inf
MOD let ~ PRES PERF,0.0,inf,inf,inf
MOD let ~ PRES PART,0.0,inf,inf,inf
MOD could ~ MOD shall,0.0,inf,inf,inf
MOD must ~ MOD quest must,0.0,inf,inf,inf
MOD must ~ PRES PART,0.0,inf,inf,inf
MOD must ~ PRES PROG,0.0,inf,inf,inf
MOD must ~ PRES shall,0.0,inf,inf,inf
MOD must ~ TO INF,0.0,inf,inf,inf
MOD can ~ MOD lest,0.0,inf,inf,inf
MOD VB ~ TO INF,0.0,inf,inf,inf
MOD VB ~ MOD shall,0.0,inf,inf,inf
MOD let ~ MOD that be,0.0,inf,inf,inf
MOD VB ~ MOD can,0.0,inf,inf,inf
JJ ~ PRES,0.0,inf,inf,inf
IMPV ~ PRES PERF,0.0,inf,inf,inf
MOD quest must ~ MOD shall,0.0,inf,inf,inf
IMPV ~ MOD need not,inf,0.0,inf,inf
MOD should ~ PRES PART,0.0,inf,inf,inf
MOD that be,0.0,inf,inf,inf
MOD quest must,0.0,inf,inf,inf
