eng_TAMsimp,WQt0,WQtX,MSyn
MOD was to,0.5,2.0,inf
MOD lest ~ PRES PART,0.0,inf,inf
MOD let ~ MOD must,1.0,1.0,inf
MOD must ~ PRES,0.0,inf,inf
PAST ~ PAST PERF,0.0,inf,inf
MOD that be ~ TO INF,0.0,inf,inf
FUT ~ MOD must,1.0,1.0,inf
IMPV ~ MOD is to,0.0,inf,inf
MOD may ~ PRES PART,0.0,inf,inf
PRES ~ PRES PROG,0.0,inf,inf
MOD let ~ PRES,0.0,inf,inf
MOD was to ~ PAST,0.0,inf,inf
MOD must ~ PRES PART,0.0,inf,inf
FUT going-to ~ MOD shall,0.0,inf,inf
MOD lest ~ MOD must,0.0,inf,inf
MOD can ~ MOD let,0.0,inf,inf
MOD lest ~ MOD might,0.0,inf,inf
MOD would ~ PRES PART,0.0,inf,inf
IMPV ~ PRES PART,0.0,inf,inf
MOD quest must ~ MOD shall,0.0,inf,inf
FUT ~ MOD that be,inf,0.0,inf
FUT PROG,inf,0.0,inf
MOD should ~ MOD would,inf,0.0,inf
MOD would ~ TO INF,inf,0.0,inf
MOD would ~ PRES PROG,0.0,inf,inf
FUT ~ MOD should,0.0,inf,inf
FUT ~ FUT PROG,0.0,inf,inf
FUT ~ MOD VB,inf,0.0,inf
PAST PROG ~ TO INF,0.0,inf,inf
FUT ~ MOD is to,inf,0.0,inf
MOD is to ~ MOD may,0.0,inf,inf
MOD must,inf,0.0,inf
MOD might ~ MOD would,0.0,inf,inf
MOD is to ~ MOD lest,0.0,inf,inf
MOD could ~ MOD would,0.0,inf,inf
MOD could ~ MOD may,0.0,inf,inf
MOD could,0.0,inf,inf
MOD can ~ TO INF,0.0,inf,inf
MOD is to ~ PRES PART,0.0,inf,inf
MOD lest ~ PRES,0.0,inf,inf
MOD let ~ MOD might,inf,0.0,inf
MOD let ~ MOD should,0.0,inf,inf
MOD let ~ MOD would,0.0,inf,inf
PRES PART ~ PRES PERF,0.0,inf,inf
MOD let ~ PRES PART,0.0,inf,inf
IMPV ~ MOD VB,0.0,inf,inf
PRES PERF ~ TO INF,0.0,inf,inf
HAB used to ~ PRES PART,0.0,inf,inf
MOD ~ MOD would,0.0,inf,inf
MOD might,inf,0.0,inf
HAB used to ~ PAST PROG,inf,0.0,inf
