,WQt0,WQtX,MSyn
MOD shall ~ MOD would,inf,0.0,0.0
PAST ~ TO INF,1.07,0.94,0.0
MOD lest ~ TO INF,inf,0.0,0.0
IMPV ~ PAST,inf,0.0,0.0
FUT ~ FUT PERF,inf,0.0,0.0
MOD would ~ PRES,inf,0.0,0.0
FUT ~ MOD can,inf,0.0,0.0
MOD should,inf,0.0,0.0
IMPV ~ MOD lest,inf,0.0,0.0
MOD shall ~ MOD should,0.8,1.25,0.0
IMPV ~ MOD must,inf,0.0,0.0
IMPV ~ MOD may,inf,0.0,0.0
MOD let ~ TO INF,inf,0.0,0.0
FUT ~ PRES PERF,0.8,1.25,0.0
HAB used to ~ PAST,0.13,7.5,0.0
IMPV ~ MOD would,inf,0.0,0.0
MOD VB ~ PRES,inf,0.0,0.0
MOD can,inf,0.0,0.0
FUT ~ FUT going-to,inf,0.0,0.0
MOD can ~ PRES,0.54,1.87,0.0
HAB used to,0.54,1.87,0.0
HAB used to ~ MOD would,0.13,7.5,0.0
PAST PERF,inf,0.0,0.0
MOD should ~ PRES,0.54,1.87,0.0
MOD is to ~ TO INF,inf,0.0,0.0
MOD may ~ MOD must,inf,0.0,0.0
MOD was to,0.54,1.87,0.0
MOD lest ~ PRES PART,inf,0.0,0.0
MOD let ~ MOD must,0.27,3.75,0.0
MOD must ~ PRES,inf,0.0,0.0
PAST ~ PAST PERF,inf,0.0,0.0
MOD that be ~ TO INF,inf,0.0,0.0
FUT ~ MOD must,0.27,3.75,0.0
IMPV ~ MOD is to,inf,0.0,0.0
MOD may ~ PRES PART,inf,0.0,0.0
PRES ~ PRES PROG,inf,0.0,0.0
MOD let ~ PRES,inf,0.0,0.0
MOD was to ~ PAST,inf,0.0,0.0
MOD must ~ PRES PART,inf,0.0,0.0
FUT going-to ~ MOD shall,inf,0.0,0.0
MOD lest ~ MOD must,inf,0.0,0.0
MOD can ~ MOD let,inf,0.0,0.0
MOD lest ~ MOD might,inf,0.0,0.0
MOD would ~ PRES PART,inf,0.0,0.0
IMPV ~ PRES PART,inf,0.0,0.0
MOD quest must ~ MOD shall,inf,0.0,0.0
FUT ~ MOD that be,0.0,inf,0.0
FUT PROG,0.0,inf,0.0
MOD should ~ MOD would,0.0,inf,0.0
MOD would ~ TO INF,0.0,inf,0.0
MOD would ~ PRES PROG,inf,0.0,0.0
FUT ~ MOD should,inf,0.0,0.0
FUT ~ FUT PROG,inf,0.0,0.0
FUT ~ MOD VB,0.0,inf,0.0
PAST PROG ~ TO INF,inf,0.0,0.0
FUT ~ MOD is to,0.0,inf,0.0
MOD is to ~ MOD may,inf,0.0,0.0
MOD must,0.0,inf,0.0
MOD might ~ MOD would,inf,0.0,0.0
MOD is to ~ MOD lest,inf,0.0,0.0
MOD could ~ MOD would,inf,0.0,0.0
MOD could ~ MOD may,inf,0.0,0.0
MOD could,inf,0.0,0.0
MOD can ~ TO INF,inf,0.0,0.0
MOD is to ~ PRES PART,inf,0.0,0.0
MOD lest ~ PRES,inf,0.0,0.0
MOD let ~ MOD might,0.0,inf,0.0
MOD let ~ MOD should,inf,0.0,0.0
MOD let ~ MOD would,inf,0.0,0.0
PRES PART ~ PRES PERF,inf,0.0,0.0
MOD let ~ PRES PART,inf,0.0,0.0
IMPV ~ MOD VB,inf,0.0,0.0
PRES PERF ~ TO INF,inf,0.0,0.0
HAB used to ~ PRES PART,inf,0.0,0.0
MOD ~ MOD would,inf,0.0,0.0
MOD might,0.0,inf,0.0
HAB used to ~ PAST PROG,0.0,inf,0.0
