,Q,D,?,N
MOD might ~ MOD would,0.58,3.22,0.0,0.0
IMPV ~ TO INF,inf,0.0,0.0,0.0
FUT ~ FUT going-to,inf,0.0,0.0,0.0
PRES PART ~ TO INF,0.48,3.86,0.0,0.0
MOD lest ~ MOD might,inf,0.0,0.0,0.0
MOD could ~ PAST,0.48,0.0,0.0,84.23
FUT ~ PRES PERF,inf,0.0,0.0,0.0
MOD can ~ TO INF,inf,0.0,0.0,0.0
MOD is to ~ MOD may,0.48,3.86,0.0,0.0
MOD may ~ PRES PART,0.48,0.0,5.35,0.0
MOD could ~ MOD might,0.19,9.67,0.0,0.0
FUT going-to ~ MOD shall,inf,0.0,0.0,0.0
MOD shall ~ MOD would,inf,0.0,0.0,0.0
?VB ~ MOD let,inf,0.0,0.0,0.0
PAST ~ PAST PROG,0.02,38.81,5.35,0.0
MOD can ~ PRES PART,inf,0.0,0.0,0.0
MOD VB ~ MOD may,0.38,0.0,6.69,0.0
MOD is to ~ MOD must,inf,0.0,0.0,0.0
MOD might ~ TO INF,0.38,4.83,0.0,0.0
MOD can ~ MOD let,inf,0.0,0.0,0.0
MOD lest ~ TO INF,inf,0.0,0.0,0.0
MOD would ~ TO INF,0.38,0.0,0.0,105.3
MOD let ~ PRES PART,inf,0.0,0.0,0.0
MOD might ~ PAST,inf,0.0,0.0,0.0
MOD was to,0.02,77.63,0.0,0.0
MOD might ~ MOD should,0.38,4.83,0.0,0.0
MOD should ~ PAST,inf,0.0,0.0,0.0
MOD VB ~ PRES,inf,0.0,0.0,0.0
FUT ~ PRES PROG,inf,0.0,0.0,0.0
IMPV ~ MOD lest,inf,0.0,0.0,0.0
HAB used to,0.03,19.35,0.0,140.41
PAST PERF ~ PRES,0.29,6.44,0.0,0.0
MOD can ~ PAST,inf,0.0,0.0,0.0
FUT ~ MOD is to,inf,0.0,0.0,0.0
?VB ~ PAST,inf,0.0,0.0,0.0
PRES PERF ~ TO INF,inf,0.0,0.0,0.0
MOD could ~ MOD should,inf,0.0,0.0,0.0
?VB,inf,0.0,0.0,0.0
PAST PROG,0.0,inf,0.0,0.0
MOD shall ~ PRES PERF,inf,0.0,0.0,0.0
MOD can ~ MOD might,inf,0.0,0.0,0.0
MOD could ~ MOD must,inf,0.0,0.0,0.0
FUT PROG ~ PRES,0.19,0.0,13.37,0.0
MOD lest ~ MOD would,0.19,9.66,0.0,0.0
FUT ~ MOD that be,inf,0.0,0.0,0.0
MOD need not ~ MOD shall,inf,0.0,0.0,0.0
MOD may ~ PRES PERF,inf,0.0,0.0,0.0
MOD may ~ PAST,inf,0.0,0.0,0.0
MOD may ~ MOD might,inf,0.0,0.0,0.0
PRES PART ~ PRES PERF,inf,0.0,0.0,0.0
MOD is to ~ PRES PART,inf,0.0,0.0,0.0
MOD let ~ PRES PERF,inf,0.0,0.0,0.0
MOD let ~ MOD would,inf,0.0,0.0,0.0
IMPV ~ MOD is to,inf,0.0,0.0,0.0
MOD would ~ PRES PART,inf,0.0,0.0,0.0
?VB ~ MOD must,inf,0.0,0.0,0.0
?VB ~ MOD shall,inf,0.0,0.0,0.0
??VB ~ MOD let,inf,0.0,0.0,0.0
MOD must ~ MOD should,0.1,19.32,0.0,0.0
MOD is to ~ PRES,inf,0.0,0.0,0.0
MOD can ~ MOD must,inf,0.0,0.0,0.0
MOD should ~ PRES PERF,inf,0.0,0.0,0.0
MOD that be,inf,0.0,0.0,0.0
MOD let ~ MOD that be,inf,0.0,0.0,0.0
PAST PROG ~ PRES,inf,0.0,0.0,0.0
MOD lest ~ MOD should,inf,0.0,0.0,0.0
MOD lest ~ MOD shall,inf,0.0,0.0,0.0
MOD is to ~ TO INF,inf,0.0,0.0,0.0
MOD need not ~ PRES,inf,0.0,0.0,0.0
MOD could ~ TO INF,0.1,19.32,0.0,0.0
PRES PROG,inf,0.0,0.0,0.0
PRES ~ PRES do,inf,0.0,0.0,0.0
FUT PERF,inf,0.0,0.0,0.0
FUT ~ MOD,inf,0.0,0.0,0.0
MOD quest must,inf,0.0,0.0,0.0
MOD quest must ~ MOD shall,inf,0.0,0.0,0.0
PRES ~ PRES shall,inf,0.0,0.0,0.0
MOD should ~ PRES PART,inf,0.0,0.0,0.0
?VB ~ IMPV,inf,0.0,0.0,0.0
?VB ~ MOD lest,inf,0.0,0.0,0.0
MOD that be ~ TO INF,inf,0.0,0.0,0.0
MOD was to ~ PRES,inf,0.0,0.0,0.0
MOD would ~ PAST PERF,inf,0.0,0.0,0.0
MOD ~ PRES,inf,0.0,0.0,0.0
MOD would ~ PAST PROG,inf,0.0,0.0,0.0
FUT PERF ~ PRES,inf,0.0,0.0,0.0
FUT ~ FUT PROG,inf,0.0,0.0,0.0
PRES ~ PRES can,inf,0.0,0.0,0.0
PRES PERF ~ PRES PROG,inf,0.0,0.0,0.0
MOD must ~ TO INF,inf,0.0,0.0,0.0
FUT going-to ~ MOD is to,inf,0.0,0.0,0.0
PAST PROG ~ PRES PART,0.0,inf,0.0,0.0
FUT PROG ~ MOD shall,inf,0.0,0.0,0.0
PRES PART ~ PRES PROG,inf,0.0,0.0,0.0
FUT going-to ~ MOD lest,inf,0.0,0.0,0.0
MOD can ~ MOD lest,inf,0.0,0.0,0.0
MOD must ~ PRES shall,inf,0.0,0.0,0.0
MOD lest ~ MOD let,inf,0.0,0.0,0.0
MOD could ~ MOD shall,inf,0.0,0.0,0.0
MOD VB ~ TO INF,inf,0.0,0.0,0.0
MOD could ~ PAST PERF,inf,0.0,0.0,0.0
MOD VB ~ MOD shall,inf,0.0,0.0,0.0
MOD could ~ PRES PERF,inf,0.0,0.0,0.0
MOD VB ~ MOD can,inf,0.0,0.0,0.0
JJ ~ PRES,inf,0.0,0.0,0.0
IMPV ~ PRES PERF,inf,0.0,0.0,0.0
MOD is to ~ MOD lest,inf,0.0,0.0,0.0
MOD is to ~ MOD should,inf,0.0,0.0,0.0
MOD is to ~ PRES PROG,inf,0.0,0.0,0.0
IMPV ~ MOD need not,0.0,inf,0.0,0.0
MOD lest ~ MOD must,inf,0.0,0.0,0.0
MOD must ~ PRES PROG,inf,0.0,0.0,0.0
MOD let ~ MOD might,inf,0.0,0.0,0.0
IMPV ~ MOD,inf,0.0,0.0,0.0
MOD let ~ VB,inf,0.0,0.0,0.0
HAB used to ~ PRES PERF,inf,0.0,0.0,0.0
HAB used to ~ PRES,0.0,inf,0.0,0.0
MOD may ~ MOD should,inf,0.0,0.0,0.0
HAB used to ~ MOD would,inf,0.0,0.0,0.0
MOD may ~ MOD would,inf,0.0,0.0,0.0
MOD might ~ PRES PERF,inf,0.0,0.0,0.0
FUT ~ PRES shall,inf,0.0,0.0,0.0
MOD must ~ MOD quest must,inf,0.0,0.0,0.0
MOD must ~ PRES PART,inf,0.0,0.0,0.0
MOD lest ~ MOD that be,inf,0.0,0.0,0.0
