eng_TAMsimp,Q,D,?,N
IMPV ~ MOD can,0.0,inf,inf,inf
MOD let ~ MOD should,0.0,inf,inf,inf
IMPV ~ MOD should,0.0,inf,inf,inf
PAST ~ PAST PERF,1.0,2.33,9.0,9.0
IMPV ~ PRES PART,0.0,inf,inf,inf
MOD is to,0.25,inf,4.0,inf
MOD is to ~ MOD let,0.0,inf,inf,inf
MOD was to ~ PAST,0.5,3.5,8.0,inf
IMPV ~ TO INF,0.0,inf,inf,inf
MOD can ~ MOD could,0.0,inf,inf,inf
MOD can ~ MOD should,0.0,inf,inf,inf
MOD should ~ MOD was to,0.75,2.5,inf,6.0
MOD can ~ MOD let,0.0,inf,inf,inf
IMPV ~ PAST,0.0,inf,inf,inf
MOD can ~ TO INF,0.0,inf,inf,inf
MOD may ~ PRES PART,0.17,inf,6.0,inf
MOD might ~ MOD would,0.17,6.0,inf,inf
MOD lest,0.0,inf,inf,inf
MOD could ~ MOD might,0.4,2.5,inf,inf
PRES PART ~ TO INF,0.17,6.0,inf,inf
FUT ~ MOD must,0.0,inf,inf,inf
MOD could ~ MOD would,0.0,inf,inf,inf
PAST PERF,6.0,0.17,inf,inf
MOD would ~ TO INF,0.2,inf,inf,5.0
MOD lest ~ MOD might,0.0,inf,inf,inf
MOD can ~ PRES PART,0.0,inf,inf,inf
MOD could ~ PAST,0.2,inf,inf,5.0
MOD is to ~ MOD may,0.2,5.0,inf,inf
FUT ~ PRES PERF,0.0,inf,inf,inf
MOD shall ~ MOD would,0.0,inf,inf,inf
MOD let ~ PRES PART,0.0,inf,inf,inf
FUT going-to ~ MOD shall,0.0,inf,inf,inf
FUT ~ FUT going-to,0.0,inf,inf,inf
MOD might ~ TO INF,0.2,5.0,inf,inf
PAST ~ PAST PROG,5.0,0.5,5.0,inf
MOD might ~ PAST,0.0,inf,inf,inf
MOD might ~ MOD should,0.25,4.0,inf,inf
MOD let ~ MOD would,0.0,inf,inf,inf
MOD was to,4.0,0.25,inf,inf
MOD lest ~ TO INF,0.0,inf,inf,inf
MOD VB ~ MOD may,0.25,inf,4.0,inf
MOD is to ~ MOD must,0.0,inf,inf,inf
FUT ~ PRES PROG,0.0,inf,inf,inf
PAST PERF ~ PRES,0.33,3.0,inf,inf
MOD can ~ PAST,0.0,inf,inf,inf
HAB used to,3.0,1.0,inf,3.0
IMPV ~ MOD is to,0.0,inf,inf,inf
MOD VB ~ PRES,0.0,inf,inf,inf
PRES PERF ~ TO INF,0.0,inf,inf,inf
FUT ~ MOD is to,0.0,inf,inf,inf
IMPV ~ MOD lest,0.0,inf,inf,inf
?VB ~ PAST,0.0,inf,inf,inf
MOD let ~ PRES PERF,0.0,inf,inf,inf
MOD should ~ PAST,0.0,inf,inf,inf
MOD would ~ PRES PART,0.0,inf,inf,inf
FUT PROG ~ PRES,0.5,inf,2.0,inf
FUT ~ MOD that be,0.0,inf,inf,inf
PRES PART ~ PRES PERF,0.0,inf,inf,inf
MOD may ~ PRES PERF,0.0,inf,inf,inf
MOD may ~ PAST,0.0,inf,inf,inf
MOD shall ~ PRES PERF,0.0,inf,inf,inf
MOD may ~ MOD might,0.0,inf,inf,inf
PAST PROG,inf,0.0,inf,inf
MOD lest ~ MOD would,0.5,2.0,inf,inf
MOD can ~ MOD might,0.0,inf,inf,inf
MOD need not ~ MOD shall,0.0,inf,inf,inf
MOD could ~ MOD should,0.0,inf,inf,inf
MOD is to ~ PRES PART,0.0,inf,inf,inf
MOD could ~ MOD must,0.0,inf,inf,inf
MOD should ~ PRES PERF,0.0,inf,inf,inf
MOD let ~ MOD that be,0.0,inf,inf,inf
MOD need not ~ PRES,0.0,inf,inf,inf
PAST PROG ~ PRES,0.0,inf,inf,inf
PRES ~ PRES do,0.0,inf,inf,inf
MOD must ~ MOD should,1.0,1.0,inf,inf
MOD that be,0.0,inf,inf,inf
MOD must ~ MOD quest must,0.0,inf,inf,inf
MOD is to ~ PRES,0.0,inf,inf,inf
PRES PROG,0.0,inf,inf,inf
MOD lest ~ MOD let,0.0,inf,inf,inf
MOD lest ~ MOD should,0.0,inf,inf,inf
MOD is to ~ TO INF,0.0,inf,inf,inf
MOD can ~ MOD must,0.0,inf,inf,inf
MOD could ~ TO INF,1.0,1.0,inf,inf
MOD lest ~ MOD shall,0.0,inf,inf,inf
FUT ~ MOD was to,0.0,inf,inf,inf
MOD quest must,0.0,inf,inf,inf
PRES PERF ~ PRES PROG,0.0,inf,inf,inf
MOD quest must ~ MOD shall,0.0,inf,inf,inf
MOD might ~ PRES PERF,0.0,inf,inf,inf
PRES PART ~ PRES PROG,0.0,inf,inf,inf
MOD must ~ TO INF,0.0,inf,inf,inf
MOD must ~ PRES PART,0.0,inf,inf,inf
FUT going-to ~ MOD lest,0.0,inf,inf,inf
PRES ~ PRES shall,0.0,inf,inf,inf
FUT PERF,0.0,inf,inf,inf
FUT PERF ~ PRES,0.0,inf,inf,inf
FUT PROG ~ MOD shall,0.0,inf,inf,inf
MOD is to ~ MOD lest,0.0,inf,inf,inf
FUT going-to ~ MOD is to,0.0,inf,inf,inf
FUT going-to ~ MOD may,0.0,inf,inf,inf
PRES ~ PRES can,0.0,inf,inf,inf
MOD must ~ PRES shall,0.0,inf,inf,inf
FUT ~ FUT PERF,0.0,inf,inf,inf
FUT ~ FUT PROG,0.0,inf,inf,inf
MOD must ~ PRES PROG,0.0,inf,inf,inf
MOD could ~ PAST PERF,0.0,inf,inf,inf
FUT ~ MOD,0.0,inf,inf,inf
MOD could ~ PRES PERF,0.0,inf,inf,inf
HAB used to ~ PRES,inf,0.0,inf,inf
FUT ~ PRES shall,0.0,inf,inf,inf
MOD may ~ MOD would,0.0,inf,inf,inf
MOD would ~ PAST PROG,0.0,inf,inf,inf
MOD lest ~ MOD must,0.0,inf,inf,inf
MOD would ~ PAST PERF,0.0,inf,inf,inf
MOD lest ~ MOD that be,0.0,inf,inf,inf
MOD can ~ MOD lest,0.0,inf,inf,inf
MOD ~ MOD let,0.0,inf,inf,inf
MOD VB ~ TO INF,0.0,inf,inf,inf
MOD that be ~ TO INF,0.0,inf,inf,inf
MOD VB ~ MOD shall,0.0,inf,inf,inf
MOD VB ~ MOD can,0.0,inf,inf,inf
JJ ~ PRES,0.0,inf,inf,inf
MOD let ~ MOD might,0.0,inf,inf,inf
IMPV ~ PRES PERF,0.0,inf,inf,inf
MOD ~ PRES,0.0,inf,inf,inf
MOD should ~ PRES PART,0.0,inf,inf,inf
MOD let ~ MOD that,0.0,inf,inf,inf
IMPV ~ MOD need not,inf,0.0,inf,inf
MOD could ~ MOD shall,0.0,inf,inf,inf
MOD is to ~ MOD should,0.0,inf,inf,inf
MOD let ~ VB,0.0,inf,inf,inf
MOD is to ~ PRES PROG,0.0,inf,inf,inf
IMPV ~ MOD,0.0,inf,inf,inf
IMPV not ~ MOD must,0.0,inf,inf,inf
PAST PROG ~ PRES PART,inf,0.0,inf,inf
HAB used to ~ PRES PERF,0.0,inf,inf,inf
HAB used to ~ MOD would,0.0,inf,inf,inf
MOD may ~ MOD should,0.0,inf,inf,inf
MOD was to ~ PRES,0.0,inf,inf,inf
