clause_rela,Main,Main,SubAdv,Main,SubMod,Main,SubAdv,SubArg,SubAdv,SubMod,SubAdv,SubArg,SubMod
MOD would ~ PAST,8.67,1.07,13.5,2.62,13.5,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ TO INF,2.38,4.4,26.0,4.4,inf,12.5,5.75,12.5,inf,inf,inf,inf,inf
MOD would ~ PRES,1.3,6.67,10.5,10.5,22.0,22.0,inf,4.75,inf,inf,inf,inf,inf
FUT ~ IMPV,6.0,2.5,6.0,1.62,inf,20.0,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PART,2.5,2.5,6.0,20.0,20.0,6.0,20.0,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES PART,1.0,4.0,inf,9.0,19.0,19.0,19.0,19.0,inf,inf,inf,inf,inf
MOD should ~ TO INF,8.0,inf,2.0,inf,8.0,inf,8.0,2.0,inf,inf,inf,inf,inf
MOD must ~ PRES,2.0,2.6,5.0,inf,8.0,inf,inf,8.0,inf,inf,inf,inf,inf
PRES ~ PRES PROG,3.0,7.0,3.0,7.0,7.0,inf,15.0,15.0,inf,inf,inf,inf,inf
MOD lest ~ MOD may,inf,3.0,0.45,inf,inf,inf,15.0,inf,inf,inf,inf,inf,inf
MOD let ~ PRES,2.75,4.0,inf,1.5,inf,6.5,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PART,1.5,4.0,4.0,6.5,inf,14.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ PAST,2.0,1.14,inf,14.0,inf,6.5,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PAST,1.33,2.5,3.67,13.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD let,3.67,3.67,6.0,1.8,inf,13.0,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ PRES,inf,3.67,0.4,inf,inf,inf,13.0,inf,inf,inf,inf,inf,inf
MOD should ~ MOD would,1.8,13.0,inf,6.0,13.0,13.0,3.67,inf,inf,inf,13.0,inf,inf
IMPV ~ MOD may,1.6,1.6,5.5,inf,inf,12.0,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD shall,1.17,3.33,inf,2.25,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD should,1.0,3.0,11.0,inf,11.0,inf,inf,11.0,inf,inf,inf,inf,inf
HAB used to ~ PAST,1.0,3.0,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ TO INF,11.0,11.0,1.4,inf,inf,2.0,inf,11.0,inf,inf,inf,inf,inf
IMPV ~ MOD must,0.71,5.0,11.0,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD let,0.83,4.5,inf,4.5,inf,inf,10.0,inf,inf,inf,inf,inf,inf
IMPV ~ MOD can,4.5,0.22,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might,2.67,inf,1.2,inf,inf,inf,10.0,inf,inf,10.0,inf,10.0,inf
PAST ~ TO INF,2.67,4.5,10.0,4.5,10.0,inf,inf,4.5,inf,inf,inf,inf,inf
MOD may ~ MOD must,1.0,1.5,inf,9.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PERF,2.33,2.33,9.0,9.0,inf,inf,inf,4.0,inf,inf,inf,inf,inf
MOD is to,1.0,inf,9.0,inf,4.0,inf,inf,4.0,inf,inf,inf,inf,inf
MOD was to ~ PAST,0.8,inf,8.0,inf,3.5,8.0,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD should,3.0,inf,0.6,inf,inf,inf,inf,7.0,inf,inf,inf,inf,inf
MOD can ~ MOD could,inf,3.0,3.0,inf,3.0,inf,7.0,inf,7.0,inf,inf,inf,inf
MOD lest,inf,inf,0.4,inf,inf,2.5,inf,inf,inf,inf,inf,inf,inf
PAST PERF,inf,1.33,inf,6.0,2.5,inf,6.0,inf,inf,inf,inf,inf,inf
FUT ~ MOD must,1.33,1.33,inf,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ MOD was to,6.0,inf,6.0,6.0,1.33,inf,inf,6.0,inf,inf,inf,inf,inf
MOD might ~ MOD would,5.0,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,5.0,inf,inf
MOD could ~ PAST,2.0,1.0,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PERF,5.0,inf,1.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PROG,2.0,1.0,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD shall,0.5,inf,5.0,inf,inf,5.0,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD might,2.0,inf,0.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD would,0.5,5.0,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD must,inf,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ TO INF,inf,1.0,inf,5.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD may,2.0,5.0,5.0,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD would,1.0,5.0,5.0,inf,inf,inf,5.0,inf,inf,inf,inf,inf,inf
FUT ~ FUT going-to,0.25,inf,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD may,inf,1.5,1.5,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES PART,4.0,0.67,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD must,4.0,inf,inf,4.0,1.5,inf,inf,4.0,inf,inf,inf,inf,inf
MOD can ~ TO INF,0.67,1.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES PART,0.67,1.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ TO INF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ TO INF,4.0,inf,1.5,inf,inf,4.0,4.0,inf,inf,inf,inf,inf,inf
MOD may ~ PRES PART,inf,1.5,4.0,inf,inf,4.0,4.0,inf,inf,inf,inf,inf,inf
MOD would ~ TO INF,4.0,4.0,inf,inf,4.0,inf,inf,1.5,inf,inf,inf,inf,inf
MOD might ~ PAST,inf,inf,4.0,4.0,inf,0.67,inf,inf,inf,inf,inf,inf,inf
MOD might ~ MOD should,1.5,4.0,inf,4.0,inf,inf,inf,4.0,inf,inf,inf,inf,inf
MOD was to,4.0,0.67,inf,inf,4.0,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ PAST,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ TO INF,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ TO INF,inf,3.0,inf,inf,inf,0.33,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD might,3.0,3.0,3.0,inf,inf,inf,3.0,inf,inf,inf,inf,inf,inf
MOD can ~ PAST,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD is to,3.0,inf,inf,inf,3.0,inf,inf,1.0,inf,inf,inf,inf,inf
MOD VB ~ PRES,inf,inf,0.33,inf,inf,inf,3.0,inf,inf,inf,inf,inf,inf
PAST PERF ~ PRES,3.0,inf,inf,3.0,3.0,3.0,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PAST,3.0,1.0,inf,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PAST,3.0,inf,0.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to,3.0,1.0,inf,inf,inf,inf,inf,3.0,inf,inf,inf,inf,inf
IMPV ~ MOD lest,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD may,1.0,3.0,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PROG,2.0,inf,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES PERF,2.0,0.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES PART,2.0,inf,2.0,inf,inf,inf,inf,inf,2.0,inf,inf,inf,inf
FUT ~ MOD that be,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD let,2.0,2.0,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG,inf,2.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,2.0
MOD can ~ MOD might,inf,2.0,inf,inf,inf,inf,inf,0.5,inf,inf,inf,inf,inf
MOD lest ~ MOD would,inf,2.0,2.0,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf
MOD could ~ MOD must,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD should,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD is to,0.5,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD might,2.0,inf,2.0,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf
FUT PROG ~ PRES,inf,2.0,0.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PART,inf,inf,inf,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES do,inf,1.0,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
MOD may ~ PAST,1.0,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD should,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES PERF,inf,inf,inf,inf,inf,1.0,inf,1.0,inf,inf,inf,inf,inf
MOD lest ~ MOD shall,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD should,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ TO INF,inf,inf,inf,inf,inf,inf,inf,1.0,inf,1.0,inf,inf,inf
MOD let ~ PAST,inf,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD need not ~ PRES,1.0,inf,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf
MOD need not ~ MOD shall,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ TO INF,inf,1.0,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD must,inf,inf,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES,inf,inf,1.0,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
MOD could ~ TO INF,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES PERF,inf,inf,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES PROG,inf,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD should,inf,1.0,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES can,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PROG,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD was to ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PERF ~ PRES,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ MOD would,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
PRES ~ PRES shall,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST PERF,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PROG ~ MOD shall,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES shall,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT PROG,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD is to,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
FUT going-to ~ MOD lest,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST PROG,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
PAST PROG ~ PRES PART,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ PRES PROG,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PERF,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD should,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ PRES PERF,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf
MOD is to ~ PRES PROG,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ PRES PERF,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PAST PERF,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
MOD could ~ PRES PERF,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD lest,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD should,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD would,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD that be ~ TO INF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD let,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
MOD may ~ MOD should,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD must,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD that be,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PERF,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PART,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD shall,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD quest must,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES PART,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES PROG,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES shall,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ TO INF,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf
MOD can ~ MOD lest,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ TO INF,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
MOD VB ~ MOD shall,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD that be,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD can,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
JJ ~ PRES,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES PERF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD quest must ~ MOD shall,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD need not,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES PART,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
MOD that be,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD quest must,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
