,wayq,qtl,Ø,ptcp,yqtl,wqtl,infc,impv,cohoF,infa
PAST PERF ~ PRES PERF,-0.79,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PART,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,-1.04,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ VB,-0.33,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,-0.33,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD shall,-1.04,0.5,0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0
FUT,-0.47,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PROG,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PAST,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES,-1.46,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF PROG,-0.73,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PERF,-0.73,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PART,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD would,-0.73,0.0,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ TO INF,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES,-0.73,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES PART,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PAST,-0.73,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD might,-0.73,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ PRES PERF,-0.73,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF PROG,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD may,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PAST,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,-0.73,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PERF PROG,-0.73,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PERF,-0.73,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PART,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES PART,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ TO INF,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,-0.73,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES,-0.73,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,-0.73,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,-0.73,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD would,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES,-0.73,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??VB ~ PAST,-0.73,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
