,Q,N,?,D
MOD should ~ MOD would,0.97,1.72,0.0,0.0
PRES PERF PROG ~ PRES PROG,inf,0.0,0.0,0.0
FUT PROG ~ PRES PART,inf,0.0,0.0,0.0
MOD should ~ TO INF,inf,0.0,0.0,0.0
MOD can ~ TO INF,inf,0.0,0.0,0.0
FUT ~ MOD is to,inf,0.0,0.0,0.0
MOD was to ~ PAST,0.0,inf,0.0,0.0
PRES ~ PRES PERF PROG,inf,0.0,0.0,0.0
MOD can ~ MOD shall,inf,0.0,0.0,0.0
MOD can ~ PRES PART,inf,0.0,0.0,0.0
MOD is to ~ TO INF,inf,0.0,0.0,0.0
MOD let,inf,0.0,0.0,0.0
PRES ~ PRES PROG keep,inf,0.0,0.0,0.0
MOD may ~ PAST,inf,0.0,0.0,0.0
PAST PERF PROG ~ PAST PROG,0.0,inf,0.0,0.0
MOD was to ~ TO INF,0.0,inf,0.0,0.0
FUT ~ MOD may,inf,0.0,0.0,0.0
MOD must ~ MOD shall,inf,0.0,0.0,0.0
MOD must ~ PRES,inf,0.0,0.0,0.0
PAST PERF ~ PAST PERF PROG,0.0,inf,0.0,0.0
PRES PART ~ PRES PERF PROG,inf,0.0,0.0,0.0
FUT going-to ~ PRES PART,inf,0.0,0.0,0.0
FUT ~ PAST PROG,inf,0.0,0.0,0.0
PAST PERF ~ PRES PART,0.0,inf,0.0,0.0
MOD may ~ TO INF,inf,0.0,0.0,0.0
MOD was to ~ PAST PROG,0.0,inf,0.0,0.0
PAST PERF ~ PRES,0.0,inf,0.0,0.0
FUT ~ FUT PROG,inf,0.0,0.0,0.0
IMPV ~ PRES PROG,inf,0.0,0.0,0.0
FUT ~ MOD can,inf,0.0,0.0,0.0
HAB used to ~ PAST PERF,0.0,inf,0.0,0.0
FUT PROG ~ MOD is to,inf,0.0,0.0,0.0
IMPV ~ PAST,0.0,0.0,inf,0.0
FUT ~ MOD would,inf,0.0,0.0,0.0
FUT ~ VB,inf,0.0,0.0,0.0
HAB used to ~ PAST,0.0,inf,0.0,0.0
FUT ~ PAST,inf,0.0,0.0,0.0
TO INF ~ VB,0.0,inf,0.0,0.0
MOD can ~ MOD may,inf,0.0,0.0,0.0
MOD could ~ PRES PART,0.0,inf,0.0,0.0
PRES PROG ~ TO INF,inf,0.0,0.0,0.0
PRES PROG ~ PRES PROG keep,inf,0.0,0.0,0.0
PRES PERF ~ TO INF,inf,0.0,0.0,0.0
PRES PERF ~ PRES PERF PROG,inf,0.0,0.0,0.0
PAST ~ VB,inf,0.0,0.0,0.0
PAST PROG ~ TO INF,0.0,inf,0.0,0.0
MOD would ~ PRES PROG,inf,0.0,0.0,0.0
MOD would ~ PRES PERF,inf,0.0,0.0,0.0
MOD was to ~ PRES PART,0.0,inf,0.0,0.0
MOD was to,0.0,inf,0.0,0.0
MOD that VB ~ PRES PART,0.0,inf,0.0,0.0
MOD should ~ PRES PERF,inf,0.0,0.0,0.0
MOD should ~ PRES,inf,0.0,0.0,0.0
MOD should ~ PAST,0.0,inf,0.0,0.0
MOD should ~ MOD was to,0.0,inf,0.0,0.0
MOD shall ~ PRES PART,inf,0.0,0.0,0.0
MOD shall ~ PAST,inf,0.0,0.0,0.0
MOD shall,inf,0.0,0.0,0.0
MOD need not ~ TO INF,inf,0.0,0.0,0.0
MOD must ~ PRES PART,inf,0.0,0.0,0.0
MOD must,inf,0.0,0.0,0.0
MOD might,0.0,inf,0.0,0.0
MOD may ~ PRES PART,inf,0.0,0.0,0.0
MOD let ~ TO INF,inf,0.0,0.0,0.0
MOD is to ~ MOD would,inf,0.0,0.0,0.0
MOD shall ~ PRES PERF,inf,0.0,0.0,0.0
