eng_TAMsimp,Q,N,?,D
MOD must,1.0,0.0,0.0,0.0
MOD must ~ PRES PROG,1.0,0.0,0.0,0.0
MOD need not ~ TO INF,1.0,0.0,0.0,0.0
MOD shall,1.0,0.0,0.0,0.0
MOD shall ~ PAST,1.0,0.0,0.0,0.0
MOD shall ~ PRES PART,1.0,0.0,0.0,0.0
FUT PROG ~ MOD is to,1.0,0.0,0.0,0.0
MOD should ~ MOD was to,0.0,1.0,0.0,0.0
MOD should ~ PAST,0.0,1.0,0.0,0.0
MOD should ~ PRES,1.0,0.0,0.0,0.0
MOD should ~ PRES PERF,1.0,0.0,0.0,0.0
MOD that VB ~ PRES PART,0.0,1.0,0.0,0.0
MOD was to,0.0,1.0,0.0,0.0
MOD was to ~ PRES PART,0.0,1.0,0.0,0.0
TO INF ~ VB,0.0,1.0,0.0,0.0
