eng_TAMsimp,Q,N,?,D
HAB used to ~ PAST PERF,inf,1.0,inf,inf
FUT PROG ~ MOD is to,1.0,inf,inf,inf
IMPV ~ PAST,inf,inf,1.0,inf
FUT ~ MOD would,1.0,inf,inf,inf
FUT ~ VB,1.0,inf,inf,inf
HAB used to ~ PAST,inf,1.0,inf,inf
FUT ~ PAST,1.0,inf,inf,inf
TO INF ~ VB,inf,1.0,inf,inf
MOD can ~ MOD may,1.0,inf,inf,inf
MOD could ~ PRES PART,inf,1.0,inf,inf
PRES PROG ~ TO INF,1.0,inf,inf,inf
PRES PROG ~ PRES PROG keep,1.0,inf,inf,inf
PRES PERF ~ TO INF,1.0,inf,inf,inf
PRES PERF ~ PRES PERF PROG,1.0,inf,inf,inf
PAST ~ VB,1.0,inf,inf,inf
PAST PROG ~ TO INF,inf,1.0,inf,inf
MOD would ~ PRES PROG,1.0,inf,inf,inf
MOD would ~ PRES PERF,1.0,inf,inf,inf
MOD was to ~ PRES PART,inf,1.0,inf,inf
MOD was to,inf,1.0,inf,inf
MOD that VB ~ PRES PART,inf,1.0,inf,inf
MOD should ~ PRES PERF,1.0,inf,inf,inf
MOD should ~ PRES,1.0,inf,inf,inf
MOD should ~ PAST,inf,1.0,inf,inf
MOD should ~ MOD was to,inf,1.0,inf,inf
MOD shall ~ PRES PART,1.0,inf,inf,inf
MOD shall ~ PAST,1.0,inf,inf,inf
MOD shall,1.0,inf,inf,inf
MOD need not ~ TO INF,1.0,inf,inf,inf
MOD must ~ PRES PART,1.0,inf,inf,inf
MOD must,1.0,inf,inf,inf
MOD might,inf,1.0,inf,inf
MOD may ~ PRES PART,1.0,inf,inf,inf
MOD let ~ TO INF,1.0,inf,inf,inf
MOD is to ~ MOD would,1.0,inf,inf,inf
MOD shall ~ PRES PERF,1.0,inf,inf,inf
