eng_TAMsimp,Q,N,?,D
MOD shall ~ PAST,0.0,inf,inf,inf
MOD shall ~ PRES PART,0.0,inf,inf,inf
FUT PROG ~ MOD is to,0.0,inf,inf,inf
MOD should ~ MOD was to,inf,0.0,inf,inf
MOD should ~ PAST,inf,0.0,inf,inf
MOD should ~ PRES,0.0,inf,inf,inf
MOD should ~ PRES PERF,0.0,inf,inf,inf
MOD that VB ~ PRES PART,inf,0.0,inf,inf
MOD was to,inf,0.0,inf,inf
MOD was to ~ PRES PART,inf,0.0,inf,inf
TO INF ~ VB,inf,0.0,inf,inf
