,prophetic,poetry,prose,instruction,list
PAST ~ PAST PROG,1.18,0.51,2.8,0.0,0.0
FUT going-to ~ MOD shall,0.47,0.0,14.03,0.0,0.0
MOD lest ~ MOD might,0.47,0.0,5.61,1.09,0.0
MOD shall ~ MOD would,0.0,2.56,1.4,1.09,0.0
MOD let ~ MOD must,0.0,0.0,5.61,2.73,0.0
PRES PART ~ TO INF,0.47,1.28,0.0,5.46,0.0
MOD is to ~ MOD may,0.0,0.0,1.4,10.93,0.0
MOD could ~ MOD would,4.74,0.0,1.4,0.0,0.0
FUT ~ FUT going-to,0.0,0.0,inf,0.0,0.0
MOD VB ~ MOD may,1.58,1.71,0.0,1.36,0.0
MOD can ~ PRES PART,0.59,3.84,0.7,0.0,0.0
MOD is to ~ MOD must,0.59,0.0,11.22,0.0,0.0
MOD can ~ TO INF,0.59,3.84,0.7,0.0,0.0
IMPV ~ PRES PART,0.59,0.0,4.2,1.36,0.0
MOD lest ~ TO INF,0.0,0.0,11.22,1.36,0.0
MOD might ~ TO INF,1.58,1.71,0.7,0.0,0.0
MOD may ~ PRES PART,3.56,0.0,1.87,0.0,0.0
MOD would ~ TO INF,0.59,3.84,0.7,0.0,0.0
MOD might ~ PAST,3.56,1.71,0.0,0.0,0.0
MOD might ~ MOD should,0.0,1.71,4.2,0.0,0.0
MOD was to,0.0,0.64,4.2,0.0,60.89
?VB ~ PAST,0.0,2.56,2.8,0.0,0.0
IMPV ~ TO INF,0.79,0.85,0.0,5.46,0.0
PRES PERF ~ TO INF,inf,0.0,0.0,0.0,0.0
MOD could ~ MOD might,0.0,0.0,inf,0.0,0.0
MOD can ~ PAST,7.11,0.0,0.93,0.0,0.0
FUT ~ MOD is to,0.79,0.0,8.41,0.0,0.0
MOD VB ~ PRES,0.0,inf,0.0,0.0,0.0
PAST PERF ~ PRES,0.79,0.85,2.8,0.0,0.0
IMPV ~ PAST,7.11,0.85,0.0,0.0,0.0
MOD should ~ PAST,0.79,2.56,0.93,0.0,0.0
HAB used to,0.0,0.0,inf,0.0,0.0
IMPV ~ MOD lest,2.37,0.85,0.93,0.0,0.0
MOD let ~ MOD may,0.79,0.85,0.93,1.82,0.0
FUT ~ PRES PROG,1.18,0.0,5.61,0.0,0.0
MOD shall ~ PRES PERF,0.0,0.0,inf,0.0,0.0
MOD would ~ PRES PART,1.18,1.28,1.4,0.0,0.0
FUT ~ MOD that be,0.0,0.0,5.61,2.73,0.0
MOD can ~ MOD let,0.0,0.0,inf,0.0,0.0
PAST PROG,0.0,0.0,inf,0.0,0.0
MOD can ~ MOD might,0.0,0.0,inf,0.0,0.0
MOD lest ~ MOD would,0.0,0.0,5.61,2.73,0.0
MOD could ~ MOD must,0.0,inf,0.0,0.0,0.0
MOD could ~ MOD should,1.18,0.0,5.61,0.0,0.0
IMPV ~ MOD is to,0.0,0.0,inf,0.0,0.0
PRES PART ~ PRES PERF,1.18,5.12,0.0,0.0,0.0
MOD may ~ MOD might,1.18,1.28,1.4,0.0,0.0
FUT PROG ~ PRES,0.0,1.28,0.0,10.92,0.0
MOD is to ~ PRES PART,0.0,1.28,5.61,0.0,0.0
PRES ~ PRES do,0.0,inf,0.0,0.0,0.0
MOD may ~ PAST,0.0,2.56,2.8,0.0,0.0
MOD lest ~ MOD should,0.0,inf,0.0,0.0,0.0
MOD should ~ PRES PERF,2.37,0.0,2.8,0.0,0.0
MOD lest ~ MOD shall,2.37,0.0,2.8,0.0,0.0
IMPV ~ MOD should,inf,0.0,0.0,0.0,0.0
MOD is to ~ TO INF,0.0,2.56,2.8,0.0,0.0
MOD let ~ PAST,0.0,2.56,0.0,5.46,0.0
MOD need not ~ PRES,2.37,0.0,0.0,5.46,0.0
MOD need not ~ MOD shall,0.0,2.56,2.8,0.0,0.0
MOD let ~ TO INF,0.0,0.0,inf,0.0,0.0
MOD can ~ MOD must,0.0,2.56,2.8,0.0,0.0
PAST PROG ~ PRES,2.37,2.56,0.0,0.0,0.0
MOD could ~ TO INF,0.0,2.56,2.8,0.0,0.0
MOD may ~ PRES PERF,0.0,2.56,0.0,5.46,0.0
PRES PROG,2.37,0.0,2.8,0.0,0.0
MOD must ~ MOD should,0.0,2.56,2.8,0.0,0.0
PRES ~ PRES can,0.0,0.0,inf,0.0,0.0
PRES PART ~ PRES PROG,0.0,0.0,inf,0.0,0.0
MOD was to ~ PRES,0.0,0.0,inf,0.0,0.0
FUT PERF ~ PRES,0.0,0.0,inf,0.0,0.0
HAB used to ~ MOD would,0.0,inf,0.0,0.0,0.0
PRES ~ PRES shall,0.0,0.0,0.0,inf,0.0
HAB used to ~ PRES,0.0,0.0,inf,0.0,0.0
MOD would ~ PAST PERF,inf,0.0,0.0,0.0,0.0
FUT PROG ~ MOD shall,0.0,0.0,0.0,inf,0.0
FUT ~ PRES shall,0.0,0.0,0.0,inf,0.0
FUT ~ FUT PROG,0.0,inf,0.0,0.0,0.0
FUT going-to ~ MOD is to,inf,0.0,0.0,0.0,0.0
FUT going-to ~ MOD lest,0.0,0.0,inf,0.0,0.0
MOD would ~ PAST PROG,0.0,inf,0.0,0.0,0.0
PAST PROG ~ PRES PART,inf,0.0,0.0,0.0,0.0
MOD ~ PRES,0.0,0.0,inf,0.0,0.0
PRES PERF ~ PRES PROG,0.0,inf,0.0,0.0,0.0
FUT PERF,inf,0.0,0.0,0.0,0.0
FUT ~ MOD,0.0,0.0,inf,0.0,0.0
MOD let ~ MOD should,0.0,0.0,inf,0.0,0.0
HAB used to ~ PRES PERF,0.0,inf,0.0,0.0,0.0
MOD is to ~ PRES PROG,0.0,0.0,inf,0.0,0.0
MOD might ~ PRES PERF,inf,0.0,0.0,0.0,0.0
MOD could ~ PAST PERF,0.0,0.0,inf,0.0,0.0
MOD could ~ PRES PERF,0.0,inf,0.0,0.0,0.0
MOD is to ~ MOD lest,inf,0.0,0.0,0.0,0.0
MOD is to ~ MOD should,0.0,0.0,inf,0.0,0.0
MOD is to ~ PRES,0.0,0.0,inf,0.0,0.0
MOD may ~ MOD would,0.0,0.0,inf,0.0,0.0
MOD that be ~ TO INF,0.0,0.0,0.0,inf,0.0
MOD lest ~ MOD let,0.0,0.0,inf,0.0,0.0
MOD may ~ MOD should,0.0,inf,0.0,0.0,0.0
MOD lest ~ MOD must,0.0,0.0,0.0,inf,0.0
MOD lest ~ MOD that be,0.0,0.0,0.0,inf,0.0
MOD let ~ PRES PERF,0.0,inf,0.0,0.0,0.0
MOD let ~ PRES PART,0.0,0.0,inf,0.0,0.0
MOD could ~ MOD shall,0.0,0.0,inf,0.0,0.0
MOD must ~ MOD quest must,inf,0.0,0.0,0.0,0.0
MOD must ~ PRES PART,0.0,0.0,inf,0.0,0.0
MOD must ~ PRES PROG,0.0,inf,0.0,0.0,0.0
MOD must ~ PRES shall,0.0,0.0,0.0,inf,0.0
MOD must ~ TO INF,0.0,0.0,inf,0.0,0.0
MOD can ~ MOD lest,0.0,0.0,inf,0.0,0.0
MOD VB ~ TO INF,0.0,inf,0.0,0.0,0.0
MOD VB ~ MOD shall,inf,0.0,0.0,0.0,0.0
MOD let ~ MOD that be,0.0,inf,0.0,0.0,0.0
MOD VB ~ MOD can,0.0,inf,0.0,0.0,0.0
JJ ~ PRES,0.0,inf,0.0,0.0,0.0
IMPV ~ PRES PERF,inf,0.0,0.0,0.0,0.0
MOD quest must ~ MOD shall,0.0,0.0,inf,0.0,0.0
IMPV ~ MOD need not,0.0,0.0,0.0,inf,0.0
MOD should ~ PRES PART,0.0,0.0,inf,0.0,0.0
MOD that be,inf,0.0,0.0,0.0,0.0
MOD quest must,inf,0.0,0.0,0.0,0.0
