,prose,prophetic,poetry,instruction,list
MOD is to ~ PRES,0.44,0.79,1.43,4.87,0.0
MOD can ~ PRES,0.99,0.39,0.0,5.85,9.32
MOD could,7.92,0.0,0.71,0.0,0.0
PRES PART ~ PRES PERF,0.66,4.75,0.0,0.0,0.0
MOD shall ~ PRES,0.33,1.58,1.07,3.64,0.0
MOD should,5.27,0.59,0.0,0.0,0.0
IMPV,1.98,0.59,1.07,0.0,0.0
MOD can,0.0,9.5,0.0,3.64,0.0
PAST PERF ~ PAST PROG,1.98,1.58,0.0,0.0,0.0
IMPV ~ MOD may,inf,0.0,0.0,0.0,0.0
FUT going-to ~ MOD shall,1.32,2.37,0.0,0.0,0.0
MOD would ~ PRES,inf,0.0,0.0,0.0,0.0
MOD would ~ PAST,inf,0.0,0.0,0.0,0.0
MOD would,1.32,0.0,1.43,4.86,0.0
FUT ~ MOD must,1.32,0.0,4.3,0.0,0.0
MOD is to ~ MOD shall,0.44,0.0,0.0,14.63,18.65
PAST PROG ~ PRES,0.0,0.79,4.3,4.86,0.0
PAST ~ PRES PROG,0.0,inf,0.0,0.0,0.0
PAST ~ PAST PERF PROG,inf,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,0.0,4.74,0.0,7.29,0.0
PRES PERF PROG,2.63,1.18,0.0,0.0,0.0
MOD is to ~ PRES PART,0.0,4.74,0.0,7.29,0.0
PRES PERF ~ PRES PROG,2.63,1.18,0.0,0.0,0.0
MOD may,0.66,0.0,2.15,7.29,0.0
MOD let ~ PRES,0.66,1.18,0.0,7.29,0.0
MOD is to,0.66,0.0,8.6,0.0,0.0
MOD should ~ MOD would,0.66,4.74,0.0,0.0,0.0
PRES PERF PROG ~ PRES PROG,2.63,0.0,2.15,0.0,0.0
FUT PROG ~ PRES PART,inf,0.0,0.0,0.0,0.0
MOD should ~ TO INF,inf,0.0,0.0,0.0,0.0
MOD can ~ TO INF,0.0,4.74,2.15,0.0,0.0
FUT ~ MOD is to,inf,0.0,0.0,0.0,0.0
MOD was to ~ PAST,2.63,0.0,0.0,0.0,27.99
PRES ~ PRES PERF PROG,0.66,4.74,0.0,0.0,0.0
MOD can ~ MOD shall,0.66,4.74,0.0,0.0,0.0
MOD can ~ PRES PART,inf,0.0,0.0,0.0,0.0
MOD is to ~ TO INF,0.0,0.0,0.0,inf,0.0
MOD let,0.0,2.37,4.29,0.0,0.0
PRES ~ PRES PROG keep,0.0,inf,0.0,0.0,0.0
MOD may ~ PAST,1.32,0.0,4.29,0.0,0.0
PAST PERF PROG ~ PAST PROG,inf,0.0,0.0,0.0,0.0
MOD was to ~ TO INF,inf,0.0,0.0,0.0,0.0
FUT ~ MOD may,0.0,0.0,inf,0.0,0.0
MOD must ~ MOD shall,inf,0.0,0.0,0.0,0.0
MOD must ~ PRES,inf,0.0,0.0,0.0,0.0
PAST PERF ~ PAST PERF PROG,inf,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF PROG,inf,0.0,0.0,0.0,0.0
FUT going-to ~ PRES PART,inf,0.0,0.0,0.0,0.0
FUT ~ PAST PROG,0.0,inf,0.0,0.0,0.0
PAST PERF ~ PRES PART,inf,0.0,0.0,0.0,0.0
MOD may ~ TO INF,0.0,0.0,inf,0.0,0.0
MOD was to ~ PAST PROG,inf,0.0,0.0,0.0,0.0
PAST PERF ~ PRES,1.32,2.37,0.0,0.0,0.0
FUT ~ FUT PROG,inf,0.0,0.0,0.0,0.0
IMPV ~ PRES PROG,inf,0.0,0.0,0.0,0.0
FUT ~ MOD can,0.0,0.0,inf,0.0,0.0
HAB used to ~ PAST PERF,inf,0.0,0.0,0.0,0.0
FUT PROG ~ MOD is to,inf,0.0,0.0,0.0,0.0
IMPV ~ PAST,0.0,0.0,0.0,0.0,inf
FUT ~ MOD would,0.0,0.0,inf,0.0,0.0
FUT ~ VB,inf,0.0,0.0,0.0,0.0
HAB used to ~ PAST,inf,0.0,0.0,0.0,0.0
FUT ~ PAST,inf,0.0,0.0,0.0,0.0
TO INF ~ VB,inf,0.0,0.0,0.0,0.0
MOD can ~ MOD may,0.0,inf,0.0,0.0,0.0
MOD could ~ PRES PART,0.0,0.0,0.0,inf,0.0
PRES PROG ~ TO INF,0.0,inf,0.0,0.0,0.0
PRES PROG ~ PRES PROG keep,0.0,inf,0.0,0.0,0.0
PRES PERF ~ TO INF,inf,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PERF PROG,inf,0.0,0.0,0.0,0.0
PAST ~ VB,0.0,inf,0.0,0.0,0.0
PAST PROG ~ TO INF,inf,0.0,0.0,0.0,0.0
MOD would ~ PRES PROG,inf,0.0,0.0,0.0,0.0
MOD would ~ PRES PERF,0.0,inf,0.0,0.0,0.0
MOD was to ~ PRES PART,inf,0.0,0.0,0.0,0.0
MOD was to,inf,0.0,0.0,0.0,0.0
MOD that VB ~ PRES PART,inf,0.0,0.0,0.0,0.0
MOD should ~ PRES PERF,0.0,inf,0.0,0.0,0.0
MOD should ~ PRES,0.0,inf,0.0,0.0,0.0
MOD should ~ PAST,inf,0.0,0.0,0.0,0.0
MOD should ~ MOD was to,inf,0.0,0.0,0.0,0.0
MOD shall ~ PRES PART,0.0,inf,0.0,0.0,0.0
MOD shall ~ PAST,inf,0.0,0.0,0.0,0.0
MOD shall,inf,0.0,0.0,0.0,0.0
MOD need not ~ TO INF,0.0,inf,0.0,0.0,0.0
MOD must ~ PRES PART,inf,0.0,0.0,0.0,0.0
MOD must,inf,0.0,0.0,0.0,0.0
MOD might,inf,0.0,0.0,0.0,0.0
MOD may ~ PRES PART,0.0,0.0,inf,0.0,0.0
MOD let ~ TO INF,inf,0.0,0.0,0.0,0.0
MOD is to ~ MOD would,inf,0.0,0.0,0.0,0.0
MOD shall ~ PRES PERF,0.0,inf,0.0,0.0,0.0
