eng_TAMsimp,prose,prophetic,poetry,instruction,list
MOD was to ~ PAST PROG,1.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG keep,0.0,1.0,0.0,0.0,0.0
MOD may ~ PAST,0.5,0.0,0.5,0.0,0.0
MOD must ~ PRES,1.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,1.0,0.0,0.0,0.0,0.0
MOD may ~ TO INF,0.0,0.0,1.0,0.0,0.0
MOD is to ~ TO INF,0.0,0.0,0.0,1.0,0.0
MOD can ~ PRES PART,1.0,0.0,0.0,0.0,0.0
PRES PROG ~ TO INF,0.0,1.0,0.0,0.0,0.0
FUT ~ PAST PROG,0.0,1.0,0.0,0.0,0.0
FUT ~ MOD may,0.0,0.0,1.0,0.0,0.0
MOD let,0.0,0.5,0.5,0.0,0.0
PAST ~ VB,0.0,1.0,0.0,0.0,0.0
PRES PART ~ PRES PERF PROG,1.0,0.0,0.0,0.0,0.0
PAST PROG ~ TO INF,1.0,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PERF PROG,1.0,0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,1.0,0.0,0.0,0.0,0.0
PRES PROG ~ PRES PROG keep,0.0,1.0,0.0,0.0,0.0
MOD shall ~ PRES PERF,0.0,1.0,0.0,0.0,0.0
MOD would ~ PRES PROG,1.0,0.0,0.0,0.0,0.0
HAB used to ~ PAST,1.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD would,1.0,0.0,0.0,0.0,0.0
MOD could ~ PRES PART,0.0,0.0,0.0,1.0,0.0
MOD can ~ MOD may,0.0,1.0,0.0,0.0,0.0
IMPV ~ PRES PROG,1.0,0.0,0.0,0.0,0.0
IMPV ~ PAST,0.0,0.0,0.0,0.0,1.0
HAB used to ~ PAST PERF,1.0,0.0,0.0,0.0,0.0
FUT ~ VB,1.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PERF,0.0,1.0,0.0,0.0,0.0
FUT ~ PAST,1.0,0.0,0.0,0.0,0.0
FUT ~ MOD would,0.0,0.0,1.0,0.0,0.0
FUT ~ MOD can,0.0,0.0,1.0,0.0,0.0
FUT ~ FUT PROG,1.0,0.0,0.0,0.0,0.0
FUT going-to ~ PRES PART,1.0,0.0,0.0,0.0,0.0
FUT PROG ~ PRES PROG,1.0,0.0,0.0,0.0,0.0
MOD let ~ TO INF,1.0,0.0,0.0,0.0,0.0
MOD may ~ PRES PART,0.0,0.0,1.0,0.0,0.0
MOD might,1.0,0.0,0.0,0.0,0.0
MOD must,1.0,0.0,0.0,0.0,0.0
MOD must ~ PRES PROG,1.0,0.0,0.0,0.0,0.0
MOD need not ~ TO INF,0.0,1.0,0.0,0.0,0.0
MOD shall,1.0,0.0,0.0,0.0,0.0
MOD shall ~ PAST,1.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PART,0.0,1.0,0.0,0.0,0.0
FUT PROG ~ MOD is to,1.0,0.0,0.0,0.0,0.0
MOD should ~ MOD was to,1.0,0.0,0.0,0.0,0.0
MOD should ~ PAST,1.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,0.0,1.0,0.0,0.0,0.0
MOD should ~ PRES PERF,0.0,1.0,0.0,0.0,0.0
MOD that VB ~ PRES PART,1.0,0.0,0.0,0.0,0.0
MOD was to,1.0,0.0,0.0,0.0,0.0
MOD was to ~ PRES PART,1.0,0.0,0.0,0.0,0.0
TO INF ~ VB,1.0,0.0,0.0,0.0,0.0
