period,SBH,SBH,LBH,SBH,LBH,SBH,SBH,SBH,SBH,LBH,SBH,LBH,LBH,SBH,SBH,LBH,SBH,LBH,SBH,LBH,SBH
MOD is to ~ PRES,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PAST,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PAST PERF PROG,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PART ~ TO INF,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ TO INF,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ TO INF,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PERF ~ PAST PROG,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
FUT ~ MOD is to,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD was to ~ PAST,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD may,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ TO INF,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF PROG ~ PRES PROG,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF PROG,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ PRES,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PERF PROG ~ PAST PROG,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ TO INF,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ MOD shall,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PART ~ PRES PERF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ PRES PART,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PART ~ PRES PERF PROG,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PERF ~ PRES PART,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PERF ~ PAST PERF PROG,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF ~ PRES PROG,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD must,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MOD was to ~ TO INF,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD was to ~ PAST PROG,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT PROG ~ PRES PART,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ PRES PART,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PAST,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD shall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT PROG ~ MOD is to,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PAST,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HAB used to ~ PAST PERF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF ~ PRES PERF PROG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to ~ PAST,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PERF PROG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT PROG,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF ~ TO INF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES PROG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD would,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD shall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ PRES PART,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MOD was to ~ PRES PART,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD was to,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD that VB ~ PRES PART,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ PAST,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ MOD would,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ MOD was to,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PERF ~ PRES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ TO INF,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PAST,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PART,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD might,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ PAST,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ TO INF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES PART,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PROG ~ PRES,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES PROG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PROG ~ TO INF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO INF ~ VB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
