eng_TAMsimp,Main,SubAdv,SubMod,SubArg
PAST PERF ~ PRES,3,0,1,0
IMPV ~ PAST,4,0,0,0
MOD should ~ PAST,1,3,0,0
HAB used to,3,0,0,1
IMPV ~ MOD lest,2,2,0,0
MOD let ~ MOD may,4,0,0,0
FUT ~ PRES PROG,2,1,0,0
MOD shall ~ PRES PERF,3,0,0,0
MOD would ~ PRES PART,1,2,0,0
FUT ~ MOD that be,3,0,0,0
MOD can ~ MOD let,3,0,0,0
PAST PROG,1,0,2,0
MOD can ~ MOD might,1,0,0,2
MOD lest ~ MOD would,1,2,0,0
MOD could ~ MOD must,3,0,0,0
MOD could ~ MOD should,0,3,0,0
IMPV ~ MOD is to,3,0,0,0
PRES PART ~ PRES PERF,3,0,0,0
MOD may ~ MOD might,1,2,0,0
FUT PROG ~ PRES,1,2,0,0
MOD is to ~ PRES PART,2,0,1,0
PRES ~ PRES do,1,1,0,0
MOD may ~ PAST,1,0,1,0
MOD lest ~ MOD should,0,2,0,0
MOD should ~ PRES PERF,1,0,0,1
MOD lest ~ MOD shall,1,1,0,0
IMPV ~ MOD should,2,0,0,0
MOD is to ~ TO INF,0,0,1,1
MOD let ~ PAST,2,0,0,0
MOD need not ~ PRES,1,0,1,0
MOD need not ~ MOD shall,2,0,0,0
MOD let ~ TO INF,2,0,0,0
MOD can ~ MOD must,1,0,1,0
PAST PROG ~ PRES,0,2,0,0
MOD could ~ TO INF,2,0,0,0
MOD may ~ PRES PERF,0,1,1,0
PRES PROG,1,0,1,0
MOD must ~ MOD should,2,0,0,0
PRES ~ PRES can,0,1,0,0
PRES PART ~ PRES PROG,0,1,0,0
MOD was to ~ PRES,1,0,0,0
FUT PERF ~ PRES,0,1,0,0
HAB used to ~ MOD would,0,0,0,1
PRES ~ PRES shall,0,0,1,0
HAB used to ~ PRES,1,0,0,0
MOD would ~ PAST PERF,1,0,0,0
FUT PROG ~ MOD shall,1,0,0,0
FUT ~ PRES shall,1,0,0,0
FUT ~ FUT PROG,1,0,0,0
FUT going-to ~ MOD is to,0,0,0,1
FUT going-to ~ MOD lest,1,0,0,0
MOD would ~ PAST PROG,0,0,0,1
PAST PROG ~ PRES PART,1,0,0,0
MOD ~ PRES,1,0,0,0
PRES PERF ~ PRES PROG,0,1,0,0
FUT PERF,1,0,0,0
FUT ~ MOD,1,0,0,0
MOD let ~ MOD should,1,0,0,0
HAB used to ~ PRES PERF,0,0,1,0
MOD is to ~ PRES PROG,0,0,1,0
MOD might ~ PRES PERF,1,0,0,0
MOD could ~ PAST PERF,0,0,0,1
MOD could ~ PRES PERF,1,0,0,0
MOD is to ~ MOD lest,1,0,0,0
MOD is to ~ MOD should,0,1,0,0
MOD is to ~ PRES,0,0,1,0
MOD may ~ MOD would,1,0,0,0
MOD that be ~ TO INF,0,1,0,0
MOD lest ~ MOD let,0,1,0,0
MOD may ~ MOD should,0,0,1,0
MOD lest ~ MOD must,1,0,0,0
MOD lest ~ MOD that be,0,1,0,0
MOD let ~ PRES PERF,0,1,0,0
MOD let ~ PRES PART,1,0,0,0
MOD could ~ MOD shall,1,0,0,0
MOD must ~ MOD quest must,1,0,0,0
MOD must ~ PRES PART,1,0,0,0
MOD must ~ PRES PROG,1,0,0,0
MOD must ~ PRES shall,1,0,0,0
MOD must ~ TO INF,0,0,1,0
MOD can ~ MOD lest,0,1,0,0
MOD VB ~ TO INF,0,0,0,1
MOD VB ~ MOD shall,1,0,0,0
MOD let ~ MOD that be,1,0,0,0
MOD VB ~ MOD can,1,0,0,0
JJ ~ PRES,1,0,0,0
IMPV ~ PRES PERF,1,0,0,0
MOD quest must ~ MOD shall,1,0,0,0
IMPV ~ MOD need not,1,0,0,0
MOD should ~ PRES PART,1,0,0,0
MOD that be,1,0,0,0
MOD quest must,1,0,0,0
