eng_TAMsimp,Main,SubAdv,SubMod,SubArg
MOD is to ~ MOD lest,1.0,inf,inf,inf
MOD is to ~ MOD should,inf,1.0,inf,inf
MOD is to ~ PRES PROG,inf,inf,1.0,inf
IMPV ~ MOD need not,1.0,inf,inf,inf
MOD lest ~ MOD must,1.0,inf,inf,inf
MOD must ~ PRES PROG,1.0,inf,inf,inf
MOD let ~ MOD might,1.0,inf,inf,inf
IMPV ~ MOD,1.0,inf,inf,inf
MOD let ~ VB,1.0,inf,inf,inf
HAB used to ~ PRES PERF,inf,inf,1.0,inf
HAB used to ~ PRES,1.0,inf,inf,inf
MOD may ~ MOD should,inf,inf,1.0,inf
HAB used to ~ MOD would,inf,inf,inf,1.0
MOD may ~ MOD would,1.0,inf,inf,inf
MOD might ~ PRES PERF,1.0,inf,inf,inf
FUT ~ PRES shall,1.0,inf,inf,inf
MOD must ~ MOD quest must,1.0,inf,inf,inf
MOD must ~ PRES PART,1.0,inf,inf,inf
MOD lest ~ MOD that be,inf,1.0,inf,inf
