eng_TAMsimp,Main,SubAdv,SubMod,SubArg
MOD let ~ PRES PART,0.0,inf,inf,inf
MOD might ~ PAST,0.25,4.0,inf,inf
MOD was to,0.25,inf,4.0,inf
MOD might ~ MOD should,0.25,inf,inf,4.0
MOD should ~ PAST,3.0,0.33,inf,inf
MOD VB ~ PRES,inf,0.0,inf,inf
FUT ~ PRES PROG,0.33,3.0,inf,inf
IMPV ~ MOD lest,1.0,1.0,inf,inf
HAB used to,0.33,inf,inf,3.0
PAST PERF ~ PRES,0.33,inf,3.0,inf
MOD can ~ PAST,0.0,inf,inf,inf
FUT ~ MOD is to,3.0,inf,3.0,1.0
?VB ~ PAST,0.0,inf,inf,inf
PRES PERF ~ TO INF,0.0,inf,inf,inf
MOD could ~ MOD should,inf,0.0,inf,inf
?VB,0.0,inf,inf,inf
PAST PROG,2.0,inf,0.5,inf
MOD shall ~ PRES PERF,0.0,inf,inf,inf
MOD can ~ MOD might,2.0,inf,inf,0.5
MOD could ~ MOD must,0.0,inf,inf,inf
FUT PROG ~ PRES,2.0,0.5,inf,inf
MOD lest ~ MOD would,2.0,0.5,inf,inf
FUT ~ MOD that be,0.0,inf,inf,inf
MOD need not ~ MOD shall,0.0,inf,inf,inf
MOD may ~ PRES PERF,2.0,2.0,2.0,inf
MOD may ~ PAST,0.5,inf,2.0,inf
MOD may ~ MOD might,2.0,0.5,inf,inf
PRES PART ~ PRES PERF,0.0,inf,inf,inf
MOD is to ~ PRES PART,0.5,inf,2.0,inf
MOD let ~ PRES PERF,0.5,2.0,inf,inf
MOD let ~ MOD would,0.0,inf,inf,inf
IMPV ~ MOD is to,0.0,inf,inf,inf
MOD would ~ PRES PART,2.0,0.5,inf,inf
?VB ~ MOD must,0.0,inf,inf,inf
?VB ~ MOD shall,0.0,inf,inf,inf
??VB ~ MOD let,0.0,inf,inf,inf
MOD must ~ MOD should,0.0,inf,inf,inf
MOD is to ~ PRES,1.0,inf,1.0,inf
MOD can ~ MOD must,1.0,inf,1.0,inf
MOD should ~ PRES PERF,1.0,inf,inf,1.0
MOD that be,0.0,inf,inf,inf
MOD let ~ MOD that be,0.0,inf,inf,inf
PAST PROG ~ PRES,inf,0.0,inf,inf
MOD lest ~ MOD should,inf,0.0,inf,inf
MOD lest ~ MOD shall,1.0,1.0,inf,inf
MOD is to ~ TO INF,inf,inf,1.0,1.0
MOD need not ~ PRES,1.0,inf,1.0,inf
MOD could ~ TO INF,0.0,inf,inf,inf
PRES PROG,1.0,inf,1.0,inf
PRES ~ PRES do,1.0,1.0,inf,inf
FUT PERF,0.0,inf,inf,inf
FUT ~ MOD,0.0,inf,inf,inf
MOD quest must,0.0,inf,inf,inf
MOD quest must ~ MOD shall,0.0,inf,inf,inf
PRES ~ PRES shall,inf,inf,0.0,inf
MOD should ~ PRES PART,0.0,inf,inf,inf
?VB ~ IMPV,0.0,inf,inf,inf
?VB ~ MOD lest,inf,0.0,inf,inf
MOD that be ~ TO INF,inf,0.0,inf,inf
MOD was to ~ PRES,0.0,inf,inf,inf
MOD would ~ PAST PERF,0.0,inf,inf,inf
MOD ~ PRES,0.0,inf,inf,inf
MOD would ~ PAST PROG,inf,inf,inf,0.0
FUT PERF ~ PRES,inf,0.0,inf,inf
FUT ~ FUT PROG,0.0,inf,inf,inf
PRES ~ PRES can,inf,0.0,inf,inf
PRES PERF ~ PRES PROG,inf,0.0,inf,inf
MOD must ~ TO INF,inf,inf,0.0,inf
FUT going-to ~ MOD is to,inf,inf,inf,0.0
PAST PROG ~ PRES PART,0.0,inf,inf,inf
FUT PROG ~ MOD shall,0.0,inf,inf,inf
PRES PART ~ PRES PROG,inf,0.0,inf,inf
FUT going-to ~ MOD lest,0.0,inf,inf,inf
MOD can ~ MOD lest,inf,0.0,inf,inf
MOD must ~ PRES shall,0.0,inf,inf,inf
MOD lest ~ MOD let,inf,0.0,inf,inf
MOD could ~ MOD shall,0.0,inf,inf,inf
MOD VB ~ TO INF,inf,inf,inf,0.0
MOD could ~ PAST PERF,inf,inf,inf,0.0
MOD VB ~ MOD shall,0.0,inf,inf,inf
MOD could ~ PRES PERF,0.0,inf,inf,inf
MOD VB ~ MOD can,0.0,inf,inf,inf
JJ ~ PRES,0.0,inf,inf,inf
IMPV ~ PRES PERF,0.0,inf,inf,inf
MOD is to ~ MOD lest,0.0,inf,inf,inf
MOD is to ~ MOD should,inf,0.0,inf,inf
MOD is to ~ PRES PROG,inf,inf,0.0,inf
IMPV ~ MOD need not,0.0,inf,inf,inf
MOD lest ~ MOD must,0.0,inf,inf,inf
MOD must ~ PRES PROG,0.0,inf,inf,inf
MOD let ~ MOD might,0.0,inf,inf,inf
IMPV ~ MOD,0.0,inf,inf,inf
MOD let ~ VB,0.0,inf,inf,inf
HAB used to ~ PRES PERF,inf,inf,0.0,inf
HAB used to ~ PRES,0.0,inf,inf,inf
MOD may ~ MOD should,inf,inf,0.0,inf
HAB used to ~ MOD would,inf,inf,inf,0.0
MOD may ~ MOD would,0.0,inf,inf,inf
MOD might ~ PRES PERF,0.0,inf,inf,inf
FUT ~ PRES shall,0.0,inf,inf,inf
MOD must ~ MOD quest must,0.0,inf,inf,inf
MOD must ~ PRES PART,0.0,inf,inf,inf
MOD lest ~ MOD that be,inf,0.0,inf,inf
