,Main,SubAdv,SubMod,SubArg
PRES PART ~ PRES PERF,inf,0.0,0.0,0.0
MOD is to ~ PRES PART,0.58,0.0,8.9,0.0
MOD let ~ PRES PERF,0.58,2.74,0.0,0.0
MOD let ~ MOD would,inf,0.0,0.0,0.0
IMPV ~ MOD is to,inf,0.0,0.0,0.0
MOD would ~ PRES PART,0.15,10.99,0.0,0.0
?VB ~ MOD must,inf,0.0,0.0,0.0
?VB ~ MOD shall,inf,0.0,0.0,0.0
??VB ~ MOD let,inf,0.0,0.0,0.0
MOD must ~ MOD should,inf,0.0,0.0,0.0
MOD is to ~ PRES,0.29,0.0,17.79,0.0
MOD can ~ MOD must,0.29,0.0,17.79,0.0
MOD should ~ PRES PERF,0.29,0.0,0.0,55.07
MOD that be,inf,0.0,0.0,0.0
MOD let ~ MOD that be,inf,0.0,0.0,0.0
PAST PROG ~ PRES,0.0,inf,0.0,0.0
MOD lest ~ MOD should,0.0,inf,0.0,0.0
MOD lest ~ MOD shall,0.29,5.49,0.0,0.0
MOD is to ~ TO INF,0.0,0.0,17.79,55.07
MOD need not ~ PRES,0.29,0.0,17.79,0.0
MOD could ~ TO INF,inf,0.0,0.0,0.0
PRES PROG,0.29,0.0,17.79,0.0
PRES ~ PRES do,0.29,5.49,0.0,0.0
FUT PERF,inf,0.0,0.0,0.0
FUT ~ MOD,inf,0.0,0.0,0.0
MOD quest must,inf,0.0,0.0,0.0
MOD quest must ~ MOD shall,inf,0.0,0.0,0.0
PRES ~ PRES shall,0.0,0.0,inf,0.0
MOD should ~ PRES PART,inf,0.0,0.0,0.0
?VB ~ IMPV,inf,0.0,0.0,0.0
?VB ~ MOD lest,0.0,inf,0.0,0.0
MOD that be ~ TO INF,0.0,inf,0.0,0.0
MOD was to ~ PRES,inf,0.0,0.0,0.0
MOD would ~ PAST PERF,inf,0.0,0.0,0.0
MOD ~ PRES,inf,0.0,0.0,0.0
MOD would ~ PAST PROG,0.0,0.0,0.0,inf
FUT PERF ~ PRES,0.0,inf,0.0,0.0
FUT ~ FUT PROG,inf,0.0,0.0,0.0
PRES ~ PRES can,0.0,inf,0.0,0.0
PRES PERF ~ PRES PROG,0.0,inf,0.0,0.0
MOD must ~ TO INF,0.0,0.0,inf,0.0
FUT going-to ~ MOD is to,0.0,0.0,0.0,inf
PAST PROG ~ PRES PART,inf,0.0,0.0,0.0
FUT PROG ~ MOD shall,inf,0.0,0.0,0.0
PRES PART ~ PRES PROG,0.0,inf,0.0,0.0
FUT going-to ~ MOD lest,inf,0.0,0.0,0.0
MOD can ~ MOD lest,0.0,inf,0.0,0.0
MOD must ~ PRES shall,inf,0.0,0.0,0.0
MOD lest ~ MOD let,0.0,inf,0.0,0.0
MOD could ~ MOD shall,inf,0.0,0.0,0.0
MOD VB ~ TO INF,0.0,0.0,0.0,inf
MOD could ~ PAST PERF,0.0,0.0,0.0,inf
MOD VB ~ MOD shall,inf,0.0,0.0,0.0
MOD could ~ PRES PERF,inf,0.0,0.0,0.0
MOD VB ~ MOD can,inf,0.0,0.0,0.0
JJ ~ PRES,inf,0.0,0.0,0.0
IMPV ~ PRES PERF,inf,0.0,0.0,0.0
MOD is to ~ MOD lest,inf,0.0,0.0,0.0
MOD is to ~ MOD should,0.0,inf,0.0,0.0
MOD is to ~ PRES PROG,0.0,0.0,inf,0.0
IMPV ~ MOD need not,inf,0.0,0.0,0.0
MOD lest ~ MOD must,inf,0.0,0.0,0.0
MOD must ~ PRES PROG,inf,0.0,0.0,0.0
MOD let ~ MOD might,inf,0.0,0.0,0.0
IMPV ~ MOD,inf,0.0,0.0,0.0
MOD let ~ VB,inf,0.0,0.0,0.0
HAB used to ~ PRES PERF,0.0,0.0,inf,0.0
HAB used to ~ PRES,inf,0.0,0.0,0.0
MOD may ~ MOD should,0.0,0.0,inf,0.0
HAB used to ~ MOD would,0.0,0.0,0.0,inf
MOD may ~ MOD would,inf,0.0,0.0,0.0
MOD might ~ PRES PERF,inf,0.0,0.0,0.0
FUT ~ PRES shall,inf,0.0,0.0,0.0
MOD must ~ MOD quest must,inf,0.0,0.0,0.0
MOD must ~ PRES PART,inf,0.0,0.0,0.0
MOD lest ~ MOD that be,0.0,inf,0.0,0.0
