,SBH,LBH
FUT ~ MOD is to,-0.56,0.56
IMPV ~ MOD is to,-0.56,0.56
PAST PROG,-0.56,0.56
MOD let ~ PRES,-0.56,0.56
MOD can ~ MOD should,-0.56,0.56
MOD can ~ MOD could,-0.0,0.0
FUT ~ MOD that be,-0.0,0.0
FUT ~ MOD should,-0.0,0.0
MOD can ~ MOD might,-0.0,0.0
MOD could ~ PAST,-0.0,0.0
MOD may ~ PRES PART,-0.56,0.56
MOD might ~ MOD should,-0.56,0.56
MOD shall ~ PRES PERF,-0.0,0.0
PAST ~ PAST PROG,-0.0,0.0
MOD could ~ MOD would,-0.0,0.0
MOD could ~ MOD should,-0.71,0.71
MOD can ~ TO INF,-0.0,0.0
IMPV ~ MOD can,-0.0,0.0
?VB ~ PAST,-0.0,0.0
MOD let ~ PAST,-0.0,0.0
FUT ~ MOD must,-0.0,0.0
MOD should ~ PRES PERF,-0.0,0.0
?VB ~ MOD shall,-0.0,0.0
MOD is to ~ PRES PART,-0.71,0.71
MOD lest ~ MOD should,-0.0,0.0
?VB ~ MOD must,-0.71,0.71
MOD let ~ MOD would,-0.0,0.0
MOD let ~ PRES PART,-0.0,0.0
MOD let ~ PRES PERF,-0.71,0.71
MOD is to ~ PRES,-0.0,0.0
FUT PROG ~ PRES,-0.0,0.0
PAST PERF ~ PRES,-0.0,0.0
FUT PERF ~ PRES,-0.99,0.99
FUT PROG ~ MOD shall,-0.0,0.0
?VB,-0.0,0.0
HAB used to ~ PRES,-0.0,0.0
FUT going-to ~ MOD lest,-0.0,0.0
?VB ~ IMPV,-0.99,0.99
FUT ~ MOD,-0.0,0.0
?VB ~ MOD let,-0.99,0.99
FUT ~ PRES shall,-0.0,0.0
IMPV ~ MOD,-0.0,0.0
IMPV ~ MOD need not,-0.0,0.0
MOD lest ~ MOD that be,-0.0,0.0
IMPV ~ MOD should,-0.0,0.0
MOD might ~ MOD would,-0.0,0.0
MOD must ~ MOD should,-0.0,0.0
MOD must ~ PRES PART,-0.0,0.0
MOD must ~ PRES shall,-0.0,0.0
MOD must ~ TO INF,-0.0,0.0
MOD need not ~ MOD shall,-0.0,0.0
MOD need not ~ PRES,-0.0,0.0
MOD quest must ~ MOD shall,-0.0,0.0
MOD should ~ PAST,-0.0,0.0
MOD should ~ PRES PART,-0.99,0.99
MOD that be,-0.0,0.0
MOD that be ~ TO INF,-0.0,0.0
MOD was to ~ PRES,-0.0,0.0
MOD would ~ PRES PART,-0.0,0.0
MOD would ~ TO INF,-0.99,0.99
MOD ~ PRES,-0.0,0.0
PRES PART ~ PRES PERF,-0.0,0.0
PRES PART ~ PRES PROG,-0.0,0.0
PRES ~ PRES can,-0.0,0.0
PRES ~ PRES shall,-0.0,0.0
MOD might ~ TO INF,-0.99,0.99
MOD may ~ PRES PERF,-0.0,0.0
IMPV ~ PAST,-0.0,0.0
MOD may ~ PAST,-0.0,0.0
MOD VB ~ MOD may,-0.0,0.0
MOD can ~ MOD lest,-0.0,0.0
MOD can ~ MOD must,-0.0,0.0
MOD can ~ PAST,-0.0,0.0
MOD can ~ PRES PART,-0.0,0.0
MOD could ~ MOD shall,-0.0,0.0
MOD could ~ PAST PERF,-0.0,0.0
MOD could ~ PRES PERF,-0.0,0.0
MOD could ~ TO INF,-0.0,0.0
MOD is to ~ MOD should,-0.0,0.0
MOD is to ~ PRES PROG,-0.0,0.0
MOD is to ~ TO INF,-0.0,0.0
MOD lest ~ MOD let,-0.0,0.0
MOD lest ~ MOD must,-0.0,0.0
MOD lest ~ MOD shall,-0.0,0.0
MOD let ~ MOD that be,-0.0,0.0
MOD let ~ VB,-0.0,0.0
MOD may ~ MOD might,-0.0,0.0
MOD may ~ MOD would,-0.0,0.0
??VB ~ MOD let,-0.99,0.99
