eng_TAMsimp,SBH,LBH
FUT ~ PRES PART,0.83,0.17
PAST ~ PAST PERF,0.83,0.17
MOD would ~ PRES,0.83,0.17
PAST PERF,0.83,0.17
FUT ~ FUT going-to,1.0,0.0
FUT ~ PAST,0.6,0.4
IMPV ~ TO INF,1.0,0.0
MOD lest ~ TO INF,1.0,0.0
IMPV ~ PRES PART,1.0,0.0
PRES PART ~ TO INF,1.0,0.0
FUT going-to ~ MOD shall,1.0,0.0
IMPV ~ MOD is to,0.75,0.25
HAB used to,1.0,0.0
MOD could ~ MOD might,0.5,0.5
MOD let ~ MOD would,1.0,0.0
MOD should ~ MOD would,0.75,0.25
MOD was to,0.75,0.25
MOD is to ~ MOD must,1.0,0.0
MOD may ~ PRES PART,0.75,0.25
MOD might,1.0,0.0
MOD was to ~ PAST,1.0,0.0
MOD lest ~ MOD might,1.0,0.0
MOD can ~ MOD could,1.0,0.0
MOD can ~ MOD might,1.0,0.0
MOD can ~ MOD should,0.67,0.33
PAST ~ PAST PROG,1.0,0.0
FUT ~ MOD that be,1.0,0.0
MOD shall ~ PRES PERF,1.0,0.0
FUT ~ MOD is to,0.67,0.33
MOD shall ~ MOD would,1.0,0.0
MOD might ~ MOD should,0.67,0.33
FUT ~ MOD should,1.0,0.0
PAST PROG,0.67,0.33
MOD could ~ PAST,1.0,0.0
FUT ~ PRES PERF,1.0,0.0
FUT ~ PRES PROG,1.0,0.0
MOD lest ~ MOD would,1.0,0.0
FUT ~ MOD must,1.0,0.0
MOD could ~ MOD should,0.5,0.5
IMPV ~ MOD can,1.0,0.0
MOD can ~ TO INF,1.0,0.0
FUT PROG ~ PRES,1.0,0.0
PAST PERF ~ PRES,1.0,0.0
?VB ~ PAST,1.0,0.0
MOD could ~ MOD would,1.0,0.0
MOD let ~ PRES PERF,0.5,0.5
MOD is to ~ PRES PART,0.5,0.5
MOD is to ~ PRES,1.0,0.0
MOD lest ~ MOD should,1.0,0.0
MOD should ~ PRES PERF,1.0,0.0
MOD let ~ PRES PART,1.0,0.0
MOD let ~ PAST,1.0,0.0
MOD should ~ PAST,1.0,0.0
PRES PART ~ PRES PROG,1.0,0.0
MOD may ~ MOD might,1.0,0.0
FUT ~ PRES shall,1.0,0.0
MOD may ~ MOD would,1.0,0.0
MOD let ~ MOD that be,1.0,0.0
MOD may ~ PAST,1.0,0.0
PRES PART ~ PRES PERF,1.0,0.0
MOD may ~ PRES PERF,1.0,0.0
MOD let ~ VB,1.0,0.0
MOD might ~ TO INF,0.0,1.0
MOD might ~ MOD would,1.0,0.0
MOD quest must ~ MOD shall,1.0,0.0
PRES ~ PRES can,1.0,0.0
FUT ~ MOD,1.0,0.0
MOD must ~ MOD should,1.0,0.0
MOD must ~ PRES PART,1.0,0.0
FUT ~ FUT PERF,1.0,0.0
MOD must ~ PRES shall,1.0,0.0
FUT going-to ~ MOD may,1.0,0.0
FUT going-to ~ MOD lest,1.0,0.0
MOD must ~ TO INF,1.0,0.0
FUT PROG ~ MOD shall,1.0,0.0
FUT PERF ~ PRES,0.0,1.0
PRES ~ PRES shall,1.0,0.0
MOD should ~ PRES PART,0.0,1.0
MOD that be,1.0,0.0
HAB used to ~ PRES,1.0,0.0
MOD could ~ MOD shall,1.0,0.0
MOD need not ~ MOD shall,1.0,0.0
MOD could ~ PAST PERF,1.0,0.0
MOD could ~ PRES PERF,1.0,0.0
MOD can ~ PRES PART,1.0,0.0
MOD was to ~ PRES,1.0,0.0
MOD can ~ PAST,1.0,0.0
MOD could ~ TO INF,1.0,0.0
MOD is to ~ MOD should,1.0,0.0
MOD can ~ MOD must,1.0,0.0
MOD would ~ PRES PART,1.0,0.0
MOD can ~ MOD lest,1.0,0.0
MOD is to ~ PRES PROG,1.0,0.0
MOD would ~ TO INF,0.0,1.0
MOD VB ~ MOD may,1.0,0.0
MOD is to ~ TO INF,1.0,0.0
MOD lest ~ MOD let,1.0,0.0
MOD ~ MOD let,1.0,0.0
IMPV ~ PAST,1.0,0.0
IMPV ~ MOD should,1.0,0.0
MOD ~ PRES,1.0,0.0
IMPV ~ MOD need not,1.0,0.0
MOD lest ~ MOD must,1.0,0.0
MOD lest ~ MOD shall,1.0,0.0
MOD lest ~ MOD that be,1.0,0.0
MOD that be ~ TO INF,1.0,0.0
IMPV ~ MOD,1.0,0.0
IMPV not ~ MOD must,1.0,0.0
MOD need not ~ PRES,1.0,0.0
