,qal,hif,piel,nif,hit,hsht,hof,pual
PRES ~ TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PAST,0.63,3.76,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD shall,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PART,0.63,0.0,0.0,15.33,0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
??PAST,0.32,7.53,0.0,0.0,0.0,0.0,0.0,0.0
?PRES PERF ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PROG,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST ~ IMPV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ PRES,0.32,7.53,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ PRES PERF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT,0.32,7.53,0.0,0.0,0.0,0.0,0.0,0.0
?PRES ~ ?PRES PERF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES ~ PRES PERF,0.32,0.0,13.31,0.0,0.0,0.0,0.0,0.0
?FUT ~ PAST,0.32,7.53,0.0,0.0,0.0,0.0,0.0,0.0
?PRES PERF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES,0.32,7.53,0.0,0.0,0.0,0.0,0.0,0.0
??VB ~ ?PAST question,0.32,7.53,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST wh-question,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST wh-question ~ ?PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST question,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
?PAST do-support ~ PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST wh-question ~ MOD let,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
?PAST did not ~ TO INF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
?PAST wh-question ~ PAST,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
?PAST wh-question ~ TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST ~ ?TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?MOD would ~ PAST,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
?PAST did not ~ ?PAST question,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
?PAST PERF ~ PAST PERF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?MOD would,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
?MOD let ~ PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?FUT ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?FUT ~ PRES,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
?FUT ~ ?PRES,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0
??VB ~ PRES PERF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??VB ~ PRES,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
??VB ~ PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??PRES ~ PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??PAST ~ PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??PAST ~ ?TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??PAST ~ ?PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF PROG,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES PART,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ TO INF,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
?PAST ~ PAST PERF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD may,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PERF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
MOD could ~ MOD might,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES PART,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ PRES PERF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD would,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD would,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
MOD would ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?TO INF ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES ~ TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PART,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
?PRES ~ FUT,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES ~ ?VB,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES PERF ~ PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
?PAST ~ PRES PERF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PERF PROG,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF PROG,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PERF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
