,prose,prophetic,poetry,instruction,list
PRES PART ~ PRES PERF PROG,inf,0.0,0.0,0.0,0.0
FUT ~ PAST PROG,0.0,inf,0.0,0.0,0.0
MOD can ~ PRES PART,inf,0.0,0.0,0.0,0.0
FUT ~ MOD may,0.0,0.0,inf,0.0,0.0
MOD was to ~ PAST PROG,inf,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PART,inf,0.0,0.0,0.0,0.0
PAST PERF ~ PRES,0.96,2.14,0.0,0.0,0.0
PAST PERF ~ PAST PERF PROG,inf,0.0,0.0,0.0,0.0
MOD was to ~ TO INF,inf,0.0,0.0,0.0,0.0
HAB used to ~ PAST PERF,inf,0.0,0.0,0.0,0.0
TO INF ~ VB,inf,0.0,0.0,0.0,0.0
HAB used to ~ PAST,inf,0.0,0.0,0.0,0.0
FUT ~ VB,inf,0.0,0.0,0.0,0.0
FUT ~ PAST,inf,0.0,0.0,0.0,0.0
FUT ~ MOD would,0.0,0.0,inf,0.0,0.0
FUT ~ MOD can,0.0,0.0,inf,0.0,0.0
FUT ~ FUT PROG,inf,0.0,0.0,0.0,0.0
IMPV ~ PAST,0.0,0.0,0.0,0.0,inf
MOD shall ~ PRES PART,0.0,inf,0.0,0.0,0.0
IMPV ~ PRES PROG,inf,0.0,0.0,0.0,0.0
MOD should ~ PRES PERF,0.0,inf,0.0,0.0,0.0
PRES PROG ~ TO INF,0.0,inf,0.0,0.0,0.0
PRES PROG ~ PRES PROG keep,0.0,inf,0.0,0.0,0.0
PRES PERF ~ TO INF,inf,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PERF PROG,inf,0.0,0.0,0.0,0.0
PAST ~ VB,0.0,inf,0.0,0.0,0.0
PAST PROG ~ TO INF,inf,0.0,0.0,0.0,0.0
MOD would ~ PRES PROG,inf,0.0,0.0,0.0,0.0
MOD would ~ PRES PERF,0.0,inf,0.0,0.0,0.0
MOD was to ~ PRES PART,inf,0.0,0.0,0.0,0.0
MOD that VB ~ PRES PART,inf,0.0,0.0,0.0,0.0
MOD should ~ PRES,0.0,inf,0.0,0.0,0.0
MOD can ~ MOD may,0.0,inf,0.0,0.0,0.0
MOD should ~ PAST,inf,0.0,0.0,0.0,0.0
MOD should ~ MOD was to,inf,0.0,0.0,0.0,0.0
MOD shall ~ PRES PERF,0.0,inf,0.0,0.0,0.0
MOD shall ~ PAST,inf,0.0,0.0,0.0,0.0
MOD need not ~ TO INF,0.0,inf,0.0,0.0,0.0
MOD must ~ PRES PART,inf,0.0,0.0,0.0,0.0
MOD may ~ PRES PART,0.0,0.0,inf,0.0,0.0
MOD let ~ TO INF,inf,0.0,0.0,0.0,0.0
MOD is to ~ MOD would,inf,0.0,0.0,0.0,0.0
MOD could ~ PRES PART,0.0,0.0,0.0,inf,0.0
FUT PROG ~ MOD is to,inf,0.0,0.0,0.0,0.0
