eng_TAMsimp,prose,prophetic,poetry,instruction,list
MOD may ~ PAST,1.0,inf,1.0,inf,inf
MOD is to ~ TO INF,inf,inf,inf,0.0,inf
MOD may ~ TO INF,inf,inf,0.0,inf,inf
PAST PERF PROG ~ PAST PROG,0.0,inf,inf,inf,inf
MOD must ~ PRES,0.0,inf,inf,inf,inf
FUT going-to ~ PRES PART,0.0,inf,inf,inf,inf
PRES PART ~ PRES PERF PROG,0.0,inf,inf,inf,inf
FUT ~ PAST PROG,inf,0.0,inf,inf,inf
MOD can ~ PRES PART,0.0,inf,inf,inf,inf
FUT ~ MOD may,inf,inf,0.0,inf,inf
MOD was to ~ PAST PROG,0.0,inf,inf,inf,inf
PAST PERF ~ PRES PART,0.0,inf,inf,inf,inf
PAST PERF ~ PRES,1.0,1.0,inf,inf,inf
PAST PERF ~ PAST PERF PROG,0.0,inf,inf,inf,inf
MOD was to ~ TO INF,0.0,inf,inf,inf,inf
HAB used to ~ PAST PERF,0.0,inf,inf,inf,inf
TO INF ~ VB,0.0,inf,inf,inf,inf
HAB used to ~ PAST,0.0,inf,inf,inf,inf
FUT ~ VB,0.0,inf,inf,inf,inf
FUT ~ PAST,0.0,inf,inf,inf,inf
FUT ~ MOD would,inf,inf,0.0,inf,inf
FUT ~ MOD can,inf,inf,0.0,inf,inf
FUT ~ FUT PROG,0.0,inf,inf,inf,inf
IMPV ~ PAST,inf,inf,inf,inf,0.0
MOD shall ~ PRES PART,inf,0.0,inf,inf,inf
IMPV ~ PRES PROG,0.0,inf,inf,inf,inf
MOD should ~ PRES PERF,inf,0.0,inf,inf,inf
PRES PROG ~ TO INF,inf,0.0,inf,inf,inf
PRES PROG ~ PRES PROG keep,inf,0.0,inf,inf,inf
PRES PERF ~ TO INF,0.0,inf,inf,inf,inf
PRES PERF ~ PRES PERF PROG,0.0,inf,inf,inf,inf
PAST ~ VB,inf,0.0,inf,inf,inf
PAST PROG ~ TO INF,0.0,inf,inf,inf,inf
MOD would ~ PRES PROG,0.0,inf,inf,inf,inf
MOD would ~ PRES PERF,inf,0.0,inf,inf,inf
MOD was to ~ PRES PART,0.0,inf,inf,inf,inf
MOD that VB ~ PRES PART,0.0,inf,inf,inf,inf
MOD should ~ PRES,inf,0.0,inf,inf,inf
MOD can ~ MOD may,inf,0.0,inf,inf,inf
MOD should ~ PAST,0.0,inf,inf,inf,inf
MOD should ~ MOD was to,0.0,inf,inf,inf,inf
MOD shall ~ PRES PERF,inf,0.0,inf,inf,inf
MOD shall ~ PAST,0.0,inf,inf,inf,inf
MOD need not ~ TO INF,inf,0.0,inf,inf,inf
MOD must ~ PRES PART,0.0,inf,inf,inf,inf
MOD may ~ PRES PART,inf,inf,0.0,inf,inf
MOD let ~ TO INF,0.0,inf,inf,inf,inf
MOD is to ~ MOD would,0.0,inf,inf,inf,inf
MOD could ~ PRES PART,inf,inf,inf,0.0,inf
FUT PROG ~ MOD is to,0.0,inf,inf,inf,inf
