period,SBH,LBH,SBH,SBH,SBH,LBH,LBH,SBH,LBH,SBH,LBH,SBH,SBH,LBH
MOD could ~ PAST,0.67,2.33,9.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ PAST,5.0,inf,1.0,5.0,inf,5.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD would,0.2,inf,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST ~ PRES PART,0.67,4.0,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
TO INF,1.5,1.5,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB,inf,inf,3.0,3.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
?PRES ~ PAST,3.0,inf,0.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST did not ~ PAST,2.0,inf,2.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PROG,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PAST,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
?TO INF ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ PRES PART,2.0,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,inf,inf,2.0,inf,inf,2.0,inf,inf,inf,2.0,inf,inf,inf,inf
PAST PERF ~ PRES PERF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST ~ IMPV,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST ~ ?VB,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PRES PERF ~ PRES,inf,inf,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ PRES PERF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??VB ~ ?PAST question,inf,inf,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES,inf,inf,inf,inf,inf,inf,inf,1.0,inf,1.0,inf,inf,inf,inf
?PAST ~ PRES,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PAST,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST ~ ?TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??PAST ~ ?PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST PERF ~ PAST PERF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST did not ~ ?PAST question,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?MOD would ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??PAST ~ ?TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??VB ~ PRES,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??PAST ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST wh-question ~ MOD let,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST wh-question,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST wh-question ~ PAST,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST wh-question ~ ?PRES,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?MOD let ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??PRES ~ PAST,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD might,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST ~ PRES PERF,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
?PRES PERF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ TO INF,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ PRES PROG,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF PROG,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PERF PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PERF PROG,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PERF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ TO INF,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ MOD would,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES PART,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PRES ~ PRES,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
??PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
