period,SBH,LBH,SBH,SBH,SBH,LBH,LBH,SBH,LBH,SBH,LBH,SBH,SBH,LBH
MOD could ~ PAST,1.67,3.33,10.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ PAST,6.0,inf,2.0,6.0,inf,6.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD would,1.2,inf,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST ~ PRES PART,1.67,5.0,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
TO INF,2.5,2.5,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB,inf,inf,4.0,4.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf
?PRES ~ PAST,4.0,inf,1.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST did not ~ PAST,3.0,inf,3.0,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PROG,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PAST,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
?TO INF ~ PAST,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ PRES PART,3.0,3.0,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,inf,inf,3.0,inf,inf,3.0,inf,inf,inf,3.0,inf,inf,inf,inf
PAST PERF ~ PRES PERF,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PAST,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST ~ IMPV,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST ~ ?VB,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PRES PERF ~ PRES,inf,inf,2.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ PRES PERF,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??VB ~ ?PAST question,inf,inf,2.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES,inf,inf,inf,inf,inf,inf,inf,2.0,inf,2.0,inf,inf,inf,inf
?PAST ~ PRES,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,2.0,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PAST,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST ~ ?TO INF,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??PAST ~ ?PAST,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST PERF ~ PAST PERF,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST did not ~ ?PAST question,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?MOD would ~ PAST,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??PAST ~ ?TO INF,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??VB ~ PRES,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??PAST ~ PAST,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST wh-question ~ MOD let,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST wh-question,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST wh-question ~ PAST,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST wh-question ~ ?PRES,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?MOD let ~ PAST,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??PRES ~ PAST,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD might,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST ~ PRES PERF,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
?PRES PERF,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ TO INF,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ PRES PROG,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF PROG,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ TO INF,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PERF PROG,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PERF PROG,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PERF,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PART,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ TO INF,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ TO INF,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ MOD would,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PAST,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PART,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES PART,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ PRES,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PRES ~ PRES,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
??PAST,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
