eng_TAMsimp,wqtl,yqtl,Ø,qtl,impv,ptcp,wayq,infc,infa
HAB used to ~ MOD would,1.5,inf,inf,inf,inf,3.0,inf,inf,inf
HAB used to,inf,3.0,inf,inf,inf,3.0,3.0,inf,inf
MOD was to,3.0,3.0,inf,inf,inf,3.0,inf,inf,inf
FUT ~ FUT going-to,inf,inf,inf,inf,inf,1.0,inf,inf,inf
IMPV ~ MOD is to,2.0,inf,inf,inf,2.0,inf,inf,inf,inf
MOD that be ~ TO INF,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD was to ~ PAST,2.0,inf,2.0,inf,inf,inf,inf,inf,inf
PRES ~ PRES PROG,2.0,inf,2.0,inf,inf,inf,inf,inf,inf
FUT ~ MOD must,inf,2.0,2.0,inf,inf,inf,inf,inf,inf
IMPV ~ PRES PART,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES PART,1.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD shall,2.0,inf,2.0,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,inf,inf,inf,1.0,inf,inf,inf,inf,inf
MOD may ~ PRES PART,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD let,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD might,2.0,2.0,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD should,2.0,2.0,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES,2.0,2.0,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD must,2.0,2.0,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ PRES PART,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD must,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES PART,2.0,2.0,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD may,inf,inf,inf,inf,1.0,inf,inf,inf,inf
MOD let ~ PRES PART,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD should ~ MOD would,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD should,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD would,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ TO INF,inf,inf,inf,1.0,inf,inf,inf,inf,inf
MOD would ~ PRES PROG,inf,inf,1.0,inf,inf,inf,inf,inf,inf
FUT ~ MOD is to,1.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD VB,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD ~ MOD would,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ TO INF,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD must,inf,inf,inf,inf,inf,1.0,inf,inf,inf
FUT ~ FUT PROG,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ MOD would,inf,1.0,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ TO INF,inf,1.0,inf,inf,inf,inf,inf,inf,inf
FUT PROG,1.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD should,inf,1.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD that be,inf,1.0,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ PRES PART,inf,inf,inf,1.0,inf,inf,inf,inf,inf
MOD could,inf,1.0,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ TO INF,inf,inf,inf,1.0,inf,inf,inf,inf,inf
MOD let ~ MOD might,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD might,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD quest must ~ MOD shall,inf,1.0,inf,inf,inf,inf,inf,inf,inf
PRES ~ VB,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD would,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ PRES,inf,1.0,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ PAST PROG,inf,inf,inf,1.0,inf,inf,inf,inf,inf
HAB used to ~ PRES PART,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ TO INF,inf,1.0,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD VB,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD lest,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PART,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD can,inf,1.0,inf,inf,inf,inf,inf,inf,inf
