eng_TAMsimp,wqtl,yqtl,Ø,qtl,impv,ptcp,wayq,infc,infa,jussF,cohoF
MOD can ~ MOD may,6,4,1,0,0,0,0,0,0,0,0
FUT ~ MOD would,5,5,0,1,0,0,0,0,0,0,0
MOD can ~ MOD shall,5,2,2,0,1,0,0,0,0,0,0
MOD shall ~ PAST,7,1,0,1,0,0,0,0,0,0,0
MOD let ~ MOD shall,3,4,1,0,1,0,0,0,0,0,0
MOD is to ~ PRES,5,2,0,0,0,1,0,0,0,0,0
MOD is to ~ MOD let,6,0,0,0,2,0,0,0,0,0,0
MOD let ~ MOD may,4,2,0,1,0,1,0,0,0,0,0
FUT ~ PAST,2,5,0,0,0,0,0,1,0,0,0
MOD is to ~ PAST,5,2,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD may,3,4,0,0,0,0,0,0,0,0,0
PAST ~ TO INF,2,1,1,2,0,0,1,0,0,0,0
MOD lest ~ TO INF,4,3,0,0,0,0,0,0,0,0,0
PAST ~ PAST PROG,1,1,4,0,0,0,1,0,0,0,0
MOD shall ~ PRES PERF,3,0,0,2,0,1,0,0,0,0,0
FUT ~ PRES PERF,1,0,0,3,1,1,0,0,0,0,0
IMPV ~ MOD lest,3,2,0,0,0,0,0,0,0,0,0
MOD shall ~ MOD would,2,3,0,0,0,0,0,0,0,0,0
MOD may ~ MOD must,1,3,1,0,0,0,0,0,0,0,0
MOD can,0,1,0,2,0,2,0,0,0,0,0
MOD would ~ PRES,0,4,0,1,0,0,0,0,0,0,0
IMPV ~ PAST,2,1,0,0,2,0,0,0,0,0,0
MOD should ~ PRES,0,3,0,0,0,0,0,1,0,0,0
HAB used to ~ PAST,0,1,1,1,0,0,1,0,0,0,0
IMPV ~ MOD may,3,0,0,1,0,0,0,0,0,0,0
IMPV ~ MOD must,1,0,2,0,0,1,0,0,0,0,0
PAST PERF,0,0,0,3,0,0,1,0,0,0,0
MOD shall ~ MOD should,2,1,1,0,0,0,0,0,0,0,0
FUT ~ MOD can,2,2,0,0,0,0,0,0,0,0,0
MOD let ~ TO INF,0,3,0,0,0,0,0,0,0,0,1
FUT ~ FUT PERF,2,1,0,1,0,0,0,0,0,0,0
MOD should,0,2,2,0,0,0,0,0,0,0,0
MOD could ~ MOD may,1,1,1,0,0,0,0,0,0,0,0
PAST ~ PAST PERF,0,0,0,1,0,0,2,0,0,0,0
MOD can ~ PRES,1,2,0,0,0,0,0,0,0,0,0
MOD should ~ TO INF,1,1,0,0,0,0,0,1,0,0,0
IMPV ~ MOD would,3,0,0,0,0,0,0,0,0,0,0
MOD VB ~ PRES,3,0,0,0,0,0,0,0,0,0,0
MOD is to ~ TO INF,2,1,0,0,0,0,0,0,0,0,0
HAB used to ~ MOD would,2,0,0,0,0,1,0,0,0,0,0
HAB used to,0,1,0,0,0,1,1,0,0,0,0
MOD was to,1,1,0,0,0,1,0,0,0,0,0
FUT ~ FUT going-to,0,0,0,0,0,3,0,0,0,0,0
IMPV ~ MOD is to,1,0,0,0,1,0,0,0,0,0,0
MOD that be ~ TO INF,2,0,0,0,0,0,0,0,0,0,0
MOD was to ~ PAST,1,0,1,0,0,0,0,0,0,0,0
PRES ~ PRES PROG,1,0,1,0,0,0,0,0,0,0,0
FUT ~ MOD must,0,1,1,0,0,0,0,0,0,0,0
IMPV ~ PRES PART,2,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES PART,2,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD shall,1,0,1,0,0,0,0,0,0,0,0
PRES PART ~ PRES PERF,0,0,0,2,0,0,0,0,0,0,0
MOD may ~ PRES PART,2,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD let,2,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD might,1,1,0,0,0,0,0,0,0,0,0
MOD may ~ MOD should,1,1,0,0,0,0,0,0,0,0,0
MOD let ~ PRES,1,1,0,0,0,0,0,0,0,0,0
MOD must ~ PRES,0,2,0,0,0,0,0,0,0,0,0
MOD let ~ MOD must,1,1,0,0,0,0,0,0,0,0,0
MOD lest ~ PRES PART,2,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD must,2,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PART,1,1,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD may,0,0,0,0,1,0,0,0,0,0,0
MOD let ~ PRES PART,0,1,0,0,0,0,0,0,0,0,0
MOD should ~ MOD would,0,1,0,0,0,0,0,0,0,0,0
MOD let ~ MOD should,0,1,0,0,0,0,0,0,0,0,0
MOD let ~ MOD would,1,0,0,0,0,0,0,0,0,0,0
MOD can ~ TO INF,0,0,0,1,0,0,0,0,0,0,0
MOD would ~ PRES PROG,0,0,1,0,0,0,0,0,0,0,0
FUT ~ MOD is to,1,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD VB,0,1,0,0,0,0,0,0,0,0,0
MOD ~ MOD would,1,0,0,0,0,0,0,0,0,0,0
MOD would ~ TO INF,1,0,0,0,0,0,0,0,0,0,0
MOD must,0,0,0,0,0,1,0,0,0,0,0
FUT ~ FUT PROG,1,0,0,0,0,0,0,0,0,0,0
MOD might ~ MOD would,0,1,0,0,0,0,0,0,0,0,0
PAST PROG ~ TO INF,0,1,0,0,0,0,0,0,0,0,0
FUT PROG,1,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD should,0,1,0,0,0,0,0,0,0,0,0
FUT ~ MOD that be,0,1,0,0,0,0,0,0,0,0,0
PAST PERF ~ PRES PART,0,0,0,1,0,0,0,0,0,0,0
MOD could,0,1,0,0,0,0,0,0,0,0,0
PRES PERF ~ TO INF,0,0,0,1,0,0,0,0,0,0,0
MOD let ~ MOD might,1,0,0,0,0,0,0,0,0,0,0
MOD might,0,1,0,0,0,0,0,0,0,0,0
MOD quest must ~ MOD shall,0,1,0,0,0,0,0,0,0,0,0
PRES ~ VB,1,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD would,0,1,0,0,0,0,0,0,0,0,0
MOD lest ~ PRES,0,1,0,0,0,0,0,0,0,0,0
HAB used to ~ PAST PROG,0,0,0,1,0,0,0,0,0,0,0
HAB used to ~ PRES PART,1,0,0,0,0,0,0,0,0,0,0
MOD could ~ TO INF,0,1,0,0,0,0,0,0,0,0,0
IMPV ~ MOD VB,1,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD lest,1,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES PART,1,0,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD can,0,1,0,0,0,0,0,0,0,0,0
