eng_TAMsimp,qal,hif,piel,nif,hit,hof,pual,hsht,tif,poel,poal,htpo
MOD can ~ TO INF,1.33,6.0,2.5,6.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES PART,0.17,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ MOD would,0.75,6.0,6.0,6.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest,0.4,6.0,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD might,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ TO INF,1.33,2.5,inf,inf,inf,2.5,inf,inf,inf,inf,inf,inf
FUT ~ MOD must,1.33,6.0,1.33,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD would,2.5,1.33,2.5,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF,1.33,2.5,inf,6.0,6.0,inf,inf,inf,inf,inf,inf,inf
MOD would ~ TO INF,2.0,5.0,5.0,inf,5.0,inf,5.0,inf,inf,inf,inf,inf
MOD lest ~ MOD might,1.0,5.0,5.0,5.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES PART,0.5,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PAST,0.5,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD may,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PERF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD would,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PART,2.0,5.0,2.0,5.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD shall,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT going-to,0.2,inf,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ TO INF,0.2,inf,inf,5.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PROG,2.0,inf,0.5,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ PAST,4.0,1.5,4.0,4.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ MOD should,0.25,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD would,0.25,inf,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD was to,0.67,4.0,inf,inf,inf,4.0,inf,inf,inf,inf,inf,inf
MOD lest ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD may,1.5,4.0,4.0,4.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD must,0.25,inf,inf,inf,inf,4.0,inf,inf,inf,inf,inf,inf
FUT ~ PRES PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ PRES,0.33,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PAST,3.0,1.0,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD is to,0.33,inf,inf,inf,inf,3.0,inf,inf,inf,inf,inf,inf
MOD VB ~ PRES,1.0,3.0,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ TO INF,0.33,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD is to,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD lest,0.33,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PERF,0.33,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PAST,0.33,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES PART,0.5,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf
FUT PROG ~ PRES,0.5,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD that be,0.5,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,2.0,0.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES PERF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PAST,2.0,inf,inf,0.5,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES PERF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD might,0.5,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG,0.5,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD would,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD might,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD need not ~ MOD shall,0.5,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD should,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PART,2.0,inf,0.5,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD must,2.0,inf,2.0,inf,2.0,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES PERF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD that be,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD need not ~ PRES,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES do,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD should,inf,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD that be,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD quest must,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES PROG,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD let,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD should,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD must,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ TO INF,inf,inf,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD shall,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD was to,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD quest must,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ PRES PROG,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
MOD quest must ~ MOD shall,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ PRES PERF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD lest,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES shall,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PERF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PERF ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PROG ~ MOD shall,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD lest,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD is to,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD may,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES can,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES shall,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT PERF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES PROG,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PAST PERF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PRES PERF,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ PRES,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES shall,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD would,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST PROG,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD must,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST PERF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD that be,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD lest,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD ~ MOD let,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD that be ~ TO INF,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD shall,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD can,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
JJ ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD might,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES PERF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD ~ PRES,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD that,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD need not,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD shall,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD should,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ VB,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV not ~ MOD must,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PART,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
HAB used to ~ PRES PERF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ MOD would,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD should,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD was to ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
