eng_TAMsimp,person,xYq0,WxY0,WXYq,XYqt,ZYq0,xYqX,WYq0,ZYqX,WxYX,WYqX,CPen
FUT ~ MOD let,p1,3.5,3.5,8.0,inf,2.0,inf,inf,8.0,inf,inf,inf
MOD is to ~ MOD let,p3,inf,8.0,8.0,2.0,inf,3.5,8.0,8.0,inf,inf,inf
MOD shall ~ MOD should,p3,7.0,3.0,inf,3.0,inf,1.67,inf,inf,inf,inf,inf
PAST ~ PRES PERF,p2,7.0,7.0,inf,inf,0.33,inf,inf,inf,inf,inf,inf
FUT ~ MOD can,p1,1.0,1.67,7.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PAST,p3,3.0,inf,3.0,7.0,inf,3.0,inf,inf,7.0,inf,inf
FUT ~ MOD can,p2,1.0,1.67,inf,inf,inf,inf,7.0,inf,inf,inf,inf
MOD would ~ PRES,p2,1.67,7.0,inf,7.0,7.0,inf,7.0,7.0,inf,inf,inf
MOD may ~ TO INF,p1,inf,inf,inf,inf,inf,inf,0.17,inf,inf,6.0,inf
IMPV ~ PRES PART,p2,1.33,0.75,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ TO INF,p2,2.5,0.4,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD lest,p2,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES,p1,1.33,6.0,6.0,inf,inf,inf,2.5,inf,inf,inf,inf
MOD should ~ MOD would,p3,6.0,inf,inf,1.33,inf,inf,6.0,6.0,6.0,inf,inf
MOD let ~ MOD must,p3,1.33,2.5,6.0,inf,inf,inf,inf,inf,6.0,inf,inf
PAST ~ PRES PERF,p1,2.5,6.0,inf,inf,6.0,inf,1.33,inf,inf,inf,inf
MOD can ~ PRES,p1,1.33,1.33,inf,inf,inf,6.0,inf,inf,inf,inf,inf
MOD let ~ PAST,p3,5.0,inf,inf,inf,inf,5.0,5.0,1.0,inf,inf,inf
MOD may ~ MOD must,p3,1.0,inf,2.0,inf,inf,inf,5.0,inf,inf,inf,inf
FUT ~ MOD should,p3,1.0,inf,2.0,5.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ TO INF,p1,inf,5.0,5.0,inf,2.0,inf,2.0,inf,inf,inf,inf
MOD let ~ MOD should,p3,inf,inf,inf,5.0,inf,1.0,5.0,5.0,inf,inf,inf
MOD must ~ PRES,p3,5.0,5.0,inf,2.0,inf,inf,inf,inf,2.0,inf,inf
MOD was to ~ PAST,p3,1.0,inf,inf,inf,inf,2.0,5.0,inf,inf,inf,inf
PAST ~ TO INF,p3,1.0,inf,5.0,inf,inf,5.0,5.0,inf,inf,inf,inf
MOD shall ~ TO INF,p1,0.25,inf,inf,inf,inf,inf,4.0,inf,inf,inf,inf
PRES ~ PRES PERF,p1,0.67,inf,inf,4.0,inf,inf,4.0,inf,inf,inf,inf
MOD may ~ MOD must,p2,1.5,0.67,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ IMPV,p3,inf,inf,inf,1.5,4.0,inf,4.0,inf,inf,4.0,inf
MOD is to,p3,4.0,inf,inf,0.67,inf,4.0,inf,inf,inf,inf,inf
MOD can ~ MOD may,p2,1.5,1.5,4.0,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PAST,p2,4.0,0.67,inf,inf,inf,inf,4.0,inf,inf,inf,inf
FUT ~ MOD may,p2,0.25,inf,inf,inf,inf,inf,inf,inf,4.0,inf,inf
MOD let ~ TO INF,p1,inf,inf,inf,inf,1.5,inf,0.67,inf,inf,inf,inf
MOD let ~ PRES PART,p3,4.0,4.0,1.5,4.0,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PROG,p3,1.5,4.0,1.5,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES,p3,0.67,inf,4.0,4.0,inf,inf,inf,inf,inf,inf,inf
?VB ~ MOD let,p3,4.0,inf,inf,4.0,inf,0.67,inf,inf,inf,inf,inf
PAST ~ PAST PERF,p3,1.5,4.0,1.5,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD should,p2,1.5,0.67,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PAST,p1,3.0,1.0,inf,inf,inf,inf,3.0,inf,inf,inf,inf
MOD lest ~ MOD may,p3,inf,3.0,0.33,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD must,p3,inf,inf,1.0,3.0,3.0,inf,inf,inf,inf,inf,inf
MOD could,p1,0.33,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ TO INF,p3,3.0,3.0,inf,3.0,inf,inf,3.0,inf,inf,inf,inf
MOD was to,p3,inf,3.0,1.0,3.0,inf,inf,inf,inf,inf,inf,inf
MOD should,p2,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PROG,p3,3.0,inf,3.0,inf,inf,3.0,inf,3.0,inf,inf,inf
MOD must ~ MOD shall,p1,1.0,3.0,inf,inf,3.0,inf,inf,inf,inf,inf,inf
MOD can ~ MOD shall,p2,3.0,1.0,3.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PAST,p3,inf,3.0,3.0,3.0,inf,3.0,inf,inf,inf,inf,inf
FUT going-to ~ MOD shall,p2,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PAST,p3,inf,1.0,3.0,inf,inf,3.0,inf,inf,inf,inf,inf
TO INF,p1,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
MOD shall ~ PRES PERF,p2,2.0,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD would,p3,0.5,inf,inf,inf,inf,inf,inf,inf,2.0,inf,inf
IMPV ~ MOD let,p1,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
MOD could ~ MOD must,p1,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF,p3,inf,inf,0.5,inf,inf,inf,inf,inf,2.0,inf,inf
MOD let ~ MOD may,p1,inf,inf,inf,inf,2.0,inf,0.5,inf,inf,inf,inf
MOD would ~ PRES,p1,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD would,p1,2.0,2.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf
MOD can ~ PRES PART,p3,inf,inf,0.5,inf,inf,inf,inf,inf,2.0,inf,inf
MOD lest ~ PRES,p3,inf,0.5,inf,inf,inf,inf,inf,inf,2.0,inf,inf
FUT ~ TO INF,p2,0.5,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD let,p1,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD may,p3,inf,2.0,2.0,inf,inf,inf,inf,2.0,inf,inf,inf
HAB used to,p3,2.0,inf,0.5,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD would,p3,inf,inf,2.0,inf,inf,inf,inf,0.5,inf,inf,inf
FUT ~ MOD must,p1,2.0,2.0,inf,2.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD should,p2,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES,p1,2.0,2.0,inf,inf,inf,inf,2.0,inf,inf,inf,inf
PRES PERF ~ TO INF,p1,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
PRES PERF,p1,2.0,2.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf
FUT ~ PRES PROG,p1,2.0,inf,inf,inf,2.0,inf,2.0,inf,inf,inf,inf
?VB ~ PAST,p3,2.0,0.5,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PROG,p2,2.0,inf,2.0,2.0,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES,p1,inf,2.0,inf,inf,2.0,inf,2.0,inf,inf,inf,inf
PRES PART ~ TO INF,p3,inf,0.5,inf,inf,2.0,inf,inf,inf,inf,inf,inf
MOD might ~ MOD should,p3,2.0,inf,inf,inf,inf,2.0,inf,inf,2.0,inf,inf
FUT ~ PRES PART,p1,inf,2.0,inf,inf,0.5,inf,inf,inf,inf,inf,inf
MOD may ~ PRES PART,p3,inf,2.0,inf,inf,inf,inf,0.5,inf,inf,inf,inf
MOD might,p3,inf,inf,inf,2.0,inf,0.5,inf,inf,inf,inf,inf
FUT ~ MOD that be,p3,inf,2.0,inf,inf,inf,inf,inf,inf,0.5,inf,inf
MOD must ~ PRES,p1,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT going-to,p2,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD that be,p3,inf,inf,1.0,inf,inf,inf,1.0,inf,inf,inf,inf
FUT ~ FUT going-to,p1,1.0,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
PRES ~ TO INF,p2,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
MOD can ~ TO INF,p1,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ MOD shall,p3,inf,1.0,inf,inf,inf,1.0,inf,inf,inf,inf,inf
?VB ~ MOD must,p3,inf,inf,1.0,inf,inf,1.0,inf,inf,inf,inf,inf
?VB,p3,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
MOD should ~ TO INF,p2,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PERF,p1,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PART,p1,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST,p1,inf,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf
IMPV ~ PAST,p3,inf,inf,1.0,inf,inf,1.0,inf,inf,inf,inf,inf
IMPV ~ MOD should,p3,1.0,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
FUT ~ PAST,p2,inf,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf
PAST ~ TO INF,p1,inf,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf
IMPV ~ MOD must,p3,inf,inf,inf,1.0,inf,1.0,inf,inf,inf,inf,inf
MOD would ~ TO INF,p1,inf,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PART,p2,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PERF,p3,inf,inf,inf,1.0,1.0,inf,inf,inf,inf,inf,inf
IMPV ~ MOD lest,p3,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD is to,p2,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD can,p2,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD might,p1,inf,inf,inf,inf,1.0,inf,1.0,inf,inf,inf,inf
MOD can ~ MOD let,p3,inf,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf
??VB ~ MOD let,p3,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD should,p1,1.0,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
MOD is to ~ MOD may,p3,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD that be,p3,inf,inf,inf,inf,inf,1.0,inf,inf,1.0,inf,inf
MOD let ~ PRES,p2,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD should,p2,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD might,p3,inf,inf,inf,inf,inf,1.0,inf,inf,1.0,inf,inf
MOD shall ~ MOD would,p1,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PERF,p3,inf,inf,inf,inf,1.0,inf,inf,1.0,inf,inf,inf
MOD need not ~ MOD shall,p2,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PAST,p2,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,p2,inf,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf
MOD may ~ PAST,p3,inf,inf,inf,inf,inf,1.0,inf,inf,inf,1.0,inf
MOD must ~ PRES,p2,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PART,p2,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
MOD lest,p3,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
MOD might ~ PAST,p3,inf,inf,inf,inf,inf,inf,1.0,1.0,inf,inf,inf
MOD could ~ MOD would,p3,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD might ~ PAST,p1,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
MOD might ~ MOD would,p3,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT PERF,p3,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,p1,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD shall,p1,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
MOD must ~ PRES PROG,p2,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
MOD may ~ MOD might,p3,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ TO INF,p2,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,p3,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES shall,p2,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,p2,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ TO INF,p1,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
PRES PART,p1,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES PART,p2,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD need not ~ MOD shall,p3,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
MOD let ~ VB,p1,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
MOD need not ~ PRES,p3,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
PAST ~ TO INF,p2,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
MOD might ~ TO INF,p3,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PART,p2,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ MOD let,p2,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD quest must,p3,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ IMPV,p3,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf
MOD must ~ MOD should,p1,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
?VB,p2,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ PRES PERF,p2,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
MOD may ~ MOD would,p3,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
?VB ~ PAST,p1,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES do,p3,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT PROG ~ PRES,p3,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD lest,p3,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
MOD might ~ MOD would,p2,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD shall,p3,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
FUT ~ FUT PROG,p3,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ MOD would,p1,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
MOD might ~ MOD should,p1,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
PRES ~ TO INF,p1,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT going-to,p3,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
FUT ~ IMPV,p1,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD should,p3,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PROG ~ MOD shall,p3,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD,p3,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES PERF,p1,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
