eng_TAMsimp,poetry,prophetic,prose,instruction,list
MOD would ~ TO INF,1.67,5.0,5.0,inf,inf
MOD let ~ PRES PART,2.5,5.0,2.5,inf,inf
MOD might ~ PAST,2.5,1.67,inf,inf,inf
MOD was to,5.0,inf,1.67,inf,5.0
MOD might ~ MOD should,2.5,inf,1.67,inf,inf
MOD should ~ PAST,2.0,4.0,4.0,inf,inf
MOD VB ~ PRES,1.0,inf,inf,inf,inf
FUT ~ PRES PROG,inf,4.0,1.33,inf,inf
IMPV ~ MOD lest,4.0,2.0,4.0,inf,inf
HAB used to,inf,inf,1.0,inf,inf
PAST PERF ~ PRES,4.0,4.0,2.0,inf,inf
MOD can ~ PAST,inf,1.33,4.0,inf,inf
FUT ~ MOD is to,inf,4.0,1.33,inf,inf
?VB ~ PAST,2.0,inf,2.0,inf,inf
PRES PERF ~ TO INF,inf,1.0,inf,inf,inf
MOD could ~ MOD should,inf,3.0,1.5,inf,inf
?VB,inf,3.0,1.5,inf,inf
PAST PROG,inf,inf,1.0,inf,inf
MOD shall ~ PRES PERF,inf,inf,1.0,inf,inf
MOD can ~ MOD might,inf,inf,1.0,inf,inf
MOD could ~ MOD must,1.0,inf,inf,inf,inf
FUT PROG ~ PRES,3.0,inf,inf,1.5,inf
MOD lest ~ MOD would,inf,inf,1.5,3.0,inf
FUT ~ MOD that be,inf,inf,1.5,3.0,inf
MOD need not ~ MOD shall,1.5,inf,3.0,inf,inf
MOD may ~ PRES PERF,3.0,inf,3.0,3.0,inf
MOD may ~ PAST,1.5,inf,3.0,inf,inf
MOD may ~ MOD might,3.0,3.0,3.0,inf,inf
PRES PART ~ PRES PERF,1.5,3.0,inf,inf,inf
MOD is to ~ PRES PART,3.0,inf,1.5,inf,inf
MOD let ~ PRES PERF,3.0,inf,1.5,inf,inf
MOD let ~ MOD would,3.0,inf,1.5,inf,inf
IMPV ~ MOD is to,inf,inf,1.0,inf,inf
MOD would ~ PRES PART,3.0,3.0,3.0,inf,inf
?VB ~ MOD must,inf,inf,1.0,inf,inf
?VB ~ MOD shall,inf,inf,2.0,2.0,inf
??VB ~ MOD let,inf,inf,1.0,inf,inf
MOD must ~ MOD should,2.0,inf,2.0,inf,inf
MOD is to ~ PRES,inf,inf,1.0,inf,inf
MOD can ~ MOD must,2.0,inf,2.0,inf,inf
MOD should ~ PRES PERF,inf,2.0,2.0,inf,inf
MOD that be,inf,2.0,2.0,inf,inf
MOD let ~ MOD that be,2.0,inf,2.0,inf,inf
PAST PROG ~ PRES,2.0,2.0,inf,inf,inf
MOD lest ~ MOD should,1.0,inf,inf,inf,inf
MOD lest ~ MOD shall,inf,2.0,2.0,inf,inf
MOD is to ~ TO INF,2.0,inf,2.0,inf,inf
MOD need not ~ PRES,inf,2.0,inf,2.0,inf
MOD could ~ TO INF,2.0,inf,2.0,inf,inf
PRES PROG,inf,2.0,2.0,inf,inf
PRES ~ PRES do,1.0,inf,inf,inf,inf
FUT PERF,inf,1.0,inf,inf,inf
FUT ~ MOD,inf,inf,1.0,inf,inf
MOD quest must,inf,1.0,inf,inf,inf
MOD quest must ~ MOD shall,inf,inf,1.0,inf,inf
PRES ~ PRES shall,inf,inf,inf,1.0,inf
MOD should ~ PRES PART,inf,inf,1.0,inf,inf
?VB ~ IMPV,inf,inf,1.0,inf,inf
?VB ~ MOD lest,1.0,inf,inf,inf,inf
MOD that be ~ TO INF,inf,inf,inf,1.0,inf
MOD was to ~ PRES,inf,inf,1.0,inf,inf
MOD would ~ PAST PERF,inf,1.0,inf,inf,inf
MOD ~ PRES,inf,inf,1.0,inf,inf
MOD would ~ PAST PROG,1.0,inf,inf,inf,inf
FUT PERF ~ PRES,inf,inf,1.0,inf,inf
FUT ~ FUT PROG,1.0,inf,inf,inf,inf
PRES ~ PRES can,inf,inf,1.0,inf,inf
PRES PERF ~ PRES PROG,1.0,inf,inf,inf,inf
MOD must ~ TO INF,inf,inf,1.0,inf,inf
FUT going-to ~ MOD is to,inf,1.0,inf,inf,inf
PAST PROG ~ PRES PART,inf,1.0,inf,inf,inf
FUT PROG ~ MOD shall,inf,inf,inf,1.0,inf
PRES PART ~ PRES PROG,inf,inf,1.0,inf,inf
FUT going-to ~ MOD lest,inf,inf,1.0,inf,inf
MOD can ~ MOD lest,inf,inf,1.0,inf,inf
MOD must ~ PRES shall,inf,inf,inf,1.0,inf
MOD lest ~ MOD let,inf,inf,1.0,inf,inf
MOD could ~ MOD shall,inf,inf,1.0,inf,inf
MOD VB ~ TO INF,1.0,inf,inf,inf,inf
MOD could ~ PAST PERF,inf,inf,1.0,inf,inf
MOD VB ~ MOD shall,inf,1.0,inf,inf,inf
MOD could ~ PRES PERF,1.0,inf,inf,inf,inf
MOD VB ~ MOD can,1.0,inf,inf,inf,inf
JJ ~ PRES,1.0,inf,inf,inf,inf
IMPV ~ PRES PERF,inf,1.0,inf,inf,inf
MOD is to ~ MOD lest,inf,1.0,inf,inf,inf
MOD is to ~ MOD should,inf,inf,1.0,inf,inf
MOD is to ~ PRES PROG,inf,inf,1.0,inf,inf
IMPV ~ MOD need not,inf,inf,inf,1.0,inf
MOD lest ~ MOD must,inf,inf,inf,1.0,inf
MOD must ~ PRES PROG,1.0,inf,inf,inf,inf
MOD let ~ MOD might,inf,1.0,inf,inf,inf
IMPV ~ MOD,inf,inf,1.0,inf,inf
MOD let ~ VB,inf,inf,1.0,inf,inf
HAB used to ~ PRES PERF,1.0,inf,inf,inf,inf
HAB used to ~ PRES,inf,inf,1.0,inf,inf
MOD may ~ MOD should,1.0,inf,inf,inf,inf
HAB used to ~ MOD would,1.0,inf,inf,inf,inf
MOD may ~ MOD would,inf,inf,1.0,inf,inf
MOD might ~ PRES PERF,inf,1.0,inf,inf,inf
FUT ~ PRES shall,inf,inf,inf,1.0,inf
MOD must ~ MOD quest must,inf,1.0,inf,inf,inf
MOD must ~ PRES PART,inf,inf,1.0,inf,inf
MOD lest ~ MOD that be,inf,inf,inf,1.0,inf
