,Q,D,N,?
MOD might,inf,0.0,0.0,0.0
MOD quest must ~ MOD shall,inf,0.0,0.0,0.0
PRES ~ VB,inf,0.0,0.0,0.0
MOD could ~ MOD would,inf,0.0,0.0,0.0
MOD lest ~ PRES,inf,0.0,0.0,0.0
HAB used to ~ PAST PROG,0.0,inf,0.0,0.0
HAB used to ~ PRES PART,0.0,0.0,inf,0.0
MOD could ~ TO INF,inf,0.0,0.0,0.0
IMPV ~ MOD VB,inf,0.0,0.0,0.0
MOD is to ~ MOD lest,inf,0.0,0.0,0.0
MOD is to ~ PRES PART,inf,0.0,0.0,0.0
MOD VB ~ MOD can,inf,0.0,0.0,0.0
