eng_TAMsimp,Q,D,N,?
MOD let ~ MOD should,1.0,inf,inf,inf
MOD let ~ MOD would,1.0,inf,inf,inf
MOD can ~ TO INF,1.0,inf,inf,inf
MOD would ~ PRES PROG,1.0,inf,inf,inf
FUT ~ MOD is to,1.0,inf,inf,inf
FUT ~ MOD VB,1.0,inf,inf,inf
MOD ~ MOD would,inf,1.0,inf,inf
MOD would ~ TO INF,1.0,inf,inf,inf
MOD must,inf,1.0,inf,inf
FUT ~ FUT PROG,1.0,inf,inf,inf
MOD might ~ MOD would,1.0,inf,inf,inf
PAST PROG ~ TO INF,inf,1.0,inf,inf
FUT PROG,1.0,inf,inf,inf
FUT ~ MOD should,1.0,inf,inf,inf
FUT ~ MOD that be,1.0,inf,inf,inf
PAST PERF ~ PRES PART,inf,inf,1.0,inf
MOD could,1.0,inf,inf,inf
PRES PERF ~ TO INF,1.0,inf,inf,inf
MOD let ~ MOD might,1.0,inf,inf,inf
MOD might,1.0,inf,inf,inf
MOD quest must ~ MOD shall,1.0,inf,inf,inf
PRES ~ VB,1.0,inf,inf,inf
MOD could ~ MOD would,1.0,inf,inf,inf
MOD lest ~ PRES,1.0,inf,inf,inf
HAB used to ~ PAST PROG,inf,1.0,inf,inf
HAB used to ~ PRES PART,inf,inf,1.0,inf
MOD could ~ TO INF,1.0,inf,inf,inf
IMPV ~ MOD VB,1.0,inf,inf,inf
MOD is to ~ MOD lest,1.0,inf,inf,inf
MOD is to ~ PRES PART,1.0,inf,inf,inf
MOD VB ~ MOD can,1.0,inf,inf,inf
