genre,prose,prose,prophetic,prophetic,poetry,list,instruction,poetry,instruction,list,poetry,prophetic
IMPV ~ PAST,1.25,inf,inf,5.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PERF,inf,inf,5.0,2.5,2.5,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ PRES PERF,inf,1.33,inf,inf,4.0,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ PRES PART,1.5,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ TO INF,inf,3.0,3.0,inf,3.0,inf,inf,inf,inf,inf,inf,inf
PAST ~ VB,3.0,3.0,inf,inf,inf,3.0,inf,inf,inf,inf,inf,inf
MOD let,1.5,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD shall,inf,inf,1.5,inf,3.0,inf,inf,inf,inf,inf,inf,inf
FUT,inf,inf,2.0,inf,2.0,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ PRES PROG,inf,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PAST,2.0,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES,inf,inf,inf,2.0,inf,inf,inf,2.0,inf,inf,inf,inf
PRES PERF PROG,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PERF,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PART,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD would,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ TO INF,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES PART,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
MOD can ~ PAST,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD might,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ PRES PERF,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PERF PROG,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD may,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PAST,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PERF PROG,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PERF,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PART,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PART,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ TO INF,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ TO INF,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD should ~ MOD would,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
??VB ~ PAST,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
