eng_TAMsimp,wqtl,yqtl,Ø,qtl,impv,ptcp,wayq,infc,infa
MOD may ~ TO INF,0.48,0.43,0.0,0.04,0.0,0.04,0.0,0.0,0.0
MOD may ~ PRES,0.38,0.48,0.05,0.0,0.0,0.0,0.1,0.0,0.0
MOD let,0.24,0.43,0.14,0.05,0.05,0.05,0.0,0.0,0.05
FUT ~ IMPV,0.68,0.11,0.05,0.0,0.05,0.11,0.0,0.0,0.0
PRES ~ TO INF,0.42,0.42,0.16,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD shall,0.39,0.33,0.22,0.0,0.06,0.0,0.0,0.0,0.0
PAST ~ PRES PART,0.53,0.0,0.0,0.29,0.0,0.0,0.06,0.06,0.06
FUT ~ TO INF,0.44,0.25,0.06,0.06,0.06,0.12,0.0,0.0,0.0
MOD shall ~ PRES PART,0.69,0.25,0.06,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES,0.53,0.27,0.0,0.13,0.07,0.0,0.0,0.0,0.0
IMPV ~ MOD let,0.5,0.21,0.0,0.0,0.29,0.0,0.0,0.0,0.0
PRES PART,0.5,0.14,0.07,0.21,0.0,0.0,0.07,0.0,0.0
IMPV ~ TO INF,0.54,0.08,0.08,0.0,0.31,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,0.0,0.08,0.08,0.62,0.0,0.0,0.15,0.08,0.0
FUT ~ MOD let,0.5,0.17,0.08,0.0,0.08,0.17,0.0,0.0,0.0
FUT ~ PRES PART,0.58,0.25,0.0,0.08,0.0,0.08,0.0,0.0,0.0
MOD can ~ MOD may,0.55,0.36,0.09,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD would,0.45,0.45,0.0,0.09,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD shall,0.5,0.2,0.2,0.0,0.1,0.0,0.0,0.0,0.0
MOD shall ~ PAST,0.78,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD shall,0.33,0.44,0.11,0.0,0.11,0.0,0.0,0.0,0.0
MOD is to ~ PRES,0.62,0.25,0.0,0.0,0.0,0.12,0.0,0.0,0.0
MOD is to ~ MOD let,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
MOD let ~ MOD may,0.5,0.25,0.0,0.12,0.0,0.12,0.0,0.0,0.0
FUT ~ PAST,0.25,0.62,0.0,0.0,0.0,0.0,0.0,0.12,0.0
MOD is to ~ PAST,0.71,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD may,0.43,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ TO INF,0.29,0.14,0.14,0.29,0.0,0.0,0.14,0.0,0.0
MOD lest ~ TO INF,0.57,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PROG,0.14,0.14,0.57,0.0,0.0,0.0,0.14,0.0,0.0
MOD shall ~ PRES PERF,0.5,0.0,0.0,0.33,0.0,0.17,0.0,0.0,0.0
FUT ~ PRES PERF,0.17,0.0,0.0,0.5,0.17,0.17,0.0,0.0,0.0
IMPV ~ MOD lest,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD would,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD must,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0
MOD can,0.0,0.2,0.0,0.4,0.0,0.4,0.0,0.0,0.0
MOD would ~ PRES,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0
IMPV ~ PAST,0.4,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0
MOD should ~ PRES,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0
HAB used to ~ PAST,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0
IMPV ~ MOD may,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD must,0.25,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0
PAST PERF,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0
MOD shall ~ MOD should,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD can,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ TO INF,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT PERF,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
MOD should,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD may,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF,0.0,0.0,0.0,0.33,0.0,0.0,0.67,0.0,0.0
MOD can ~ PRES,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.0
IMPV ~ MOD would,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ PRES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ TO INF,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ MOD would,0.67,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0
HAB used to,0.0,0.33,0.0,0.0,0.0,0.33,0.33,0.0,0.0
MOD was to,0.33,0.33,0.0,0.0,0.0,0.33,0.0,0.0,0.0
FUT ~ FUT going-to,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IMPV ~ MOD is to,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
MOD that be ~ TO INF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PAST,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD must,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES PART,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PART,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD shall,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES PART,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD let,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD might,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD should,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD must,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ PRES PART,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD must,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES PART,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD may,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MOD let ~ PRES PART,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD would,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD should,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD would,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ TO INF,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PROG,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD is to,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD VB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD ~ MOD would,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ TO INF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
FUT ~ FUT PROG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ MOD would,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ TO INF,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD should,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD that be,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PART,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MOD could,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD might,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest must ~ MOD shall,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ VB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD would,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ PRES,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PAST PROG,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PRES PART,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ TO INF,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD VB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD lest,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PART,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD can,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
