eng_TAMsimp,p3,p2,p1
IMPV ~ MOD is to,0.25,0.75,0.0
MOD VB ~ PRES,1.0,0.0,0.0
PRES PERF ~ TO INF,0.25,0.0,0.75
FUT ~ MOD is to,0.75,0.25,0.0
IMPV ~ MOD lest,0.75,0.25,0.0
?VB ~ PAST,0.75,0.0,0.25
MOD let ~ PRES PERF,0.5,0.0,0.5
MOD should ~ PAST,0.75,0.25,0.0
MOD would ~ PRES PART,0.33,0.33,0.33
FUT PROG ~ PRES,0.33,0.67,0.0
FUT ~ MOD that be,1.0,0.0,0.0
PRES PART ~ PRES PERF,0.33,0.33,0.33
MOD may ~ PRES PERF,0.67,0.0,0.33
MOD may ~ PAST,1.0,0.0,0.0
MOD shall ~ PRES PERF,0.0,1.0,0.0
MOD may ~ MOD might,0.67,0.33,0.0
PAST PROG,1.0,0.0,0.0
MOD lest ~ MOD would,0.67,0.0,0.33
MOD can ~ MOD might,0.0,1.0,0.0
MOD need not ~ MOD shall,0.33,0.67,0.0
MOD could ~ MOD should,0.67,0.33,0.0
MOD is to ~ PRES PART,0.33,0.67,0.0
MOD could ~ MOD must,0.0,0.0,1.0
MOD should ~ PRES PERF,0.0,1.0,0.0
MOD let ~ MOD that be,1.0,0.0,0.0
MOD need not ~ PRES,1.0,0.0,0.0
PAST PROG ~ PRES,0.5,0.5,0.0
PRES ~ PRES do,0.5,0.0,0.5
MOD must ~ MOD should,0.5,0.0,0.5
MOD that be,1.0,0.0,0.0
MOD must ~ MOD quest must,0.5,0.0,0.5
MOD is to ~ PRES,1.0,0.0,0.0
PRES PROG,1.0,0.0,0.0
MOD lest ~ MOD let,1.0,0.0,0.0
MOD lest ~ MOD should,1.0,0.0,0.0
MOD is to ~ TO INF,0.5,0.0,0.5
MOD can ~ MOD must,0.0,0.5,0.5
MOD could ~ TO INF,0.5,0.0,0.5
MOD lest ~ MOD shall,0.0,0.0,1.0
FUT ~ MOD was to,0.0,0.0,1.0
MOD quest must,1.0,0.0,0.0
PRES PERF ~ PRES PROG,1.0,0.0,0.0
MOD quest must ~ MOD shall,1.0,0.0,0.0
MOD might ~ PRES PERF,0.0,1.0,0.0
PRES PART ~ PRES PROG,1.0,0.0,0.0
MOD must ~ TO INF,1.0,0.0,0.0
MOD must ~ PRES PART,0.0,1.0,0.0
FUT going-to ~ MOD lest,1.0,0.0,0.0
PRES ~ PRES shall,0.0,1.0,0.0
FUT PERF,1.0,0.0,0.0
FUT PERF ~ PRES,1.0,0.0,0.0
FUT PROG ~ MOD shall,1.0,0.0,0.0
MOD is to ~ MOD lest,1.0,0.0,0.0
FUT going-to ~ MOD is to,1.0,0.0,0.0
FUT going-to ~ MOD may,0.0,0.0,1.0
PRES ~ PRES can,1.0,0.0,0.0
MOD must ~ PRES shall,0.0,1.0,0.0
FUT ~ FUT PERF,0.0,0.0,1.0
FUT ~ FUT PROG,1.0,0.0,0.0
MOD must ~ PRES PROG,0.0,1.0,0.0
MOD could ~ PAST PERF,1.0,0.0,0.0
FUT ~ MOD,1.0,0.0,0.0
MOD could ~ PRES PERF,1.0,0.0,0.0
HAB used to ~ PRES,1.0,0.0,0.0
FUT ~ PRES shall,1.0,0.0,0.0
MOD may ~ MOD would,1.0,0.0,0.0
MOD would ~ PAST PROG,1.0,0.0,0.0
MOD lest ~ MOD must,1.0,0.0,0.0
MOD would ~ PAST PERF,1.0,0.0,0.0
MOD lest ~ MOD that be,1.0,0.0,0.0
MOD can ~ MOD lest,1.0,0.0,0.0
MOD ~ MOD let,0.0,0.0,1.0
MOD VB ~ TO INF,1.0,0.0,0.0
MOD that be ~ TO INF,0.0,1.0,0.0
MOD VB ~ MOD shall,1.0,0.0,0.0
MOD VB ~ MOD can,0.0,0.0,1.0
JJ ~ PRES,1.0,0.0,0.0
MOD let ~ MOD might,1.0,0.0,0.0
IMPV ~ PRES PERF,1.0,0.0,0.0
MOD ~ PRES,1.0,0.0,0.0
MOD should ~ PRES PART,0.0,0.0,1.0
MOD let ~ MOD that,1.0,0.0,0.0
IMPV ~ MOD need not,0.0,1.0,0.0
MOD could ~ MOD shall,0.0,0.0,1.0
MOD is to ~ MOD should,0.0,0.0,1.0
MOD let ~ VB,0.0,0.0,1.0
MOD is to ~ PRES PROG,0.0,1.0,0.0
IMPV ~ MOD,1.0,0.0,0.0
IMPV not ~ MOD must,1.0,0.0,0.0
PAST PROG ~ PRES PART,0.0,1.0,0.0
HAB used to ~ PRES PERF,1.0,0.0,0.0
HAB used to ~ MOD would,0.0,0.0,1.0
MOD may ~ MOD should,1.0,0.0,0.0
MOD was to ~ PRES,0.0,1.0,0.0
