,prose,prophetic,poetry,list,instruction
MOD should ~ MOD would,inf,0.0,0.0,0.0,0.0
FUT ~ MOD would,0.0,0.0,inf,0.0,0.0
MOD should ~ PRES,0.0,0.0,inf,0.0,0.0
MOD should ~ TO INF,inf,0.0,0.0,0.0,0.0
MOD would ~ PRES,0.0,0.0,inf,0.0,0.0
?TO INF ~ PRES,0.0,0.0,inf,0.0,0.0
?TO INF,0.0,0.0,inf,0.0,0.0
?PRES ~ TO INF,0.0,inf,0.0,0.0,0.0
PAST PERF ~ TO INF,inf,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PART,inf,0.0,0.0,0.0,0.0
?PRES ~ FUT,0.0,0.0,inf,0.0,0.0
?PRES ~ ?VB,0.0,inf,0.0,0.0,0.0
?PRES PERF ~ PAST,0.0,0.0,inf,0.0,0.0
MOD let ~ PRES,inf,0.0,0.0,0.0,0.0
?PAST ~ PRES PERF,inf,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PERF PROG,inf,0.0,0.0,0.0,0.0
PAST ~ PAST PERF PROG,inf,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PERF,inf,0.0,0.0,0.0,0.0
