,Q,D,N,?
MOD was to,-3.0,0.99,2.45,0.0
FUT ~ FUT going-to,-0.0,0.0,0.0,0.0
IMPV ~ MOD is to,-0.0,0.0,0.0,0.0
MOD that be ~ TO INF,-0.0,0.0,0.0,0.0
MOD was to ~ PAST,-2.0,0.0,2.92,0.0
PRES ~ PRES PROG,-0.0,0.0,0.0,0.0
FUT ~ MOD must,-0.0,0.0,0.0,0.0
IMPV ~ PRES PART,-0.0,0.0,0.0,0.0
MOD would ~ PRES PART,-2.0,2.9,0.0,0.0
FUT going-to ~ MOD shall,-0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,-0.0,0.0,0.0,0.0
MOD may ~ PRES PART,-0.0,0.0,0.0,0.0
MOD can ~ MOD let,-0.0,0.0,0.0,0.0
MOD lest ~ MOD might,-0.0,0.0,0.0,0.0
MOD may ~ MOD should,-0.0,0.0,0.0,0.0
MOD let ~ PRES,-0.0,0.0,0.0,0.0
MOD must ~ PRES,-0.72,0.0,0.0,1.23
MOD let ~ MOD must,-0.0,0.0,0.0,0.0
MOD lest ~ PRES PART,-0.0,0.0,0.0,0.0
MOD lest ~ MOD must,-0.0,0.0,0.0,0.0
MOD must ~ PRES PART,-0.0,0.0,0.0,0.0
MOD is to ~ MOD may,-0.0,0.0,0.0,0.0
MOD let ~ PRES PART,-0.0,0.0,0.0,0.0
MOD should ~ MOD would,-0.0,0.0,0.0,0.0
MOD let ~ MOD should,-0.0,0.0,0.0,0.0
MOD let ~ MOD would,-0.0,0.0,0.0,0.0
MOD can ~ TO INF,-0.0,0.0,0.0,0.0
MOD would ~ PRES PROG,-0.0,0.0,0.0,0.0
FUT ~ MOD is to,-0.0,0.0,0.0,0.0
FUT ~ MOD VB,-0.0,0.0,0.0,0.0
MOD ~ MOD would,-1.0,1.45,0.0,0.0
MOD would ~ TO INF,-0.0,0.0,0.0,0.0
MOD must,-1.0,1.45,0.0,0.0
FUT ~ FUT PROG,-0.0,0.0,0.0,0.0
MOD might ~ MOD would,-0.0,0.0,0.0,0.0
PAST PROG ~ TO INF,-1.0,1.45,0.0,0.0
FUT PROG,-0.0,0.0,0.0,0.0
FUT ~ MOD should,-0.0,0.0,0.0,0.0
FUT ~ MOD that be,-0.0,0.0,0.0,0.0
PAST PERF ~ PRES PART,-1.0,0.0,1.46,0.0
MOD could,-0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,-0.0,0.0,0.0,0.0
MOD let ~ MOD might,-0.0,0.0,0.0,0.0
MOD might,-0.0,0.0,0.0,0.0
MOD quest must ~ MOD shall,-0.0,0.0,0.0,0.0
PRES ~ VB,-0.0,0.0,0.0,0.0
MOD could ~ MOD would,-0.0,0.0,0.0,0.0
MOD lest ~ PRES,-0.0,0.0,0.0,0.0
HAB used to ~ PAST PROG,-1.0,1.45,0.0,0.0
HAB used to ~ PRES PART,-1.0,0.0,1.46,0.0
MOD could ~ TO INF,-0.0,0.0,0.0,0.0
IMPV ~ MOD VB,-0.0,0.0,0.0,0.0
MOD is to ~ MOD lest,-0.0,0.0,0.0,0.0
MOD is to ~ PRES PART,-0.0,0.0,0.0,0.0
MOD VB ~ MOD can,-0.0,0.0,0.0,0.0
