bhsa_node,ref,sentence,text_full,lxx,lxx_tm,esv,esv_TAM,esv_verse,niv,niv_TAM,niv_verse
10250,Genesis 22:2,קַח־נָ֠א אֶת־בִּנְךָ֙ אֶת־יְחִֽידְךָ֤ אֲשֶׁר־אָהַ֨בְתָּ֙ אֶת־יִצְחָ֔ק ,אָהַ֨בְתָּ֙,ἠγάπησας,aorist indc,you love,PRES..IND,"He said , “ Take your son , your only son Isaac , whom you love , and go to the land of Moriah , and offer him there as a burnt offering on one of the mountains of which I shall tell you . ”",you love,PRES..IND,"Then God said , “ Take your son , your only son , Isaac , whom you love , and go to the region of Moriah . Sacrifice him there as a burnt offering on one of the mountains I will tell you about . ”"
10500,Genesis 22:12,כִּ֣י׀ עַתָּ֣ה יָדַ֗עְתִּי כִּֽי־יְרֵ֤א אֱלֹהִים֙ אַ֔תָּה ,יָדַ֗עְתִּי,ἔγνων,aorist indc,I know,PRES..IND,"He said , “ Do not lay your hand on the boy or do anything to him , for now I know that you fear God , seeing you have not withheld your son , your only son , from me . ”",I know,PRES..IND,"“ Do not lay a hand on the boy , ” he said . “ Do not do anything to him . Now I know that you fear God , because you have not withheld from me your son , your only son . ”"
10575,Genesis 22:16,בִּ֥י נִשְׁבַּ֖עְתִּי כִּ֗י יַ֚עַן אֲשֶׁ֤ר עָשִׂ֨יתָ֙ אֶת־הַדָּבָ֣ר הַזֶּ֔ה וְלֹ֥א חָשַׂ֖כְתָּ אֶת־בִּנְךָ֥ אֶת־יְחִידֶֽךָ׃ כִּֽי־בָרֵ֣ךְ אֲבָרֶכְךָ֗ ,נִשְׁבַּ֖עְתִּי,ὤμοσα,aorist indc,I have sworn,PRES.PERF.IND,"and said , “ By myself I have sworn , declares the Lord , because you have done this and have not withheld your son , your only son ,",I swear,PRES..IND,"and said , “ I swear by myself , declares the LORD , that because you have done this and have not withheld your son , your only son ,"
12113,Genesis 24:50,מֵיְהוָ֖ה יָצָ֣א הַדָּבָ֑ר ,יָצָ֣א,ἐξῆλθεν,aorist indc,has come,PRES.PERF.IND,"Then Laban and Bethuel answered and said , “ The thing has come from the Lord ; we cannot speak to you bad or good .",is,PRES..IND,"Laban and Bethuel answered , “ This is from the LORD ; we can say nothing to you one way or the other ."
13287,Genesis 26:16,כִּֽי־עָצַֽמְתָּ־מִמֶּ֖נּוּ מְאֹֽד׃ ,עָצַֽמְתָּ,ἐγένου,aorist indc,you are mightier,PRES..IND,"And Abimelech said to Isaac , “ Go away from us , for you are much mightier than we . ”",you have become powerful,PRES.PERF.IND,"Then Abimelech said to Isaac , “ Move away from us ; you have become too powerful for us . ”"
13486,Genesis 26:27,וְאַתֶּם֙ שְׂנֵאתֶ֣ם אֹתִ֔י ,שְׂנֵאתֶ֣ם,ἐμισήσατέ,aorist indc,hate,PRES..IND,"Isaac said to them , “ Why have you come to me , seeing that you hate me and have sent me away from you ? ”",were hostile to,PAST..IND,"Isaac asked them , “ Why have you come to me , since you were hostile to me and sent me away ? ”"
13732,Genesis 27:6,הִנֵּ֤ה שָׁמַ֨עְתִּי֙ אֶת־אָבִ֔יךָ מְדַבֵּ֛ר אֶל־עֵשָׂ֥ו אָחִ֖יךָ לֵאמֹֽר׃ ,שָׁמַ֨עְתִּי֙,ἤκουσα,aorist indc,I heard,PAST..IND,"Rebekah said to her son Jacob , “ I heard your father speak to your brother Esau ,",I overheard,PRES..IND,"Rebekah said to her son Jacob , “ Look , I overheard your father say to your brother Esau ,"
17076,Genesis 31:36,כִּ֥י דָלַ֖קְתָּ אַחֲרָֽי׃ ,דָלַ֖קְתָּ,κατεδίωξας,aorist indc,you have hotly pursued,PRES.PERF.IND,"Then Jacob became angry and berated Laban . Jacob said to Laban , “ What is my offense ? What is my sin , that you have hotly pursued me ?",you hunt down,PRES..IND,Jacob was angry and took Laban to task . “ What is my crime ? ” he asked Laban . “ What sin have I committed that you hunt me down ?
18271,Genesis 33:11,קַח־נָ֤א אֶת־בִּרְכָתִי֙ אֲשֶׁ֣ר הֻבָ֣את לָ֔ךְ ,הֻבָ֣את,ἤνεγκά,aorist indc,is brought,PRES..IND,"Please accept my blessing that is brought to you , because God has dealt graciously with me , and because I have enough . ” Thus he urged him , and he took it .",was brought,PAST..IND,"Please accept the present that was brought to you , for God has been gracious to me and I have all I need . ” And because Jacob insisted , Esau accepted it ."
18396,Genesis 33:17,עַל־כֵּ֛ן קָרָ֥א שֵׁם־הַמָּקֹ֖ום סֻכֹּֽות׃ ס ,קָרָ֥א,ἐκάλεσεν,aorist indc,called,,"But Jacob journeyed to Succoth , and built himself a house and made booths for his livestock . Therefore the name of the place is called Succoth .",is called,PRES..IND,"Jacob , however , went to Succoth , where he built a place for himself and made shelters for his livestock . That is why the place is called Succoth ."
18590,Genesis 34:8,שְׁכֶ֣ם בְּנִ֗י חָֽשְׁקָ֤ה נַפְשֹׁו֙ בְּבִתְּכֶ֔ם ,חָֽשְׁקָ֤ה,προείλατο,aorist indc,longs,PRES..IND,"But Hamor spoke with them , saying , “ The soul of my son Shechem longs for your daughter . Please give her to him to be his wife .",has set,PRES..IND,"But Hamor said to them , “ My son Shechem has his heart set on your daughter . Please give her to him as his wife ."
20789,Genesis 37:33,טָרֹ֥ף טֹרַ֖ף יֹוסֵֽף׃ ,טֹרַ֖ף,ἥρπασεν,aorist indc,is without doubt torn to pieces,PRES..IND,"And he identified it and said , “ It is my son’s robe . A fierce animal has devoured him . Joseph is without doubt torn to pieces . ”",has surely been torn to pieces,PRES.PERF.IND,"He recognized it and said , “ It is my son’s robe ! Some ferocious animal has devoured him . Joseph has surely been torn to pieces . ”"
24084,Genesis 42:36,עָלַ֖י הָי֥וּ כֻלָּֽנָה׃ ,הָי֥וּ,ἐγένετο,aorist indc,has come,PRES.PERF.IND,"And Jacob their father said to them , “ You have bereaved me of my children : Joseph is no more , and Simeon is no more , and now you would take Benjamin . All this has come against me . ”",is,PRES..IND,"Their father Jacob said to them , “ You have deprived me of my children . Joseph is no more and Simeon is no more , and now you want to take Benjamin . Everything is against me ! ”"
25207,Genesis 44:20,וְאָחִ֨יו מֵ֜ת ,מֵ֜ת,ἀπέθανεν,aorist indc,is dead,PRES..IND,"And we said to my lord , ‘ We have a father , an old man , and a young brother , the child of his old age . His brother is dead , and he alone is left of his mother’s children , and his father loves him . ’",is dead,PRES..IND,"And we answered , ‘ We have an aged father , and there is a young son born to him in his old age . His brother is dead , and he is the only one of his mother’s sons left , and his father loves him . ’"
25217,Genesis 44:20,וְאָבִ֥יו אֲהֵבֹֽו׃ ,אֲהֵבֹֽו,ἠγάπησεν,aorist indc,loves,PRES..IND,"And we said to my lord , ‘ We have a father , an old man , and a young brother , the child of his old age . His brother is dead , and he alone is left of his mother’s children , and his father loves him . ’",loves,PRES..IND,"And we answered , ‘ We have an aged father , and there is a young son born to him in his old age . His brother is dead , and he is the only one of his mother’s sons left , and his father loves him . ’"
27857,Genesis 49:6,וּבִרְצֹנָ֖ם עִקְּרוּ־שֹֽׁור׃ ,עִקְּרוּ,ἐνευροκόπησαν,aorist indc,they hamstrung,PRES..IND,"Let my soul come not into their council ; O my glory , be not joined to their company . For in their anger they killed men , and in their willfulness they hamstrung oxen .",hamstrung,,"Let me not enter their council , let me not join their assembly , for they have killed men in their anger and hamstrung oxen as they pleased ."
27866,Genesis 49:7,אָר֤וּר אַפָּם֙ כִּ֣י עָ֔ז וְעֶבְרָתָ֖ם כִּ֣י קָשָׁ֑תָה ,קָשָׁ֑תָה,ἐσκληρύνθη,aorist indc,it is cruel,PRES..IND,"Cursed be their anger , for it is fierce , and their wrath , for it is cruel ! I will divide them in Jacob and scatter them in Israel .",cruel,,"Cursed be their anger , so fierce , and their fury , so cruel ! I will scatter them in Jacob and disperse them in Israel ."
27892,Genesis 49:9,מִטֶּ֖רֶף בְּנִ֣י עָלִ֑יתָ ,עָלִ֑יתָ,ἀνέβης,aorist indc,you have gone up,PRES.PERF.IND,"Judah is a lion’s cub ; from the prey , my son , you have gone up . He stooped down ; he crouched as a lion and as a lioness ; who dares rouse him ?",you return,PRES..IND,"You are a lion’s cub , O Judah ; you return from the prey , my son . Like a lion he crouches and lies down , like a lioness — who dares to rouse him ?"
27894,Genesis 49:9,רָבַ֧ץ כְּאַרְיֵ֛ה וּכְלָבִ֖יא ,רָבַ֧ץ,ἐκοιμήθης,aorist indc,he crouched,PAST..IND,"Judah is a lion’s cub ; from the prey , my son , you have gone up . He stooped down ; he crouched as a lion and as a lioness ; who dares rouse him ?",lies down,PRES..IND,"You are a lion’s cub , O Judah ; you return from the prey , my son . Like a lion he crouches and lies down , like a lioness — who dares to rouse him ?"
28103,Genesis 49:26,בִּרְכֹ֣ת אָבִ֗יךָ גָּֽבְרוּ֙ עַל־בִּרְכֹ֣ת הֹורַ֔י עַֽד־תַּאֲוַ֖ת גִּבְעֹ֣ת עֹולָ֑ם ,גָּֽבְרוּ֙,ὑπερίσχυσεν,aorist indc,are mighty,PRES..IND,"The blessings of your father are mighty beyond the blessings of my parents , up to the bounties of the everlasting hills . May they be on the head of Joseph , and on the brow of him who was set apart from his brothers .",are greater,PRES..IND,"Your father’s blessings are greater than the blessings of the ancient mountains , than the bounty of the age-old hills . Let all these rest on the head of Joseph , on the brow of the prince among his brothers ."
28470,Genesis 50:11,עַל־כֵּ֞ן קָרָ֤א שְׁמָהּ֙ אָבֵ֣ל מִצְרַ֔יִם אֲשֶׁ֖ר בְּעֵ֥בֶר הַיַּרְדֵּֽן׃ ,קָרָ֤א,ἐκάλεσεν,aorist indc,was named,PAST..IND,"When the inhabitants of the land , the Canaanites , saw the mourning on the threshing floor of Atad , they said , “ This is a grievous mourning by the Egyptians . ” Therefore the place was named Abel-mizraim ; it is beyond the Jordan .",is called,PRES..IND,"When the Canaanites who lived there saw the mourning at the threshing floor of Atad , they said , “ The Egyptians are holding a solemn ceremony of mourning . ” That is why that place near the Jordan is called Abel Mizraim ."
36977,Exodus 15:4,וּמִבְחַ֥ר שָֽׁלִשָׁ֖יו טֻבְּע֥וּ בְיַם־סֽוּף׃ ,טֻבְּע֥וּ,κατεπόντισεν,aorist indc,were sunk,PAST..IND,"“ Pharaoh’s chariots and his host he cast into the sea , and his chosen officers were sunk in the Red Sea .",are drowned,PRES..IND,Pharaoh’s chariots and his army he has hurled into the sea . The best of Pharaoh’s officers are drowned in the Red Sea .
37253,Exodus 15:23,עַל־כֵּ֥ן קָרָֽא־שְׁמָ֖הּ מָרָֽה׃ ,קָרָֽא,ἐπωνομάσθη,aorist indc,was named,PAST..IND,"When they came to Marah , they could not drink the water of Marah because it was bitter ; therefore it was named Marah .",is called,PRES..IND,"When they came to Marah , they could not drink its water because it was bitter . ( That is why the place is called Marah . )"
38676,Exodus 18:11,עַתָּ֣ה יָדַ֔עְתִּי כִּֽי־גָדֹ֥ול יְהוָ֖ה מִכָּל־הָאֱלֹהִ֑ים כִּ֣י בַדָּבָ֔ר אֲשֶׁ֥ר זָד֖וּ עֲלֵיהֶֽם׃ ,יָדַ֔עְתִּי,ἔγνων,aorist indc,I know,PRES..IND,"Now I know that the Lord is greater than all gods , because in this affair they dealt arrogantly with the people . ”",I know,PRES..IND,"Now I know that the LORD is greater than all other gods , for he did this to those who had treated Israel arrogantly . ”"
40201,Exodus 21:13,וְהָאֱלֹהִ֖ים אִנָּ֣ה לְיָדֹ֑ו ,אִנָּ֣ה,παρέδωκεν,aorist indc,let him fall,PAST..IND,"But if he did not lie in wait for him , but God let him fall into his hand , then I will appoint for you a place to which he may flee .",lets it happen,PRES..IND,"However , if he does not do it intentionally , but God lets it happen , he is to flee to a place I will designate ."
49162,Exodus 36:1,וְעָשָׂה֩ בְצַלְאֵ֨ל וְאָהֳלִיאָ֜ב וְכֹ֣ל׀ אִ֣ישׁ חֲכַם־לֵ֗ב אֲשֶׁר֩ נָתַ֨ן יְהוָ֜ה חָכְמָ֤ה וּתְבוּנָה֙ בָּהֵ֔מָּה לָדַ֣עַת לַעֲשֹׂ֔ת אֶֽת־כָּל־מְלֶ֖אכֶת עֲבֹדַ֣ת הַקֹּ֑דֶשׁ לְכֹ֥ל אֲשֶׁר־צִוָּ֖ה יְהוָֽה׃ ,עָשָׂה֩,ἐποίησεν,aorist indc,,,,are to do,PRES..IND,"So Bezalel , Oholiab and every skilled person to whom the LORD has given skill and ability to know how to carry out all the work of constructing the sanctuary are to do the work just as the LORD has commanded . ”"
54356,Leviticus 5:3,וְנֶעְלַ֣ם מִמֶּ֔נּוּ ,נֶעְלַ֣ם,ἔλαθεν,aorist indc,it is hidden,PRES..IND,"or if he touches human uncleanness , of whatever sort the uncleanness may be with which one becomes unclean , and it is hidden from him , when he comes to know it , and realizes his guilt ;",he is unaware,PRES..IND,"“ ‘ Or if he touches human uncleanness — anything that would make him unclean — even though he is unaware of it , when he learns of it he will be guilty ."
54703,Leviticus 5:17,וְאִם־נֶ֨פֶשׁ֙ כִּ֣י תֶֽחֱטָ֔א וְעָֽשְׂתָ֗ה אַחַת֙ מִכָּל־מִצְוֹ֣ת יְהוָ֔ה אֲשֶׁ֖ר לֹ֣א תֵעָשֶׂ֑ינָה וְלֹֽא־יָדַ֥ע ,יָדַ֥ע,ἔγνω,aorist indc,he did know,PAST.PERF.IND,"“ If anyone sins , doing any of the things that by the Lord’s commandments ought not to be done , though he did not know it , then realizes his guilt , he shall bear his iniquity .",he does know,PRES..IND,"“ If a person sins and does what is forbidden in any of the LORD’s commands , even though he does not know it , he is guilty and will be held responsible ."
54774,Leviticus 5:21,אֹ֖ו עָשַׁ֥ק אֶת־עֲמִיתֹֽו׃ ,עָשַׁ֥ק,ἠδίκησέν,aorist indc,he has oppressed,PRES.PERF.IND,"“ If anyone sins and commits a breach of faith against the Lord by deceiving his neighbor in a matter of deposit or security , or through robbery , or if he has oppressed his neighbor",he cheats,PRES..IND,"“ If anyone sins and is unfaithful to the LORD by deceiving his neighbor about something entrusted to him or left in his care or stolen , or if he cheats him ,"
54778,Leviticus 5:22,אֹֽו־מָצָ֧א אֲבֵדָ֛ה ,מָצָ֧א,εὗρεν,aorist indc,has found,PRES.PERF.IND,"or has found something lost and lied about it , swearing falsely — in any of all the things that people do and sin thereby —",he finds,PRES..IND,"or if he finds lost property and lies about it , or if he swears falsely , or if he commits any such sin that people may do —"
57695,Leviticus 10:14,נִתְּנ֔וּ מִזִּבְחֵ֥י שַׁלְמֵ֖י בְּנֵ֥י יִשְׂרָאֵֽל׃ ,נִתְּנ֔וּ,ἐδόθη,aorist indc,they are given,PRES..IND,"But the breast that is waved and the thigh that is contributed you shall eat in a clean place , you and your sons and your daughters with you , for they are given as your due and your sons’ due from the sacrifices of the peace offerings of the people of Israel .",they have been given,PRES.PERF.IND,But you and your sons and your daughters may eat the breast that was waved and the thigh that was presented . Eat them in a ceremonially clean place ; they have been given to you and your children as your share of the Israelites’ fellowship offerings .
61326,Leviticus 14:48,כִּ֥י נִרְפָּ֖א הַנָּֽגַע׃ ,נִרְפָּ֖א,ἰάθη,aorist indc,is healed,PRES..IND,"“ But if the priest comes and looks , and if the disease has not spread in the house after the house was plastered , then the priest shall pronounce the house clean , for the disease is healed .",is gone,PRES..IND,"“ But if the priest comes to examine it and the mildew has not spread after the house has been plastered , he shall pronounce the house clean , because the mildew is gone ."
62356,Leviticus 16:9,וְהִקְרִ֤יב אַהֲרֹן֙ אֶת־הַשָּׂעִ֔יר אֲשֶׁ֨ר עָלָ֥ה עָלָ֛יו הַגֹּורָ֖ל לַיהוָ֑ה ,עָלָ֥ה,ἐπῆλθεν,aorist indc,fell,PAST..IND,"And Aaron shall present the goat on which the lot fell for the Lord and use it as a sin offering ,",falls,PRES..IND,Aaron shall bring the goat whose lot falls to the LORD and sacrifice it for a sin offering .
68910,Leviticus 26:44,וְלֹֽא־גְעַלְתִּים֙ לְכַלֹּתָ֔ם לְהָפֵ֥ר בְּרִיתִ֖י אִתָּ֑ם ,גְעַלְתִּים֙,προσώχθισα,aorist indc,will I abhor,FUT..IND,"Yet for all that , when they are in the land of their enemies , I will not spurn them , neither will I abhor them so as to destroy them utterly and break my covenant with them , for I am the Lord their God .",abhor,PRES..IND,"Yet in spite of this , when they are in the land of their enemies , I will not reject them or abhor them so as to destroy them completely , breaking my covenant with them . I am the LORD their God ."
76870,Numbers 11:5,זָכַ֨רְנוּ֙ אֶת־הַדָּגָ֔ה אֲשֶׁר־נֹאכַ֥ל בְּמִצְרַ֖יִם חִנָּ֑ם אֵ֣ת הַקִּשֻּׁאִ֗ים וְאֵת֙ הָֽאֲבַטִּחִ֔ים וְאֶת־הֶחָצִ֥יר וְאֶת־הַבְּצָלִ֖ים וְאֶת־הַשּׁוּמִֽים׃ ,זָכַ֨רְנוּ֙,ἐμνήσθημεν,aorist indc,We remember,PRES..IND,"We remember the fish we ate in Egypt that cost nothing , the cucumbers , the melons , the leeks , the onions , and the garlic .",We remember,PRES..IND,"We remember the fish we ate in Egypt at no cost — also the cucumbers , melons , leeks , onions and garlic ."
77265,Numbers 11:21,וְאַתָּ֣ה אָמַ֗רְתָּ ,אָמַ֗רְתָּ,εἶπας,aorist indc,have said,PAST..IND,"But Moses said , “ The people among whom I am number six hundred thousand on foot , and you have said , ‘ I will give them meat , that they may eat a whole month ! ’",say,PRES..IND,"But Moses said , “ Here I am among six hundred thousand men on foot , and you say , ‘ I will give them meat to eat for a whole month ! ’"
78890,Numbers 14:24,עֵ֣קֶב הָֽיְתָ֞ה ר֤וּחַ אַחֶ֨רֶת֙ עִמֹּ֔ו וַיְמַלֵּ֖א אַחֲרָ֑י ,הָֽיְתָ֞ה,ἐγενήθη,aorist indc,has,PRES..IND,"But my servant Caleb , because he has a different spirit and has followed me fully , I will bring into the land into which he went , and his descendants shall possess it .",has,PRES..IND,"But because my servant Caleb has a different spirit and follows me wholeheartedly , I will bring him into the land he went to , and his descendants will inherit it ."
79670,Numbers 15:23,וְלֹ֣א תַעֲשׂ֔וּ אֵ֥ת כָּל־הַמִּצְוֹ֖ת הָאֵ֑לֶּה אֲשֶׁר־דִּבֶּ֥ר יְהוָ֖ה אֶל־מֹשֶֽׁה׃ אֵת֩ כָּל־אֲשֶׁ֨ר צִוָּ֧ה יְהוָ֛ה אֲלֵיכֶ֖ם בְּיַד־מֹשֶׁ֑ה מִן־הַיֹּ֞ום אֲשֶׁ֨ר צִוָּ֧ה יְהוָ֛ה וָהָ֖לְאָה לְדֹרֹתֵיכֶֽם׃ ,צִוָּ֧ה,συνέταξεν,aorist indc,has commanded,PRES.PERF.IND,"all that the Lord has commanded you by Moses , from the day that the Lord gave commandment , and onward throughout your generations ,",commands,PRES..IND,"any of the LORD’s commands to you through him , from the day the LORD gave them and continuing through the generations to come —"
82288,Numbers 19:13,כָּֽל־הַנֹּגֵ֡עַ בְּמֵ֣ת בְּנֶפֶשׁ֩ הָאָדָ֨ם אֲשֶׁר־יָמ֜וּת וְלֹ֣א יִתְחַטָּ֗א אֶת־מִשְׁכַּ֤ן יְהוָה֙ טִמֵּ֔א ,טִמֵּ֔א,ἐμίανεν,aorist indc,defiles,PRES..IND,"Whoever touches a dead person , the body of anyone who has died , and does not cleanse himself , defiles the tabernacle of the Lord , and that person shall be cut off from Israel ; because the water for impurity was not thrown on him , he shall be unclean . His uncleanness is still on him .",defiles,PRES..IND,"Whoever touches the dead body of anyone and fails to purify himself defiles the LORD’s tabernacle . That person must be cut off from Israel . Because the water of cleansing has not been sprinkled on him , he is unclean ; his uncleanness remains on him ."
83241,Numbers 21:5,וְנַפְשֵׁ֣נוּ קָ֔צָה בַּלֶּ֖חֶם הַקְּלֹקֵֽל׃ ,קָ֔צָה,προσώχθισεν,aorist indc,loathe,PRES..IND,"And the people spoke against God and against Moses , “ Why have you brought us up out of Egypt to die in the wilderness ? For there is no food and no water , and we loathe this worthless food . ”",detest,PRES..IND,"they spoke against God and against Moses , and said , “ Why have you brought us up out of Egypt to die in the desert ? There is no bread ! There is no water ! And we detest this miserable food ! ”"
83433,Numbers 21:15,וְאֶ֨שֶׁד֙ הַנְּחָלִ֔ים אֲשֶׁ֥ר נָטָ֖ה לְשֶׁ֣בֶת עָ֑ר וְנִשְׁעַ֖ן לִגְב֥וּל מֹואָֽב׃ ,נָטָ֖ה,κατέστησεν,aorist indc,extends,PRES..IND,"and the slope of the valleys that extends to the seat of Ar , and leans to the border of Moab . ”",lead,PRES..IND,and the slopes of the ravines that lead to the site of Ar and lie along the border of Moab . ”
83678,Numbers 21:29,אָבַ֖דְתָּ עַם־כְּמֹ֑ושׁ ,אָבַ֖דְתָּ,ἀπώλου,aorist indc,You are undone,PRES..IND,"Woe to you , O Moab ! You are undone , O people of Chemosh ! He has made his sons fugitives , and his daughters captives , to an Amorite king , Sihon .",You are destroyed,PRES..IND,"Woe to you , O Moab ! You are destroyed , O people of Chemosh ! He has given up his sons as fugitives and his daughters as captives to Sihon king of the Amorites ."
83911,Numbers 22:5,הִנֵּ֤ה כִסָּה֙ אֶת־עֵ֣ין הָאָ֔רֶץ ,כִסָּה֙,κατεκάλυψεν,aorist indc,They cover,PRES..IND,"sent messengers to Balaam the son of Beor at Pethor , which is near the River in the land of the people of Amaw , to call him , saying , “ Behold , a people has come out of Egypt . They cover the face of the earth , and they are dwelling opposite me .",they cover,PRES..IND,"sent messengers to summon Balaam son of Beor , who was at Pethor , near the River , in his native land . Balak said : “ A people has come out of Egypt ; they cover the face of the land and have settled next to me ."
88574,Numbers 30:2,זֶ֣ה הַדָּבָ֔ר אֲשֶׁ֖ר צִוָּ֥ה יְהוָֽה׃ ,צִוָּ֥ה,συνέταξεν,aorist indc,has commanded,PRES.PERF.IND,"Moses spoke to the heads of the tribes of the people of Israel , saying , “ This is what the Lord has commanded .",commands,PRES..IND,Moses said to the heads of the tribes of Israel : “ This is what the LORD commands :
88644,Numbers 30:6,וְאִם־הֵנִ֨יא אָבִ֣יהָ אֹתָהּ֮ בְּיֹ֣ום שָׁמְעֹו֒ ,הֵנִ֨יא,ἀνένευσεν,aorist indc,opposes,PRES..IND,"But if her father opposes her on the day that he hears of it , no vow of hers , no pledge by which she has bound herself shall stand . And the Lord will forgive her , because her father opposed her .",forbids,PRES..IND,"But if her father forbids her when he hears about it , none of her vows or the pledges by which she obligated herself will stand ; the LORD will release her because her father has forbidden her ."
88681,Numbers 30:7,וּנְדָרֶ֖יהָ עָלֶ֑יהָ אֹ֚ו מִבְטָ֣א שְׂפָתֶ֔יהָ אֲשֶׁ֥ר אָסְרָ֖ה עַל־נַפְשָֽׁהּ׃ ,אָסְרָ֖ה,ὡρίσατο,aorist indc,she has bound,PRES.PERF.IND,"“ If she marries a husband , while under her vows or any thoughtless utterance of her lips by which she has bound herself ,",she obligates,PRES..IND,“ If she marries after she makes a vow or after her lips utter a rash promise by which she obligates herself
