,0,1
MOD can ~ MOD should,0.74,1.34
MOD can ~ MOD could,2.24,0.45
MOD lest,0.3,3.36
PAST PERF,1.86,0.54
FUT ~ MOD must,0.99,1.01
MOD should ~ MOD was to,4.47,0.22
MOD might ~ MOD would,1.49,0.67
MOD could ~ PAST,inf,0.0
FUT ~ PRES PERF,0.37,2.69
PAST ~ PAST PROG,1.49,0.67
FUT going-to ~ MOD shall,3.73,0.27
MOD lest ~ MOD might,1.49,0.67
MOD shall ~ MOD would,1.49,0.67
MOD let ~ MOD must,0.75,1.34
PRES PART ~ TO INF,0.75,1.34
MOD is to ~ MOD may,1.49,0.67
MOD could ~ MOD would,0.15,6.72
FUT ~ FUT going-to,0.5,2.01
MOD VB ~ MOD may,2.98,0.34
MOD can ~ PRES PART,2.98,0.34
MOD is to ~ MOD must,2.98,0.34
MOD can ~ TO INF,2.98,0.34
IMPV ~ PRES PART,0.19,5.37
MOD lest ~ TO INF,0.19,5.37
MOD might ~ TO INF,0.5,2.01
MOD may ~ PRES PART,0.5,2.01
MOD would ~ TO INF,2.98,0.34
MOD might ~ PAST,0.5,2.01
MOD might ~ MOD should,2.98,0.34
MOD was to,2.98,0.34
?VB ~ PAST,inf,0.0
IMPV ~ TO INF,0.75,1.34
PRES PERF ~ TO INF,0.75,1.34
MOD could ~ MOD might,inf,0.0
MOD can ~ PAST,0.25,4.03
FUT ~ MOD is to,inf,0.0
MOD VB ~ PRES,inf,0.0
PAST PERF ~ PRES,0.25,4.03
IMPV ~ PAST,0.75,1.34
MOD should ~ PAST,0.25,4.03
HAB used to,2.24,0.45
IMPV ~ MOD lest,0.75,1.34
MOD let ~ MOD may,2.24,0.45
FUT ~ PRES PROG,0.0,inf
MOD shall ~ PRES PERF,0.0,inf
MOD would ~ PRES PART,1.49,0.67
FUT ~ MOD that be,inf,0.0
MOD can ~ MOD let,0.37,2.68
PAST PROG,inf,0.0
MOD can ~ MOD might,inf,0.0
MOD lest ~ MOD would,inf,0.0
MOD could ~ MOD must,0.37,2.68
MOD could ~ MOD should,0.37,2.68
IMPV ~ MOD is to,0.37,2.68
PRES PART ~ PRES PERF,1.49,0.67
MOD may ~ MOD might,0.37,2.68
FUT PROG ~ PRES,inf,0.0
MOD is to ~ PRES PART,inf,0.0
PRES ~ PRES do,0.75,1.34
MOD may ~ PAST,inf,0.0
MOD lest ~ MOD should,0.75,1.34
MOD should ~ PRES PERF,inf,0.0
MOD lest ~ MOD shall,0.75,1.34
IMPV ~ MOD should,inf,0.0
MOD is to ~ TO INF,0.75,1.34
MOD let ~ PAST,0.75,1.34
MOD need not ~ PRES,inf,0.0
MOD need not ~ MOD shall,inf,0.0
MOD let ~ TO INF,0.0,inf
MOD can ~ MOD must,0.75,1.34
PAST PROG ~ PRES,0.75,1.34
MOD could ~ TO INF,inf,0.0
MOD may ~ PRES PERF,0.75,1.34
PRES PROG,inf,0.0
MOD must ~ MOD should,inf,0.0
PRES ~ PRES can,inf,0.0
PRES PART ~ PRES PROG,inf,0.0
MOD was to ~ PRES,0.0,inf
FUT PERF ~ PRES,inf,0.0
HAB used to ~ MOD would,inf,0.0
PRES ~ PRES shall,inf,0.0
HAB used to ~ PRES,inf,0.0
MOD would ~ PAST PERF,inf,0.0
FUT PROG ~ MOD shall,inf,0.0
FUT ~ PRES shall,inf,0.0
FUT ~ FUT PROG,0.0,inf
FUT going-to ~ MOD is to,inf,0.0
FUT going-to ~ MOD lest,0.0,inf
MOD would ~ PAST PROG,0.0,inf
PAST PROG ~ PRES PART,inf,0.0
MOD ~ PRES,inf,0.0
PRES PERF ~ PRES PROG,inf,0.0
FUT PERF,0.0,inf
FUT ~ MOD,inf,0.0
MOD let ~ MOD should,inf,0.0
HAB used to ~ PRES PERF,0.0,inf
MOD is to ~ PRES PROG,inf,0.0
MOD might ~ PRES PERF,0.0,inf
MOD could ~ PAST PERF,0.0,inf
MOD could ~ PRES PERF,0.0,inf
MOD is to ~ MOD lest,inf,0.0
MOD is to ~ MOD should,inf,0.0
MOD is to ~ PRES,inf,0.0
MOD may ~ MOD would,inf,0.0
MOD that be ~ TO INF,inf,0.0
MOD lest ~ MOD let,inf,0.0
MOD may ~ MOD should,inf,0.0
MOD lest ~ MOD must,0.0,inf
MOD lest ~ MOD that be,inf,0.0
MOD let ~ PRES PERF,0.0,inf
MOD let ~ PRES PART,inf,0.0
MOD could ~ MOD shall,inf,0.0
MOD must ~ MOD quest must,0.0,inf
MOD must ~ PRES PART,inf,0.0
MOD must ~ PRES PROG,inf,0.0
MOD must ~ PRES shall,0.0,inf
MOD must ~ TO INF,inf,0.0
MOD can ~ MOD lest,0.0,inf
MOD VB ~ TO INF,0.0,inf
MOD VB ~ MOD shall,inf,0.0
MOD let ~ MOD that be,inf,0.0
MOD VB ~ MOD can,0.0,inf
JJ ~ PRES,inf,0.0
IMPV ~ PRES PERF,0.0,inf
MOD quest must ~ MOD shall,inf,0.0
IMPV ~ MOD need not,inf,0.0
MOD should ~ PRES PART,inf,0.0
MOD that be,inf,0.0
MOD quest must,0.0,inf
