eng_TAMsimp,yqtl,Ø,qtl,wqtl,impv,wayq,ptcp,infc,cohoF,jussF,infa
FUT ~ FUT going-to,inf,inf,2.0,inf,5.0,2.0,inf,5.0,inf,inf,inf
PAST ~ PAST PROG,1.0,inf,5.0,5.0,inf,5.0,inf,inf,inf,inf,inf
MOD is to ~ MOD may,2.0,5.0,5.0,2.0,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ TO INF,5.0,5.0,5.0,2.0,inf,inf,inf,5.0,inf,inf,inf
MOD can ~ TO INF,2.0,5.0,2.0,inf,inf,inf,inf,inf,inf,5.0,inf
MOD could ~ PAST,5.0,5.0,2.0,inf,inf,2.0,inf,inf,inf,inf,inf
MOD could ~ MOD might,5.0,5.0,2.0,inf,inf,inf,inf,2.0,inf,inf,inf
FUT ~ PRES PERF,5.0,2.0,2.0,inf,inf,5.0,inf,inf,inf,inf,inf
MOD lest ~ MOD might,1.0,inf,2.0,inf,5.0,inf,inf,inf,inf,inf,inf
?VB ~ MOD let,5.0,5.0,5.0,inf,5.0,inf,inf,5.0,5.0,inf,inf
MOD may ~ PRES PART,2.0,inf,inf,inf,inf,inf,inf,2.0,5.0,5.0,inf
FUT going-to ~ MOD shall,5.0,5.0,5.0,inf,2.0,5.0,inf,inf,inf,inf,inf
MOD shall ~ MOD would,5.0,5.0,1.0,5.0,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD must,1.5,1.5,inf,inf,inf,4.0,inf,inf,inf,inf,inf
MOD can ~ PRES PART,0.25,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ TO INF,inf,0.67,4.0,inf,inf,4.0,inf,inf,inf,inf,inf
MOD was to,inf,1.5,4.0,4.0,inf,inf,inf,4.0,inf,inf,inf
MOD lest ~ TO INF,4.0,4.0,inf,inf,0.67,inf,inf,inf,inf,inf,inf
MOD can ~ MOD let,4.0,1.5,4.0,inf,4.0,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PART,1.5,inf,inf,inf,0.67,inf,inf,inf,inf,inf,inf
MOD might ~ PAST,4.0,4.0,0.67,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ MOD should,4.0,4.0,inf,inf,inf,4.0,inf,1.5,inf,inf,inf
MOD VB ~ MOD may,0.25,inf,4.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PAST,3.0,inf,1.0,inf,inf,3.0,inf,inf,inf,inf,inf
MOD VB ~ PRES,3.0,1.0,3.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ TO INF,inf,inf,1.0,inf,inf,inf,inf,1.0,inf,inf,inf
MOD should ~ PAST,1.0,inf,3.0,inf,inf,inf,inf,3.0,inf,inf,inf
FUT ~ MOD is to,3.0,3.0,inf,3.0,inf,inf,inf,3.0,inf,inf,inf
HAB used to,inf,inf,inf,3.0,inf,1.0,inf,3.0,inf,inf,inf
PAST PERF ~ PRES,inf,0.33,inf,inf,inf,inf,inf,3.0,inf,inf,inf
?VB ~ PAST,3.0,3.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PROG,inf,inf,inf,inf,0.33,inf,3.0,inf,inf,inf,inf
IMPV ~ MOD lest,0.33,inf,inf,inf,3.0,inf,inf,inf,inf,inf,inf
PRES PERF ~ TO INF,1.0,inf,3.0,3.0,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD might,inf,2.0,inf,inf,0.5,inf,inf,inf,inf,inf,inf
MOD could ~ MOD must,inf,inf,0.5,inf,inf,inf,inf,inf,2.0,inf,inf
PAST PROG,inf,inf,inf,2.0,inf,2.0,inf,2.0,inf,inf,inf
?VB,inf,inf,2.0,inf,inf,2.0,inf,2.0,inf,inf,inf
MOD shall ~ PRES PERF,2.0,inf,inf,inf,2.0,inf,2.0,inf,inf,inf,inf
FUT PROG ~ PRES,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD that be,inf,2.0,inf,0.5,inf,inf,inf,inf,inf,inf,inf
MOD need not ~ MOD shall,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES PERF,2.0,2.0,inf,inf,inf,2.0,inf,inf,inf,inf,inf
MOD would ~ PRES PART,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD should,inf,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PART,inf,2.0,inf,inf,inf,0.5,inf,inf,inf,inf,inf
MOD may ~ PAST,2.0,inf,2.0,2.0,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD might,inf,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,2.0,inf,2.0,inf,inf,inf,2.0,inf,inf,inf,inf
MOD let ~ PRES PERF,2.0,2.0,inf,inf,inf,2.0,inf,inf,inf,inf,inf
MOD let ~ MOD would,inf,inf,inf,2.0,inf,2.0,inf,inf,inf,2.0,inf
IMPV ~ MOD is to,inf,2.0,inf,inf,inf,2.0,inf,2.0,inf,inf,inf
MOD lest ~ MOD would,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ MOD must,inf,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf
?VB ~ MOD shall,1.0,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
??VB ~ MOD let,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD should,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
MOD can ~ MOD must,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES PERF,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD that be,1.0,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
MOD let ~ MOD that be,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES,inf,inf,1.0,inf,1.0,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD should,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD shall,1.0,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
MOD is to ~ TO INF,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD need not ~ PRES,inf,inf,1.0,inf,inf,inf,1.0,inf,inf,inf,inf
MOD could ~ TO INF,inf,inf,1.0,inf,inf,1.0,inf,inf,inf,inf,inf
PRES PROG,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES do,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT PERF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD quest must,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD quest must ~ MOD shall,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
PRES ~ PRES shall,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ IMPV,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
?VB ~ MOD lest,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD that be ~ TO INF,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
MOD was to ~ PRES,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
MOD would ~ PAST PERF,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PERF ~ PRES,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES can,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ PRES PROG,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
MOD must ~ TO INF,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD is to,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PART,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PROG ~ MOD shall,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PROG,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD lest,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD lest,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
MOD must ~ PRES shall,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD let,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD shall,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
MOD VB ~ TO INF,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PAST PERF,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD shall,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PRES PERF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD can,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
JJ ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES PERF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD lest,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD should,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PROG,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD need not,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD must,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES PROG,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD might,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ VB,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
HAB used to ~ PRES PERF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ PRES,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD should,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ MOD would,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf
MOD may ~ MOD would,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ PRES PERF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES shall,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD quest must,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES PART,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD that be,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
