eng_TAMsimp,yqtl,Ø,qtl,wqtl,impv,wayq,ptcp,infc,cohoF,jussF,infa
MOD let ~ PRES PERF,1,1,0,0,0,1,0,0,0,0,0
MOD let ~ MOD would,0,0,0,1,0,1,0,0,0,1,0
IMPV ~ MOD is to,0,1,0,0,0,1,0,1,0,0,0
MOD lest ~ MOD would,3,0,0,0,0,0,0,0,0,0,0
?VB ~ MOD must,0,1,0,0,1,0,0,0,0,0,0
?VB ~ MOD shall,1,0,0,0,1,0,0,0,0,0,0
??VB ~ MOD let,2,0,0,0,0,0,0,0,0,0,0
MOD must ~ MOD should,0,0,2,0,0,0,0,0,0,0,0
MOD is to ~ PRES,0,0,0,0,2,0,0,0,0,0,0
MOD can ~ MOD must,1,1,0,0,0,0,0,0,0,0,0
MOD should ~ PRES PERF,0,1,1,0,0,0,0,0,0,0,0
MOD that be,1,0,0,0,1,0,0,0,0,0,0
MOD let ~ MOD that be,1,0,1,0,0,0,0,0,0,0,0
PAST PROG ~ PRES,0,0,1,0,1,0,0,0,0,0,0
MOD lest ~ MOD should,2,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD shall,1,0,0,0,1,0,0,0,0,0,0
MOD is to ~ TO INF,1,1,0,0,0,0,0,0,0,0,0
MOD need not ~ PRES,0,0,1,0,0,0,1,0,0,0,0
MOD could ~ TO INF,0,0,1,0,0,1,0,0,0,0,0
PRES PROG,0,1,1,0,0,0,0,0,0,0,0
PRES ~ PRES do,1,0,1,0,0,0,0,0,0,0,0
FUT PERF,0,0,1,0,0,0,0,0,0,0,0
FUT ~ MOD,0,1,0,0,0,0,0,0,0,0,0
MOD quest must,1,0,0,0,0,0,0,0,0,0,0
MOD quest must ~ MOD shall,0,0,0,0,0,1,0,0,0,0,0
PRES ~ PRES shall,1,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES PART,1,0,0,0,0,0,0,0,0,0,0
?VB ~ IMPV,0,0,0,0,1,0,0,0,0,0,0
?VB ~ MOD lest,0,1,0,0,0,0,0,0,0,0,0
MOD that be ~ TO INF,0,0,0,0,1,0,0,0,0,0,0
MOD was to ~ PRES,0,0,0,0,0,1,0,0,0,0,0
MOD would ~ PAST PERF,0,1,0,0,0,0,0,0,0,0,0
MOD ~ PRES,1,0,0,0,0,0,0,0,0,0,0
MOD would ~ PAST PROG,1,0,0,0,0,0,0,0,0,0,0
FUT PERF ~ PRES,0,1,0,0,0,0,0,0,0,0,0
FUT ~ FUT PROG,1,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES can,1,0,0,0,0,0,0,0,0,0,0
PRES PERF ~ PRES PROG,0,0,0,0,0,1,0,0,0,0,0
MOD must ~ TO INF,0,0,0,1,0,0,0,0,0,0,0
FUT going-to ~ MOD is to,1,0,0,0,0,0,0,0,0,0,0
PAST PROG ~ PRES PART,0,1,0,0,0,0,0,0,0,0,0
FUT PROG ~ MOD shall,0,1,0,0,0,0,0,0,0,0,0
PRES PART ~ PRES PROG,0,1,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD lest,0,0,1,0,0,0,0,0,0,0,0
MOD can ~ MOD lest,0,0,0,0,1,0,0,0,0,0,0
MOD must ~ PRES shall,1,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD let,1,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD shall,0,0,0,0,0,0,1,0,0,0,0
MOD VB ~ TO INF,0,1,0,0,0,0,0,0,0,0,0
MOD could ~ PAST PERF,0,0,0,1,0,0,0,0,0,0,0
MOD VB ~ MOD shall,1,0,0,0,0,0,0,0,0,0,0
MOD could ~ PRES PERF,1,0,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD can,1,0,0,0,0,0,0,0,0,0,0
JJ ~ PRES,1,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES PERF,0,0,1,0,0,0,0,0,0,0,0
MOD is to ~ MOD lest,0,0,0,0,1,0,0,0,0,0,0
MOD is to ~ MOD should,0,1,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES PROG,0,0,0,1,0,0,0,0,0,0,0
IMPV ~ MOD need not,0,0,1,0,0,0,0,0,0,0,0
MOD lest ~ MOD must,1,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PROG,0,1,0,0,0,0,0,0,0,0,0
MOD let ~ MOD might,1,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD,1,0,0,0,0,0,0,0,0,0,0
MOD let ~ VB,0,0,0,0,1,0,0,0,0,0,0
HAB used to ~ PRES PERF,1,0,0,0,0,0,0,0,0,0,0
HAB used to ~ PRES,0,0,1,0,0,0,0,0,0,0,0
MOD may ~ MOD should,0,1,0,0,0,0,0,0,0,0,0
HAB used to ~ MOD would,0,0,0,0,0,0,0,0,1,0,0
MOD may ~ MOD would,0,0,1,0,0,0,0,0,0,0,0
MOD might ~ PRES PERF,1,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES shall,1,0,0,0,0,0,0,0,0,0,0
MOD must ~ MOD quest must,0,1,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PART,0,1,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD that be,1,0,0,0,0,0,0,0,0,0,0
