period,SBH,SBH,LBH,SBH,SBH,SBH,SBH,SBH,SBH,SBH,LBH,LBH,SBH,SBH,SBH,LBH,LBH,LBH,LBH,LBH
IMPV ~ MOD VB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD might ~ MOD would,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PROG ~ TO INF,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD may,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD should,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD quest must ~ MOD shall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD ~ MOD would,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to ~ PAST PROG,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PAST PERF ~ PRES PART,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MOD may ~ PRES PART,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD could,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD can,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ TO INF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
