,Ø,ptcp,wayq,yqtl,qtl,wqtl,impv,infc,jussF,infa,cohoF
FUT ~ MOD is to,0.0,0.0,0.0,12.4,0.0,0.0,12.77,0.0,0.0,0.0,0.0
MOD should ~ TO INF,0.0,2.8,2.93,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF PROG,1.08,0.0,0.0,3.09,0.0,0.0,12.77,0.0,0.0,0.0,0.0
MOD should ~ MOD would,0.0,2.8,2.93,0.0,0.0,10.94,0.0,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,0.0,0.0,0.0,3.09,0.0,44.0,0.0,0.0,0.0,0.0,0.0
PRES PERF PROG,0.0,0.0,0.0,12.4,3.52,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,1.08,0.0,0.0,0.0,0.0,0.0,0.0,14.61,147.36,0.0,0.0
MOD can ~ TO INF,1.08,0.0,0.0,3.09,3.52,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,1.08,0.0,0.0,0.0,3.52,0.0,12.77,0.0,0.0,0.0,0.0
MOD is to,1.08,0.0,0.0,0.0,0.0,0.0,0.0,14.61,147.36,0.0,0.0
MOD was to ~ PAST,4.32,0.0,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PART,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,1.08,2.8,0.0,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PAST PROG,2.16,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ PRES PART,2.16,0.0,0.0,0.0,0.0,21.88,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PAST PERF PROG,0.0,0.0,5.87,0.0,7.04,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ TO INF,0.0,5.6,5.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PART,0.0,0.0,5.87,0.0,7.04,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF PROG ~ PAST PROG,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PAST,0.0,5.6,0.0,6.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES,2.16,0.0,5.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ TO INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0
PRES ~ PRES PROG keep,2.16,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ TO INF,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES PART,0.0,5.6,0.0,0.0,7.04,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG ~ TO INF,0.0,5.6,0.0,0.0,7.04,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PAST PROG,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD may,2.16,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,0.0,0.0,0.0,0.0,7.04,0.0,0.0,0.0,294.79,0.0,0.0
PAST ~ VB,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF PROG,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ TO INF,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PERF PROG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
PRES PERF ~ TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG ~ PRES PROG keep,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PERF,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PROG,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PAST,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD would,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD may,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES PROG,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PAST,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PAST PERF,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ VB,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PERF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
FUT ~ PAST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0
FUT ~ MOD would,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD can,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT PROG,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
FUT going-to ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ PRES PROG,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ TO INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0
MOD may ~ PRES PART,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
MOD must,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES PROG,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD need not ~ TO INF,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PAST,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PART,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ MOD is to,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD was to,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PAST,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
MOD should ~ PRES PERF,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD that VB ~ PRES PART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
MOD was to,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PRES PART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
TO INF ~ VB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
