eng_TAMsimp,Ø,ptcp,wayq,yqtl,qtl,wqtl,impv,infc,jussF,infa,cohoF
MOD must ~ MOD shall,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ TO INF,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf
PRES ~ PRES PROG keep,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ TO INF,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
MOD can ~ PRES PART,inf,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf
PRES PROG ~ TO INF,inf,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf
FUT ~ PAST PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD may,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,inf,inf,inf,inf,1.0,inf,inf,inf,1.0,inf,inf
PAST ~ VB,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF PROG,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
PAST PROG ~ TO INF,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
PRES PERF ~ PRES PERF PROG,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf
PRES PERF ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PROG ~ PRES PROG keep,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES PERF,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
MOD would ~ PRES PROG,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
HAB used to ~ PAST,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD would,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD may,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
IMPV ~ PRES PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PAST,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
HAB used to ~ PAST PERF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ VB,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES PERF,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf
FUT ~ PAST,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf
FUT ~ MOD would,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD can,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT PROG,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
FUT going-to ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PROG ~ PRES PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ TO INF,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf
MOD may ~ PRES PART,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
MOD might,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf
MOD must,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES PROG,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD need not ~ TO INF,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
MOD shall,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
MOD shall ~ PAST,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES PART,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PROG ~ MOD is to,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ MOD was to,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PAST,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
MOD should ~ PRES PERF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD that VB ~ PRES PART,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf
MOD was to,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD was to ~ PRES PART,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf
TO INF ~ VB,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf
