eng_TAMsimp,wayq,qtl,Ø,ptcp,yqtl,wqtl,infc,impv,cohoT,jussM,infa,cohoM
?PRES PERF ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ PRES PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST ~ IMPV,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ PRES,inf,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
?VB ~ PRES PERF,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PRES ~ ?PRES PERF,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PRES ~ PRES PERF,inf,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
?FUT ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PRES PERF,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
??VB ~ ?PAST question,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PRES ~ PRES PART,inf,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
?PAST wh-question,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST wh-question ~ ?PRES,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST question,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST do-support ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST wh-question ~ MOD let,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST did not ~ TO INF,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST wh-question ~ PAST,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST wh-question ~ TO INF,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST ~ ?TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?MOD would ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST did not ~ ?PAST question,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST PERF ~ PAST PERF,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?MOD would,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?MOD let ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?FUT ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?FUT ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?FUT ~ ?PRES,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??VB ~ PRES PERF,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??VB ~ PRES,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
??VB ~ PAST,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??PRES ~ PAST,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??PAST ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??PAST ~ ?TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??PAST ~ ?PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF PROG,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST ~ PAST PERF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD may,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PERF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD might,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
MOD might ~ PRES PERF,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ MOD would,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD would,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
MOD should ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?TO INF ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?TO INF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PRES ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PRES ~ FUT,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PRES ~ ?VB,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PRES PERF ~ PAST,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST ~ PRES PERF,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PERF PROG,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PERF PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PERF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
