,x,Wx,Ø,W
MOD lest ~ PRES,1.91,1.11,0.0,0.0
MOD should ~ MOD would,0.57,1.11,1.14,4.07
IMPV ~ MOD may,0.89,1.73,0.0,2.03
MOD let ~ MOD shall,0.65,0.83,3.04,0.0
FUT ~ MOD should,2.29,0.92,0.0,0.0
HAB used to ~ PAST,2.29,0.92,0.0,0.0
MOD may ~ TO INF,1.07,0.25,0.0,12.27
IMPV ~ MOD must,1.53,0.55,1.36,0.0
IMPV ~ MOD let,0.92,1.04,1.52,0.0
IMPV ~ MOD can,0.17,12.48,0.0,0.0
MOD might,2.04,0.28,1.52,0.0
PAST ~ TO INF,1.34,0.61,1.52,0.0
MOD may ~ MOD must,0.76,1.84,0.76,0.0
PAST ~ PAST PERF,1.15,1.19,0.76,0.0
MOD is to,inf,0.0,0.0,0.0
MOD was to ~ PAST,6.11,0.0,0.0,3.05
MOD can ~ MOD should,inf,0.0,0.0,0.0
MOD can ~ MOD could,0.76,1.66,0.97,0.0
MOD lest,1.91,0.0,0.0,9.78
PAST PERF,0.31,3.69,1.14,0.0
FUT ~ MOD must,0.57,2.08,1.14,0.0
MOD should ~ MOD was to,4.58,0.0,1.14,0.0
MOD might ~ MOD would,0.76,1.38,0.0,4.88
MOD could ~ PAST,0.76,2.77,0.0,0.0
FUT ~ PRES PERF,1.53,0.0,3.41,0.0
PAST ~ PAST PROG,0.76,2.77,0.0,0.0
FUT going-to ~ MOD shall,3.82,0.0,0.0,4.88
MOD lest ~ MOD might,inf,0.0,0.0,0.0
MOD shall ~ MOD would,3.82,0.55,0.0,0.0
MOD let ~ MOD must,0.0,2.77,6.83,0.0
PRES PART ~ TO INF,0.38,2.77,1.36,0.0
MOD is to ~ MOD may,3.82,0.55,0.0,0.0
MOD could ~ MOD would,1.53,1.38,0.0,0.0
FUT ~ FUT going-to,inf,0.0,0.0,0.0
MOD VB ~ MOD may,0.51,1.84,1.71,0.0
MOD can ~ PRES PART,0.51,4.15,0.0,0.0
MOD is to ~ MOD must,3.05,0.0,1.71,0.0
MOD can ~ TO INF,1.15,1.84,0.0,0.0
IMPV ~ PRES PART,1.15,1.84,0.0,0.0
MOD lest ~ TO INF,inf,0.0,0.0,0.0
MOD might ~ TO INF,1.15,0.69,0.0,6.1
MOD may ~ PRES PART,0.19,4.15,0.0,6.1
MOD would ~ TO INF,3.05,0.69,0.0,0.0
MOD might ~ PAST,0.19,0.0,1.71,36.75
MOD might ~ MOD should,1.15,0.69,1.71,0.0
MOD was to,0.51,4.15,0.0,0.0
?VB ~ PAST,0.76,2.77,0.0,0.0
IMPV ~ TO INF,0.0,inf,0.0,0.0
PRES PERF ~ TO INF,0.0,0.92,0.0,73.5
MOD could ~ MOD might,0.76,2.77,0.0,0.0
MOD can ~ PAST,0.76,2.77,0.0,0.0
FUT ~ MOD is to,inf,0.0,0.0,0.0
MOD VB ~ PRES,2.29,0.92,0.0,0.0
PAST PERF ~ PRES,0.76,0.0,2.27,8.13
IMPV ~ PAST,0.25,2.77,0.0,8.13
MOD should ~ PAST,inf,0.0,0.0,0.0
HAB used to,0.76,2.77,0.0,0.0
IMPV ~ MOD lest,0.76,2.77,0.0,0.0
MOD let ~ MOD may,0.76,0.92,2.27,0.0
FUT ~ PRES PROG,1.53,0.0,3.41,0.0
MOD shall ~ PRES PERF,0.38,5.53,0.0,0.0
MOD would ~ PRES PART,1.53,0.0,3.41,0.0
FUT ~ MOD that be,0.0,inf,0.0,0.0
MOD can ~ MOD let,0.38,1.38,3.41,0.0
PAST PROG,0.38,5.53,0.0,0.0
MOD can ~ MOD might,1.53,1.38,0.0,0.0
MOD lest ~ MOD would,0.38,5.53,0.0,0.0
MOD could ~ MOD must,inf,0.0,0.0,0.0
MOD could ~ MOD should,inf,0.0,0.0,0.0
IMPV ~ MOD is to,1.53,0.0,3.41,0.0
PRES PART ~ PRES PERF,1.53,1.38,0.0,0.0
MOD may ~ MOD might,1.53,1.38,0.0,0.0
FUT PROG ~ PRES,1.53,1.38,0.0,0.0
MOD is to ~ PRES PART,0.38,0.0,13.66,0.0
PRES ~ PRES do,0.0,inf,0.0,0.0
MOD may ~ PAST,inf,0.0,0.0,0.0
MOD lest ~ MOD should,inf,0.0,0.0,0.0
MOD should ~ PRES PERF,0.76,0.0,0.0,24.4
MOD lest ~ MOD shall,0.76,2.77,0.0,0.0
IMPV ~ MOD should,inf,0.0,0.0,0.0
MOD is to ~ TO INF,0.76,0.0,6.82,0.0
MOD let ~ PAST,0.0,2.77,6.82,0.0
MOD need not ~ PRES,0.76,0.0,6.82,0.0
MOD need not ~ MOD shall,0.76,2.77,0.0,0.0
MOD let ~ TO INF,0.0,2.77,0.0,24.4
MOD can ~ MOD must,0.76,0.0,6.82,0.0
PAST PROG ~ PRES,0.76,2.77,0.0,0.0
MOD could ~ TO INF,0.0,inf,0.0,0.0
MOD may ~ PRES PERF,inf,0.0,0.0,0.0
PRES PROG,0.76,2.77,0.0,0.0
MOD must ~ MOD should,0.0,2.77,0.0,24.4
PRES ~ PRES can,inf,0.0,0.0,0.0
PRES PART ~ PRES PROG,inf,0.0,0.0,0.0
MOD was to ~ PRES,inf,0.0,0.0,0.0
FUT PERF ~ PRES,inf,0.0,0.0,0.0
HAB used to ~ MOD would,inf,0.0,0.0,0.0
PRES ~ PRES shall,inf,0.0,0.0,0.0
HAB used to ~ PRES,inf,0.0,0.0,0.0
MOD would ~ PAST PERF,0.0,0.0,inf,0.0
FUT PROG ~ MOD shall,0.0,0.0,inf,0.0
FUT ~ PRES shall,0.0,inf,0.0,0.0
FUT ~ FUT PROG,0.0,inf,0.0,0.0
FUT going-to ~ MOD is to,inf,0.0,0.0,0.0
FUT going-to ~ MOD lest,inf,0.0,0.0,0.0
MOD would ~ PAST PROG,inf,0.0,0.0,0.0
PAST PROG ~ PRES PART,0.0,inf,0.0,0.0
MOD ~ PRES,inf,0.0,0.0,0.0
PRES PERF ~ PRES PROG,inf,0.0,0.0,0.0
FUT PERF,0.0,inf,0.0,0.0
FUT ~ MOD,inf,0.0,0.0,0.0
MOD let ~ MOD should,inf,0.0,0.0,0.0
HAB used to ~ PRES PERF,0.0,0.0,inf,0.0
MOD is to ~ PRES PROG,inf,0.0,0.0,0.0
MOD might ~ PRES PERF,0.0,0.0,0.0,inf
MOD could ~ PAST PERF,inf,0.0,0.0,0.0
MOD could ~ PRES PERF,0.0,inf,0.0,0.0
MOD is to ~ MOD lest,inf,0.0,0.0,0.0
MOD is to ~ MOD should,inf,0.0,0.0,0.0
MOD is to ~ PRES,inf,0.0,0.0,0.0
MOD may ~ MOD would,inf,0.0,0.0,0.0
MOD that be ~ TO INF,inf,0.0,0.0,0.0
MOD lest ~ MOD let,0.0,inf,0.0,0.0
MOD may ~ MOD should,inf,0.0,0.0,0.0
MOD lest ~ MOD must,0.0,inf,0.0,0.0
MOD lest ~ MOD that be,inf,0.0,0.0,0.0
MOD let ~ PRES PERF,0.0,inf,0.0,0.0
MOD let ~ PRES PART,0.0,inf,0.0,0.0
MOD could ~ MOD shall,0.0,inf,0.0,0.0
MOD must ~ MOD quest must,0.0,inf,0.0,0.0
MOD must ~ PRES PART,0.0,inf,0.0,0.0
MOD must ~ PRES PROG,0.0,0.0,0.0,inf
MOD must ~ PRES shall,0.0,inf,0.0,0.0
MOD must ~ TO INF,0.0,0.0,inf,0.0
MOD can ~ MOD lest,inf,0.0,0.0,0.0
MOD VB ~ TO INF,inf,0.0,0.0,0.0
MOD VB ~ MOD shall,0.0,inf,0.0,0.0
MOD let ~ MOD that be,0.0,inf,0.0,0.0
MOD VB ~ MOD can,inf,0.0,0.0,0.0
JJ ~ PRES,0.0,0.0,0.0,inf
IMPV ~ PRES PERF,inf,0.0,0.0,0.0
MOD quest must ~ MOD shall,inf,0.0,0.0,0.0
IMPV ~ MOD need not,inf,0.0,0.0,0.0
MOD should ~ PRES PART,0.0,0.0,0.0,inf
MOD that be,0.0,inf,0.0,0.0
MOD quest must,0.0,inf,0.0,0.0
