eng_TAMsimp,x,Wx,Ø,W
FUT PROG ~ MOD shall,inf,inf,0.0,inf
FUT ~ PRES shall,inf,0.0,inf,inf
FUT ~ FUT PROG,inf,0.0,inf,inf
FUT going-to ~ MOD is to,0.0,inf,inf,inf
FUT going-to ~ MOD lest,0.0,inf,inf,inf
MOD would ~ PAST PROG,0.0,inf,inf,inf
PAST PROG ~ PRES PART,inf,0.0,inf,inf
MOD ~ PRES,0.0,inf,inf,inf
PRES PERF ~ PRES PROG,0.0,inf,inf,inf
FUT PERF,inf,0.0,inf,inf
FUT ~ MOD,0.0,inf,inf,inf
MOD let ~ MOD should,0.0,inf,inf,inf
HAB used to ~ PRES PERF,inf,inf,0.0,inf
MOD is to ~ PRES PROG,0.0,inf,inf,inf
MOD might ~ PRES PERF,inf,inf,inf,0.0
MOD could ~ PAST PERF,0.0,inf,inf,inf
MOD could ~ PRES PERF,inf,0.0,inf,inf
MOD is to ~ MOD lest,0.0,inf,inf,inf
MOD is to ~ MOD should,0.0,inf,inf,inf
MOD is to ~ PRES,0.0,inf,inf,inf
MOD may ~ MOD would,0.0,inf,inf,inf
MOD that be ~ TO INF,0.0,inf,inf,inf
MOD lest ~ MOD let,inf,0.0,inf,inf
MOD may ~ MOD should,0.0,inf,inf,inf
MOD lest ~ MOD must,inf,0.0,inf,inf
MOD lest ~ MOD that be,0.0,inf,inf,inf
MOD let ~ PRES PERF,inf,0.0,inf,inf
MOD let ~ PRES PART,inf,0.0,inf,inf
MOD could ~ MOD shall,inf,0.0,inf,inf
MOD must ~ MOD quest must,inf,0.0,inf,inf
MOD must ~ PRES PART,inf,0.0,inf,inf
MOD must ~ PRES PROG,inf,inf,inf,0.0
MOD must ~ PRES shall,inf,0.0,inf,inf
MOD must ~ TO INF,inf,inf,0.0,inf
MOD can ~ MOD lest,0.0,inf,inf,inf
MOD VB ~ TO INF,0.0,inf,inf,inf
MOD VB ~ MOD shall,inf,0.0,inf,inf
MOD let ~ MOD that be,inf,0.0,inf,inf
MOD VB ~ MOD can,0.0,inf,inf,inf
JJ ~ PRES,inf,inf,inf,0.0
IMPV ~ PRES PERF,0.0,inf,inf,inf
MOD quest must ~ MOD shall,0.0,inf,inf,inf
IMPV ~ MOD need not,0.0,inf,inf,inf
MOD should ~ PRES PART,inf,inf,inf,0.0
MOD that be,inf,0.0,inf,inf
MOD quest must,inf,0.0,inf,inf
