eng_TAMsimp,x,Wx,Ø,W
FUT ~ PRES PROG,2.0,inf,4.0,4.0
IMPV ~ MOD lest,2.0,2.0,inf,inf
HAB used to,2.0,2.0,inf,inf
PAST PERF ~ PRES,2.0,inf,4.0,4.0
MOD can ~ PAST,2.0,2.0,inf,inf
FUT ~ MOD is to,1.0,inf,inf,inf
?VB ~ PAST,2.0,2.0,inf,inf
PRES PERF ~ TO INF,inf,4.0,inf,1.33
MOD could ~ MOD should,1.0,inf,inf,inf
?VB,1.0,inf,inf,inf
PAST PROG,3.0,1.5,inf,inf
MOD shall ~ PRES PERF,3.0,1.5,inf,inf
MOD can ~ MOD might,1.5,3.0,inf,inf
MOD could ~ MOD must,1.0,inf,inf,inf
FUT PROG ~ PRES,1.5,3.0,inf,inf
MOD lest ~ MOD would,3.0,1.5,inf,inf
FUT ~ MOD that be,inf,1.0,inf,inf
MOD need not ~ MOD shall,3.0,1.5,inf,inf
MOD may ~ PRES PERF,1.5,inf,3.0,inf
MOD may ~ PAST,1.5,inf,inf,3.0
MOD may ~ MOD might,1.5,3.0,inf,inf
PRES PART ~ PRES PERF,1.5,3.0,inf,inf
MOD is to ~ PRES PART,3.0,inf,1.5,inf
MOD let ~ PRES PERF,inf,3.0,1.5,inf
MOD let ~ MOD would,inf,3.0,1.5,inf
IMPV ~ MOD is to,1.5,inf,3.0,inf
MOD would ~ PRES PART,1.5,inf,3.0,inf
?VB ~ MOD must,2.0,2.0,inf,inf
?VB ~ MOD shall,2.0,2.0,inf,inf
??VB ~ MOD let,inf,1.0,inf,inf
MOD must ~ MOD should,inf,2.0,inf,2.0
MOD is to ~ PRES,2.0,inf,inf,2.0
MOD can ~ MOD must,2.0,inf,2.0,inf
MOD should ~ PRES PERF,2.0,inf,inf,2.0
MOD that be,inf,2.0,inf,2.0
MOD let ~ MOD that be,2.0,2.0,inf,inf
PAST PROG ~ PRES,2.0,2.0,inf,inf
MOD lest ~ MOD should,1.0,inf,inf,inf
MOD lest ~ MOD shall,2.0,2.0,inf,inf
MOD is to ~ TO INF,2.0,inf,2.0,inf
MOD need not ~ PRES,2.0,inf,2.0,inf
MOD could ~ TO INF,inf,1.0,inf,inf
PRES PROG,2.0,2.0,inf,inf
PRES ~ PRES do,inf,1.0,inf,inf
FUT PERF,inf,1.0,inf,inf
FUT ~ MOD,1.0,inf,inf,inf
MOD quest must,inf,1.0,inf,inf
MOD quest must ~ MOD shall,1.0,inf,inf,inf
PRES ~ PRES shall,1.0,inf,inf,inf
MOD should ~ PRES PART,inf,inf,inf,1.0
?VB ~ IMPV,inf,1.0,inf,inf
?VB ~ MOD lest,inf,1.0,inf,inf
MOD that be ~ TO INF,1.0,inf,inf,inf
MOD was to ~ PRES,1.0,inf,inf,inf
MOD would ~ PAST PERF,inf,inf,1.0,inf
MOD ~ PRES,1.0,inf,inf,inf
MOD would ~ PAST PROG,1.0,inf,inf,inf
FUT PERF ~ PRES,1.0,inf,inf,inf
FUT ~ FUT PROG,inf,1.0,inf,inf
PRES ~ PRES can,1.0,inf,inf,inf
PRES PERF ~ PRES PROG,1.0,inf,inf,inf
MOD must ~ TO INF,inf,inf,1.0,inf
FUT going-to ~ MOD is to,1.0,inf,inf,inf
PAST PROG ~ PRES PART,inf,1.0,inf,inf
FUT PROG ~ MOD shall,inf,inf,1.0,inf
PRES PART ~ PRES PROG,1.0,inf,inf,inf
FUT going-to ~ MOD lest,1.0,inf,inf,inf
MOD can ~ MOD lest,1.0,inf,inf,inf
MOD must ~ PRES shall,inf,1.0,inf,inf
MOD lest ~ MOD let,inf,1.0,inf,inf
MOD could ~ MOD shall,inf,1.0,inf,inf
MOD VB ~ TO INF,1.0,inf,inf,inf
MOD could ~ PAST PERF,1.0,inf,inf,inf
MOD VB ~ MOD shall,inf,1.0,inf,inf
MOD could ~ PRES PERF,inf,1.0,inf,inf
MOD VB ~ MOD can,1.0,inf,inf,inf
JJ ~ PRES,inf,inf,inf,1.0
IMPV ~ PRES PERF,1.0,inf,inf,inf
MOD is to ~ MOD lest,1.0,inf,inf,inf
MOD is to ~ MOD should,1.0,inf,inf,inf
MOD is to ~ PRES PROG,1.0,inf,inf,inf
IMPV ~ MOD need not,1.0,inf,inf,inf
MOD lest ~ MOD must,inf,1.0,inf,inf
MOD must ~ PRES PROG,inf,inf,inf,1.0
MOD let ~ MOD might,inf,inf,inf,1.0
IMPV ~ MOD,inf,inf,inf,1.0
MOD let ~ VB,inf,inf,inf,1.0
HAB used to ~ PRES PERF,inf,inf,1.0,inf
HAB used to ~ PRES,1.0,inf,inf,inf
MOD may ~ MOD should,1.0,inf,inf,inf
HAB used to ~ MOD would,1.0,inf,inf,inf
MOD may ~ MOD would,1.0,inf,inf,inf
MOD might ~ PRES PERF,inf,inf,inf,1.0
FUT ~ PRES shall,inf,1.0,inf,inf
MOD must ~ MOD quest must,inf,1.0,inf,inf
MOD must ~ PRES PART,inf,1.0,inf,inf
MOD lest ~ MOD that be,1.0,inf,inf,inf
