,Main,SubAdv,SubMod
?PAST ~ PAST PERF,-0.0,0.0,0.0
MOD may,-0.0,0.0,0.0
MOD let ~ MOD may,-0.0,0.0,0.0
MOD is to ~ PRES PERF,-0.0,0.0,0.0
MOD may ~ PRES,-0.0,0.0,0.0
MOD could ~ MOD might,-0.0,0.0,0.0
IMPV ~ PRES PART,-0.0,0.0,0.0
IMPV ~ PRES,-1.88,1.89,0.0
MOD might ~ PRES PERF,-1.88,1.89,0.0
MOD must ~ PAST,-1.88,1.89,0.0
MOD must ~ PRES,-0.0,0.0,0.0
MOD should ~ MOD would,-0.0,0.0,0.0
FUT ~ MOD would,-0.0,0.0,0.0
MOD should ~ PRES,-0.0,0.0,0.0
MOD should ~ TO INF,-0.0,0.0,0.0
MOD would ~ PRES,-0.0,0.0,0.0
?TO INF ~ PRES,-0.0,0.0,0.0
?TO INF,-0.0,0.0,0.0
?PRES ~ TO INF,-0.0,0.0,0.0
PAST PERF ~ TO INF,-0.0,0.0,0.0
PAST PROG ~ PRES PART,-0.0,0.0,0.0
?PRES ~ FUT,-0.0,0.0,0.0
?PRES ~ ?VB,-0.0,0.0,0.0
?PRES PERF ~ PAST,-0.0,0.0,0.0
MOD let ~ PRES,-0.0,0.0,0.0
?PAST ~ PRES PERF,-0.0,0.0,0.0
PAST PROG ~ PRES PERF PROG,-0.0,0.0,0.0
PAST ~ PAST PERF PROG,-0.0,0.0,0.0
PAST PROG ~ PRES PERF,-0.0,0.0,0.0
