eng_TAMsimp,p3,p2,p1
MOD can ~ PRES,0.0,inf,inf
MOD should ~ TO INF,0.5,2.0,inf
IMPV ~ MOD would,0.0,inf,inf
MOD VB ~ PRES,0.0,inf,inf
MOD is to ~ TO INF,0.0,inf,inf
HAB used to ~ MOD would,0.0,inf,inf
HAB used to,0.0,inf,inf
MOD was to,0.0,inf,inf
FUT ~ FUT going-to,inf,inf,0.0
IMPV ~ MOD is to,inf,0.0,inf
MOD that be ~ TO INF,0.0,inf,inf
MOD was to ~ PAST,0.0,inf,inf
PRES ~ PRES PROG,inf,0.0,inf
FUT ~ MOD must,0.0,inf,inf
IMPV ~ PRES PART,inf,0.0,inf
MOD would ~ PRES PART,0.0,inf,inf
FUT going-to ~ MOD shall,inf,0.0,inf
PRES PART ~ PRES PERF,0.0,inf,inf
MOD may ~ PRES PART,1.0,1.0,inf
MOD can ~ MOD let,0.0,inf,inf
MOD lest ~ MOD might,0.0,inf,inf
MOD may ~ MOD should,0.0,inf,inf
MOD let ~ PRES,1.0,inf,1.0
MOD must ~ PRES,0.0,inf,inf
MOD let ~ MOD must,1.0,1.0,inf
MOD lest ~ PRES PART,inf,0.0,inf
MOD lest ~ MOD must,0.0,inf,inf
MOD must ~ PRES PART,1.0,1.0,inf
MOD is to ~ MOD may,inf,0.0,inf
MOD let ~ PRES PART,inf,inf,0.0
MOD should ~ MOD would,0.0,inf,inf
MOD let ~ MOD should,inf,inf,0.0
MOD let ~ MOD would,inf,0.0,inf
MOD can ~ TO INF,0.0,inf,inf
MOD would ~ PRES PROG,inf,0.0,inf
FUT ~ MOD is to,0.0,inf,inf
FUT ~ MOD VB,0.0,inf,inf
MOD ~ MOD would,0.0,inf,inf
MOD would ~ TO INF,0.0,inf,inf
MOD must,0.0,inf,inf
FUT ~ FUT PROG,inf,0.0,inf
MOD might ~ MOD would,inf,inf,0.0
PAST PROG ~ TO INF,0.0,inf,inf
FUT PROG,0.0,inf,inf
FUT ~ MOD should,inf,inf,0.0
FUT ~ MOD that be,0.0,inf,inf
PAST PERF ~ PRES PART,0.0,inf,inf
MOD could,inf,inf,0.0
PRES PERF ~ TO INF,inf,0.0,inf
MOD let ~ MOD might,0.0,inf,inf
MOD might,0.0,inf,inf
MOD quest must ~ MOD shall,inf,inf,0.0
PRES ~ VB,0.0,inf,inf
MOD could ~ MOD would,0.0,inf,inf
MOD lest ~ PRES,0.0,inf,inf
HAB used to ~ PAST PROG,0.0,inf,inf
HAB used to ~ PRES PART,0.0,inf,inf
MOD could ~ TO INF,0.0,inf,inf
IMPV ~ MOD VB,inf,0.0,inf
MOD is to ~ MOD lest,0.0,inf,inf
MOD is to ~ PRES PART,0.0,inf,inf
MOD VB ~ MOD can,0.0,inf,inf
