,p3,p2,p1
PAST PERF ~ PRES PART,inf,0.0,0.0
MOD could,0.0,0.0,inf
PRES PERF ~ TO INF,0.0,inf,0.0
MOD let ~ MOD might,inf,0.0,0.0
MOD might,inf,0.0,0.0
MOD quest must ~ MOD shall,0.0,0.0,inf
PRES ~ VB,inf,0.0,0.0
MOD could ~ MOD would,inf,0.0,0.0
MOD lest ~ PRES,inf,0.0,0.0
HAB used to ~ PAST PROG,inf,0.0,0.0
HAB used to ~ PRES PART,inf,0.0,0.0
MOD could ~ TO INF,inf,0.0,0.0
IMPV ~ MOD VB,0.0,inf,0.0
MOD is to ~ MOD lest,inf,0.0,0.0
MOD is to ~ PRES PART,inf,0.0,0.0
MOD VB ~ MOD can,inf,0.0,0.0
