eng_TAMsimp,Q,N
MOD let ~ MOD must,1.0,0.0
MOD is to ~ MOD let,1.0,0.0
MOD can ~ MOD could,1.0,0.0
MOD can ~ MOD should,1.0,0.0
MOD let ~ MOD should,1.0,0.0
IMPV ~ TO INF,1.0,0.0
IMPV ~ MOD should,1.0,0.0
IMPV ~ PRES PART,1.0,0.0
MOD could ~ MOD would,1.0,0.0
MOD would ~ PAST,1.0,0.0
IMPV ~ PAST,1.0,0.0
FUT ~ MOD must,1.0,0.0
HAB used to ~ PAST,1.0,0.0
FUT ~ FUT going-to,1.0,0.0
MOD could ~ PAST,0.83,0.17
FUT going-to ~ MOD shall,1.0,0.0
MOD can ~ TO INF,1.0,0.0
?VB ~ MOD let,1.0,0.0
FUT ~ PRES PERF,1.0,0.0
MOD let ~ PAST,1.0,0.0
MOD lest ~ MOD might,1.0,0.0
MOD might ~ MOD would,1.0,0.0
MOD shall ~ MOD would,1.0,0.0
PAST ~ PAST PERF,0.83,0.17
MOD was to ~ PAST,1.0,0.0
MOD can ~ MOD let,1.0,0.0
MOD would ~ TO INF,0.8,0.2
MOD is to ~ MOD must,1.0,0.0
MOD is to ~ MOD may,1.0,0.0
MOD might ~ PAST,1.0,0.0
PRES PART ~ TO INF,1.0,0.0
MOD lest ~ TO INF,1.0,0.0
MOD may ~ PRES PART,1.0,0.0
MOD should ~ MOD was to,0.8,0.2
MOD can ~ PRES PART,1.0,0.0
MOD let ~ PRES PART,1.0,0.0
MOD should ~ PAST,1.0,0.0
IMPV ~ MOD lest,1.0,0.0
MOD might ~ TO INF,1.0,0.0
MOD could ~ MOD might,1.0,0.0
MOD can ~ PAST,1.0,0.0
MOD VB ~ MOD may,1.0,0.0
MOD VB ~ PRES,1.0,0.0
FUT ~ PRES PROG,1.0,0.0
MOD might ~ MOD should,1.0,0.0
FUT ~ MOD is to,1.0,0.0
PRES PERF ~ TO INF,1.0,0.0
?VB ~ PAST,1.0,0.0
MOD is to ~ PRES PART,1.0,0.0
MOD would ~ PRES PART,1.0,0.0
MOD can ~ MOD might,1.0,0.0
MOD may ~ MOD might,1.0,0.0
MOD need not ~ MOD shall,1.0,0.0
MOD let ~ MOD would,1.0,0.0
MOD shall ~ PRES PERF,1.0,0.0
MOD could ~ MOD must,1.0,0.0
MOD may ~ PAST,1.0,0.0
MOD could ~ MOD should,1.0,0.0
MOD may ~ PRES PERF,1.0,0.0
IMPV ~ MOD is to,1.0,0.0
PRES PART ~ PRES PERF,1.0,0.0
PAST PERF ~ PRES,1.0,0.0
FUT ~ MOD that be,1.0,0.0
MOD let ~ PRES PERF,1.0,0.0
FUT PROG ~ PRES,1.0,0.0
MOD should ~ PRES PERF,1.0,0.0
?VB ~ MOD shall,1.0,0.0
?VB ~ MOD must,1.0,0.0
MOD need not ~ PRES,1.0,0.0
PAST PROG ~ PRES,1.0,0.0
PRES ~ PRES do,1.0,0.0
??VB ~ MOD let,1.0,0.0
MOD is to ~ PRES,1.0,0.0
MOD lest ~ MOD would,1.0,0.0
MOD is to ~ TO INF,1.0,0.0
MOD can ~ MOD must,1.0,0.0
MOD let ~ MOD that be,1.0,0.0
MOD lest ~ MOD shall,1.0,0.0
MOD lest ~ MOD should,1.0,0.0
MOD lest ~ MOD let,1.0,0.0
PRES ~ PRES shall,1.0,0.0
MOD lest ~ MOD must,1.0,0.0
PAST ~ PAST PROG,1.0,0.0
PRES PART ~ PRES PROG,1.0,0.0
MOD lest ~ MOD that be,1.0,0.0
FUT ~ MOD,1.0,0.0
PRES PERF ~ PRES PROG,1.0,0.0
PRES ~ PRES can,1.0,0.0
FUT ~ FUT PROG,1.0,0.0
MOD is to ~ PRES PROG,1.0,0.0
FUT going-to ~ MOD lest,1.0,0.0
FUT going-to ~ MOD is to,1.0,0.0
MOD let ~ MOD might,1.0,0.0
FUT PROG ~ MOD shall,1.0,0.0
FUT PERF ~ PRES,1.0,0.0
MOD may ~ MOD would,1.0,0.0
MOD may ~ MOD should,1.0,0.0
MOD let ~ VB,1.0,0.0
?VB ~ MOD lest,1.0,0.0
?VB ~ IMPV,1.0,0.0
MOD ~ PRES,1.0,0.0
MOD must ~ TO INF,1.0,0.0
MOD VB ~ TO INF,1.0,0.0
MOD would ~ PAST PROG,1.0,0.0
MOD can ~ MOD lest,1.0,0.0
MOD must ~ PRES shall,1.0,0.0
MOD VB ~ MOD can,1.0,0.0
JJ ~ PRES,1.0,0.0
MOD must ~ PRES PROG,1.0,0.0
IMPV ~ PRES PERF,1.0,0.0
MOD must ~ PRES PART,1.0,0.0
MOD quest must ~ MOD shall,1.0,0.0
MOD must ~ MOD should,1.0,0.0
MOD must ~ MOD quest must,1.0,0.0
MOD could ~ MOD shall,1.0,0.0
MOD might ~ PRES PERF,1.0,0.0
MOD should ~ PRES PART,1.0,0.0
MOD could ~ PAST PERF,1.0,0.0
MOD could ~ PRES PERF,1.0,0.0
MOD could ~ TO INF,1.0,0.0
MOD that be ~ TO INF,1.0,0.0
IMPV ~ MOD,1.0,0.0
HAB used to ~ PRES PERF,1.0,0.0
MOD is to ~ MOD lest,1.0,0.0
HAB used to ~ MOD would,1.0,0.0
MOD was to ~ PRES,1.0,0.0
FUT ~ PRES shall,1.0,0.0
MOD is to ~ MOD should,1.0,0.0
MOD would ~ PAST PERF,1.0,0.0
MOD VB ~ MOD shall,1.0,0.0
